	Calb2_tdTpositive_cell_53	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
4933431E20Rik	0.0	0.0	1.78	0.0	0.0	4.13	1.93	7.33	1.92	43.65	1.44	2.88	11.69	13.37	1.96	1.45	5.01	4.82	2.21	5.21	4.55	29.0	18.95	17.34	5.54	3.37	15.95	0.12
AU019823	0.0	0.0	0.63	0.0	0.0	29.91	1.96	0.39	0.0	42.95	7.75	0.0	3.22	0.17	0.37	13.83	35.26	0.0	7.44	3.59	0.14	4.83	33.38	38.26	40.46	38.56	33.82	0.0
Aes	0.0	0.0	8.6	0.0	12.1	43.9	42.44	13.8	5.27	13.87	16.78	13.56	27.15	48.51	22.94	20.47	34.38	20.58	6.96	40.99	11.66	49.4	52.87	35.3	59.03	0.29	29.06	0.0
Ahctf1	0.0	0.0	0.28	0.0	0.0	12.93	0.0	2.03	0.0	1.33	0.03	0.0	6.38	7.9	0.77	0.59	12.88	0.22	13.72	0.85	0.2	17.18	10.5	1.0	18.71	7.78	0.0	0.0
Atp11b	0.0	0.0	1.71	1.25	0.05	9.15	4.86	17.99	6.76	67.58	0.0	25.26	5.82	21.9	7.74	1.45	20.31	12.0	4.72	17.0	2.39	70.41	68.59	25.31	107.23	27.64	22.56	0.0
BC005537	0.56	0.0	9.71	8.12	47.02	6.94	33.44	15.8	37.25	52.83	38.68	11.52	8.14	19.85	20.69	0.0	25.64	51.93	0.64	5.14	28.2	31.85	46.58	50.15	103.72	25.46	0.0	0.0
Cacna1a	0.0	0.0	0.96	0.0	0.16	0.97	1.31	5.43	4.44	2.88	2.26	0.14	0.82	3.13	4.71	1.85	1.05	1.31	2.75	1.24	1.14	2.28	9.92	2.49	14.25	2.15	11.05	0.0
Cacng2	0.0	0.0	13.06	0.0	2.76	8.29	9.76	16.4	1.07	4.38	5.52	3.45	7.54	10.22	3.4	3.37	6.33	2.02	11.22	6.23	5.0	15.61	11.99	12.19	15.64	9.54	3.43	0.0
Ccl27b	0.0	0.0	1.67	0.0	0.0	6.15	1.08	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	4.77	8.43	8.14	1.56	0.0	5.25	1.44	2.37	2.94	0.74	9.34	0.0
Fam13c	408.39	0.0	8.94	0.0	29.84	61.4	26.66	51.94	55.34	14.82	105.28	111.4	14.48	33.33	43.74	42.23	59.41	60.07	79.81	49.11	38.69	71.65	83.96	72.91	159.98	8.77	58.72	0.0
