	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_67	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110034A24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.04	0.0	0.0	0.0	0.0	10.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	22.1	1.7	4.96	3.03	7.01	6.22	8.56
1700009P17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.52	0.0	0.0	0.0	0.98	1.93	1.61
1700015E13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.56	0.89	0.0	1.04	0.43	1.09	0.74
1700019G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59	0.0	0.0	45.48	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	54.17	5.62	5.14	1.47	9.2	9.96	8.87
1700020I14Rik	42.33	28.02	90.52	57.18	0.0	64.83	12.71	11.41	41.1	0.0	0.08	21.56	24.17	72.79	0.0	40.05	0.0	0.0	28.2	0.0	20.04	43.32	6.95	84.08	10.17	15.0	356.27	97.03	73.36	72.21	144.99	123.82	164.2
2310037I24Rik	0.0	2.31	31.91	1.18	0.47	70.07	0.0	1.58	4.99	59.17	1.71	0.0	0.86	0.94	5.1	1.08	47.35	0.0	19.6	4.1	62.89	18.06	1.78	1.21	0.25	10.46	37.95	25.19	18.38	20.04	64.35	68.0	61.96
4930444M15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.95	0.0	1.05	0.64	0.12	0.11	0.06
4933430I17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.17	0.0	0.0	0.39	0.79	0.4
4933433G15Rik	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.25	0.0	0.0	0.44	0.0	0.54
9530052E02Rik	0.0	0.0	0.0	5.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.18	0.0	0.0	0.0	2.89	1.93	1.78
A330049N07Rik	2.0	0.0	0.0	0.0	0.0	3.18	0.23	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.76	0.45	1.92	0.35	2.67	2.33	3.13
AU040972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.46	31.6	1.19	1.03	0.69	0.39	1.16	0.36
Abca1	0.59	0.0	0.01	1.54	0.19	0.0	0.0	0.0	0.0	0.02	0.0	6.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.05	0.0	9.57	0.0	0.0	0.0	12.37	10.64	12.28
Agfg2	0.0	0.0	32.27	1.42	0.0	0.0	33.11	0.77	0.0	0.0	0.0	0.08	17.2	0.35	0.0	0.0	5.64	0.0	0.17	0.0	0.0	0.0	0.0	2.86	0.0	2.93	36.91	3.88	2.02	6.51	41.97	48.31	43.68
Aim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.41	0.0	0.05	0.0	0.46	0.63	0.54
Akr1b8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.53	0.0	0.0	0.0	1.18	0.74	0.81
Antxr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	1.4	1.36	1.33
Arrdc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.76	1.15	0.0	3.12	9.9	11.87	9.88
Atp8b1	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72	0.0	0.11	0.0	2.55	2.52	2.42
BC068281	0.0	14.39	0.07	0.0	0.76	0.12	0.15	0.11	0.17	1.39	0.0	0.61	0.0	0.83	0.13	36.37	0.01	0.11	5.16	0.14	20.74	2.74	0.45	38.08	0.0	2.46	138.65	3.99	6.51	6.66	7.78	7.11	7.61
Ccdc34	10.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.94	1.76	0.0	0.0	0.0	0.38	0.0	0.0	7.07	0.0	2.26	55.78	7.94	5.83	9.42	8.39	9.11	9.25
Ccl27b	0.14	0.0	22.17	0.0	0.0	21.49	31.22	0.3	0.0	1.74	0.0	0.0	0.27	0.0	0.0	0.77	0.0	0.29	2.79	1.9	2.24	0.0	0.0	0.0	0.0	33.56	3.13	61.27	76.52	71.98	30.63	28.29	22.96
Cdc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.1	0.0	0.0	0.0	0.35	0.47	0.29
