	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Rbp4_tdTpositive_cell_140	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007C21Rik	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	501.1	1875.45	1124.67	0.0	0.0	345.99	146.01	100.75	104.68	102.66
0610009D07Rik	0.0	0.0	356.21	0.55	0.0	1.09	0.63	0.0	0.0	1668.92	0.57	0.0	5.91	280.42	154.5	53.38	54.48	48.36
0610010K14Rik	0.0	0.0	0.0	259.02	0.0	481.61	0.0	0.0	277.19	0.0	0.0	0.0	0.0	0.0	77.73	39.79	47.47	38.99
1600015I10Rik	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700019G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	662.64	0.0	0.34	0.0	0.0	0.07	1.47	9.2	9.96	8.87
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700123O20Rik	0.18	875.12	0.0	221.58	0.0	0.0	0.0	0.0	134.84	0.0	0.0	0.0	0.0	0.0	45.12	16.09	15.13	13.52
2010002N04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.87	7.84	7.86	7.06
2610307P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.22	0.1
2810030E01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	6.23	6.35	6.67
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Acadsb	308.18	0.0	0.0	254.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	36.78	47.33	42.84	45.31
Acsf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.92	12.41	12.76
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
