	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_73	Ndnf_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_1	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTnegative_cell_8	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18
2610301B20Rik	1.51	160.67	1.08	0.0	629.04	0.0	1.27	1.69	192.83	0.45	142.92	14.35	60.74	0.0	0.0	0.0	0.37	317.53
Ank3	172.77	176.91	279.74	62.06	292.73	55.57	0.0	138.14	130.58	79.21	137.95	244.37	160.55	108.65	80.06	0.0	51.47	78.06
Apex1	317.37	162.05	170.17	0.0	377.26	0.0	0.0	0.0	26.43	126.11	144.07	110.07	305.26	0.0	0.0	0.0	105.0	295.55
BC057079	0.02	11.29	0.49	0.0	89.19	0.0	0.0	0.38	0.02	7.69	0.56	79.66	2.95	0.0	0.0	0.0	0.13	0.0
Bop1	118.48	2.14	3.0	0.0	221.63	0.0	0.0	0.0	0.04	0.0	49.97	53.0	34.87	0.0	0.0	0.0	2.2	0.0
Cacna1a	6.13	6.72	15.26	0.68	28.53	0.0	0.0	0.24	1.62	1.1	2.76	3.65	1.03	0.61	0.11	0.0	0.98	4.99
Ccl27b	2.22	72.87	151.88	0.0	39.72	0.0	0.39	2.24	71.38	106.16	180.86	123.99	271.66	29.79	23.72	0.0	0.0	74.04
Crkl	0.0	0.87	37.42	0.0	74.51	0.0	0.0	0.0	0.03	0.05	0.0	75.05	0.0	0.0	0.0	0.0	0.0	0.0
Elovl4	139.36	106.05	116.1	0.0	259.27	37.04	1.34	13.12	0.11	9.92	77.34	157.68	76.64	3.22	145.96	0.0	16.81	155.88
Etv5	0.13	163.12	25.29	0.0	417.13	0.0	0.0	20.2	71.42	0.33	64.79	36.95	322.57	4.01	10.07	0.0	128.96	14.9
F630111L10Rik	0.03	0.05	121.92	0.0	104.86	0.0	0.0	115.96	0.04	0.01	13.35	0.03	0.03	0.0	0.0	0.0	0.05	65.01
Gm13306	2.22	72.87	151.88	0.0	39.72	0.0	0.39	2.24	71.38	106.16	180.86	123.99	271.66	29.79	23.72	0.0	0.0	74.04
Gm2506	2.22	72.87	151.88	0.0	39.72	0.0	0.39	2.24	71.38	106.16	180.86	123.99	271.66	29.79	23.72	0.0	0.0	74.04
Gm4297	2.74	1.97	2.34	0.57	5.4	4.01	0.0	0.28	0.06	0.75	0.3	2.87	0.08	0.0	0.0	0.0	1.25	5.28
Hist1h2bq	0.03	0.09	0.0	0.0	0.26	0.0	0.0	0.0	0.06	0.05	0.03	0.04	0.1	0.0	0.0	0.0	0.18	0.0
Hist1h2br	0.03	0.09	0.0	0.0	0.26	0.0	0.0	0.0	0.06	0.05	0.03	0.04	0.1	0.0	0.0	0.0	0.18	0.0
Ipo9	70.99	86.62	138.83	0.0	124.91	1.21	0.0	0.15	1.27	65.35	15.07	63.34	91.53	8.4	3.13	0.16	63.96	61.87
Kcnq2	42.28	58.94	107.13	0.0	117.71	2.62	0.0	0.0	1.69	23.99	57.27	73.22	72.72	47.54	0.71	0.0	25.48	71.49
Lax1	0.17	0.0	0.17	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.05	0.07	0.09	0.0	0.0	0.0	0.0	0.0
Mapk4	15.35	82.01	64.46	4.59	105.98	12.88	0.0	5.17	3.94	16.11	21.59	35.08	17.61	1.04	15.11	0.0	8.82	46.67
Ncaph2	4.69	119.77	27.0	0.0	345.69	0.0	0.0	1.14	242.71	77.76	79.69	121.53	83.14	24.1	0.0	0.0	0.47	58.58
Nova2	0.19	16.26	8.37	0.0	20.76	0.0	0.0	0.04	0.04	3.84	0.02	0.49	6.57	0.0	0.0	0.0	0.0	0.08
Nup35	1.46	2.79	1.89	1.66	153.76	0.51	0.69	0.85	0.23	1.1	1.02	4.43	0.49	0.46	0.0	0.0	1.02	89.82
Pop5	5.34	99.76	0.0	0.0	77.54	0.0	0.0	21.13	71.67	0.0	0.0	125.97	73.88	0.0	0.0	0.0	63.53	0.0
Rgs4	4793.66	5481.44	5005.37	2874.2	3726.59	3996.83	2439.32	5873.8	5399.11	5219.32	5037.98	5187.94	4921.82	5101.58	5598.27	0.0	4802.36	6781.39
Rnf112	2.42	0.38	49.91	0.0	173.85	0.0	0.0	70.33	63.97	75.89	1.32	94.4	40.16	0.0	0.0	0.0	60.75	0.0
Thumpd1	0.42	0.0	0.86	0.0	240.83	0.0	0.0	0.0	0.24	0.04	59.86	139.3	286.59	0.0	0.65	0.0	140.76	0.25
Tmem175	64.11	27.79	0.0	0.0	292.27	0.0	0.0	0.19	164.42	108.34	45.55	70.71	12.67	0.0	0.0	0.0	36.51	0.0
Tmem87a	22.35	0.26	6.82	0.0	34.06	0.0	2.75	0.65	0.47	1.31	0.84	154.02	17.85	0.99	0.0	0.0	1.59	93.86
Vps36	0.08	147.56	0.0	0.0	272.58	0.0	0.0	0.0	0.0	0.09	33.07	165.95	70.29	0.0	0.0	0.0	94.72	58.84
Zfp942	11.38	0.0	73.53	0.0	288.82	0.44	0.0	0.0	0.1	0.16	0.07	85.74	0.0	0.73	0.0	0.0	97.68	84.92
