	Ndnf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Pvalb_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_88	Scnn1a.Tg3_tdTnegative_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
A230050P20Rik	17.86	7.56	0.11	9.67	0.48	12.43	6.08	54.59	45.7	7.1	0.0	64.45	70.84	74.75
Acox1	0.0	5.0	40.7	1.23	2.9	39.87	0.0	35.11	41.04	1.59	0.0	135.88	133.83	132.15
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Asap2	0.07	1.1	0.06	2.27	0.0	0.11	32.41	7.32	19.54	0.2	0.0	25.96	25.73	27.77
Atl1	0.0	16.55	0.06	2.37	0.27	60.34	0.0	63.64	34.3	2.26	0.0	135.88	133.07	122.31
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Cacna1e	0.0	6.72	0.08	6.27	0.0	0.22	0.98	0.0	1.37	0.26	0.0	78.28	66.78	84.4
Cacnb4	85.65	55.65	0.08	15.51	87.87	83.19	46.05	109.91	56.34	66.24	0.0	106.94	89.5	107.65
