	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_103	Cux2_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_38	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_23	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_18	Trib2_CTX_250ng_1
4930471M23Rik	143.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.63	0.06	0.0	0.0	0.0	0.03	0.14	0.0	0.0	21.08	98.24	201.67	0.0	213.55	0.0	0.0	0.0	24.25
5830416P10Rik	1.61	0.41	0.47	1.88	1.03	0.0	1.17	0.9	0.54	0.68	0.85	0.65	0.47	1.06	0.5	0.7	1.9	1.0	0.53	1.13	1.62	1.66	0.4	0.08	0.95	0.96
Amy2a2	0.29	0.0	0.0	0.36	0.16	0.0	0.41	0.04	0.2	0.19	0.49	0.45	0.0	0.15	0.08	0.23	0.53	1.4	0.19	1.22	1.27	1.11	0.07	0.02	0.38	0.21
Amy2a3	0.29	0.0	0.0	0.36	0.16	0.0	0.41	0.04	0.2	0.19	0.49	0.45	0.0	0.15	0.08	0.23	0.53	1.4	0.19	1.22	1.27	1.11	0.07	0.02	0.38	0.21
Amy2a4	0.29	0.0	0.0	0.36	0.16	0.0	0.41	0.04	0.2	0.19	0.49	0.45	0.0	0.15	0.08	0.23	0.53	1.4	0.19	1.22	1.27	1.11	0.07	0.02	0.38	0.21
Arnt2	0.0	32.45	70.3	0.0	0.17	0.34	16.32	0.87	0.06	51.82	66.23	34.17	0.04	74.6	36.2	0.02	20.53	0.23	23.93	46.08	0.66	161.24	0.0	0.0	80.17	163.97
Atp10b	1.61	0.36	0.21	0.32	0.17	0.0	0.32	0.67	0.03	0.03	1.64	0.25	0.08	0.21	0.14	0.16	0.9	0.13	0.03	1.31	0.19	0.46	0.0	0.0	0.21	1.86
Bcl11a	126.74	87.7	81.99	0.0	63.36	0.0	193.92	3.28	89.01	87.03	38.09	83.77	14.25	119.13	57.08	37.97	144.81	89.8	24.53	216.88	78.85	128.87	4.16	0.0	67.6	71.57
Cass4	1.43	0.16	0.49	0.27	0.42	0.0	0.69	0.23	0.11	0.69	0.75	0.83	0.16	0.28	0.13	0.42	1.35	1.49	0.34	0.85	0.42	1.65	0.09	0.06	0.67	2.18
Ccl9	1.57	1.26	0.39	1.0	1.1	0.0	2.63	1.86	0.93	2.2	1.55	1.0	0.37	0.23	0.8	0.79	2.18	0.71	0.71	2.22	0.54	2.98	0.15	0.15	2.07	2.26
