	Ndnf_tdTpositive_cell_20	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003E16Rik	0.0	0.0	0.0	22.53	24.05	25.66
1700013H16Rik	0.0	0.0	0.0	0.0	0.08	0.08
1700030J22Rik	0.0	0.0	0.0	7.73	7.38	7.02
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930526I15Rik	0.0	0.0	0.0	9.85	11.43	11.1
4933412O06Rik	0.0	0.0	0.0	2.06	2.96	2.96
7530420F21Rik	0.0	0.0	0.0	0.73	0.35	0.47
A230077H06Rik	0.0	0.23	0.15	4.47	5.52	6.56
Agap2	0.0	0.62	1.62	422.27	459.59	467.65
Ankrd52	0.0	0.0	0.0	39.4	37.08	40.22
B830017H08Rik	0.0	0.0	0.0	4.14	4.71	3.53
BC017612	0.0	0.0	0.0	3.0	3.84	4.11
Bcor	0.0	0.0	0.0	13.55	13.42	12.87
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Btbd8	0.0	0.0	0.0	5.77	4.6	5.31
Cacna1e	0.0	0.02	0.0	78.28	66.78	84.4
Cacnb2	0.0	0.0	0.0	33.74	31.87	33.43
Capn8	0.0	0.0	0.0	0.0	0.04	0.04
Capn9	0.0	0.0	0.0	0.08	0.04	0.04
Ccdc151	0.0	0.0	0.0	6.8	6.96	6.37
Ccng1	0.0	0.46	5.65	57.14	53.51	58.0
Cd19	0.0	0.0	0.0	0.12	0.04	0.04
Cd68	0.0	0.0	0.0	12.02	13.74	13.65
Cdk7	2.0	8.22	19.85	24.31	24.5	25.35
Crtc3	0.0	0.01	0.15	9.68	10.12	10.56
Dlg3	0.0	40.59	5.92	115.59	116.54	115.46
Dlx3	0.0	0.0	0.0	0.08	0.04	0.04
Entpd8	0.0	0.0	0.0	0.0	0.04	0.04
Ercc4	0.0	0.51	1.41	11.49	11.57	11.64
Fam48a	0.0	11.74	51.42	27.37	25.45	27.44
Fbl	0.0	0.0	0.0	48.9	49.19	46.8
Ffar2	0.0	0.0	0.0	0.04	0.0	0.11
Foxd3	0.0	0.0	0.0	0.0	0.04	0.04
Fut11	0.0	0.0	0.0	18.75	18.24	19.24
Gja8	0.0	0.0	0.0	0.0	0.07	0.07
Gjb4	0.0	0.0	0.0	0.0	0.07	0.07
Gkn1	0.0	0.0	0.0	0.0	0.08	0.08
Gm10516	0.0	0.0	0.55	4.72	5.54	5.89
Gm18409	0.0	0.0	0.0	0.0	0.04	0.04
Gm410	0.0	0.19	0.85	2.31	2.27	1.99
Gm5878	0.0	0.0	0.0	0.0	0.02	0.02
Gm5891	0.0	0.0	0.0	0.0	0.01	0.01
Gpd1	0.0	0.0	0.0	80.97	75.87	79.2
Grpr	0.0	0.0	0.0	0.8	0.75	0.62
Grrp1	0.0	0.0	0.0	2.78	4.86	4.39
Hephl1	0.0	0.0	0.0	0.02	0.04	0.04
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Igf2bp1	0.0	0.0	0.0	0.05	0.01	0.01
Insm1	0.0	0.0	0.15	5.91	7.81	5.39
Irx2	0.0	0.0	0.0	0.0	0.04	0.04
Itga2	0.0	0.0	0.0	0.12	0.02	0.02
Kcnip3	0.0	67.71	0.45	107.09	100.54	106.97
Kcnv2	0.0	0.0	0.0	0.0	0.02	0.02
Kctd3	0.0	7.54	23.28	61.48	65.8	60.9
Kdm1a	0.0	0.0	2.33	54.33	54.41	51.28
Klhl17	0.0	49.16	0.0	35.96	37.53	40.54
Klkb1	0.0	0.0	0.0	0.12	0.04	0.04
Lmln	0.0	0.03	0.0	9.32	8.48	8.63
Mafk	0.0	0.0	0.0	8.83	10.49	6.99
Magee1	0.0	24.78	70.51	117.31	122.31	117.69
Mark1	0.0	0.35	0.0	67.25	66.74	67.46
Mark2	0.0	0.0	12.03	61.73	61.24	61.66
Mknk2	0.0	0.0	14.75	30.98	33.65	27.25
Nrl	0.0	0.17	0.0	0.62	0.63	0.54
Pex11b	0.0	18.64	18.36	51.11	56.16	56.02
Pisd-ps1	28.88	30.06	113.53	282.97	137.99	146.99
