	Ntsr1_tdTnegative_cell_13	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700010B08Rik	0.0	0.0	0.0	0.12	0.59	0.97
2410127L17Rik	0.0	0.0	0.0	14.1	13.11	11.92
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930473A02Rik	0.0	0.0	0.0	0.78	1.32	1.42
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
Abcc9	0.09	0.37	0.18	3.33	3.27	4.07
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Begain	0.0	0.0	0.0	103.74	126.52	123.92
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C330019G07Rik	0.0	12.65	10.68	18.97	16.93	18.61
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Dbc1	0.0	108.14	31.0	177.21	176.36	174.5
Dlg4	0.0	12.73	0.11	535.98	535.3	542.17
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Epas1	0.0	31.03	0.29	56.18	55.43	68.04
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fmnl2	0.0	20.51	0.0	24.37	22.36	25.34
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gfap	0.0	0.61	0.0	107.26	131.62	167.88
Glipr2	0.0	0.41	0.0	1.96	2.22	3.72
Gm1673	0.0	24.09	0.0	53.39	62.92	63.57
Gucy2e	0.0	0.28	0.03	1.12	1.34	1.7
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2be	0.0	0.0	0.0	2.16	2.9	2.39
Hist1h2bq	0.16	0.2	0.0	0.38	0.28	0.38
Hist1h2br	0.16	0.2	0.0	0.38	0.28	0.38
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hyou1	3.87	40.56	0.92	59.99	58.04	57.41
Insm1	0.0	3.02	0.0	5.91	7.81	5.39
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klhl34	0.0	2.6	0.0	51.95	44.86	59.06
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lingo4	0.0	0.28	0.0	0.6	0.58	0.62
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lsm14b	0.76	26.29	0.15	66.75	73.07	69.63
Map4k4	62.24	16.06	0.0	65.51	65.81	71.26
Meis2	0.0	0.62	0.08	66.68	69.5	64.81
Mlec	0.0	49.61	31.02	61.3	56.55	58.8
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pi4kb	0.0	26.65	0.1	35.74	35.19	35.07
Pla2r1	0.0	0.12	0.0	0.41	0.31	0.45
Plxna1	0.0	24.95	3.09	35.88	37.83	38.57
Sec14l3	0.0	0.42	0.0	1.59	1.18	1.29
Setd7	11.16	25.76	16.36	83.54	75.5	83.81
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smarcd3	0.0	0.0	0.0	88.45	93.11	89.65
Spag5	0.0	0.0	4.46	10.75	9.88	10.8
St3gal1	0.01	15.47	1.94	18.78	16.94	18.15
Synj2	0.0	5.03	0.0	49.67	47.08	52.17
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ubtf	0.87	0.37	1.25	78.31	78.64	80.03
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vwa1	0.0	13.73	0.0	22.58	23.05	24.71
Wrnip1	7.27	1.26	1.41	60.42	67.09	61.56
Zbed3	0.0	9.75	0.0	11.48	12.15	13.15
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	5.86	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
