	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_58	Pvalb_tdTpositive_cell_46	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110003E01Rik	0.0	15.66	22.84	104.04	106.35	104.6
2010106E10Rik	0.0	0.0	0.0	0.0	0.0	0.0
2210408I21Rik	0.0	0.0	0.0	8.86	7.18	8.48
2310047M10Rik	0.0	0.0	0.0	26.42	30.44	27.64
2810454H06Rik	0.0	0.0	0.0	0.42	0.62	1.15
4833403I15Rik	0.0	0.0	0.0	0.03	0.09	0.03
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930404I05Rik	0.0	0.0	0.0	1.87	1.77	2.35
4930422G04Rik	0.0	0.0	0.0	2.71	2.57	2.84
4930443G12Rik	0.0	0.0	0.0	0.06	0.18	0.07
5930412G12Rik	0.0	0.0	0.25	3.01	2.62	2.25
AI480653	0.0	0.0	0.0	21.82	22.85	21.25
AU018829	0.0	0.0	0.0	0.0	0.0	0.0
Adam1a	0.0	0.0	0.0	7.69	8.7	8.5
Akt1s1	0.0	0.0	0.0	51.71	61.91	56.59
Alcam	0.0	9.71	17.72	100.71	94.97	94.18
Ankrd40	0.0	9.03	0.0	97.94	96.8	99.84
Ankrd54	0.0	0.0	0.0	12.32	16.03	13.97
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b4	0.0	0.0	0.0	0.04	0.02	0.07
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Brca2	0.0	0.0	0.17	1.93	1.6	2.21
C8b	0.0	0.0	0.0	0.04	0.04	0.09
C8g	0.0	0.0	0.0	1.65	1.83	0.7
Carns1	0.0	0.0	0.0	7.26	7.65	7.82
Ccl28	0.39	0.19	0.12	0.87	2.26	2.26
Ceacam9	0.0	0.0	0.0	0.29	0.69	0.23
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cflar	7.48	8.33	6.84	8.6	8.18	8.92
Clcn2	0.0	0.0	0.17	45.55	48.57	47.78
Crybb3	0.0	0.0	0.0	1.48	2.16	2.09
Cts8-ps	0.19	0.0	0.0	0.11	0.03	0.07
Dnase2a	0.94	1.01	0.0	4.82	5.11	5.28
Dnlz	0.0	0.0	0.0	26.8	29.73	28.72
Dtnbp1	0.0	0.0	0.47	64.4	73.11	65.35
Eif4g1	25.16	0.13	0.0	145.21	148.23	148.6
Endog	0.0	0.0	0.0	20.22	24.57	20.01
Fa2h	0.0	0.0	0.0	34.26	36.67	39.17
Fam122a	0.0	0.0	0.0	19.77	23.64	20.41
Fam129b	0.0	0.0	4.08	22.71	23.7	21.44
Fam83b	0.0	0.0	0.0	0.06	0.18	0.06
Fanca	0.0	0.0	0.0	0.98	0.89	1.24
Fbxw11	0.0	63.38	34.04	96.8	95.03	97.22
Flywch1	0.0	32.91	3.39	187.51	205.15	199.13
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxm1	0.0	0.0	0.0	0.88	1.13	1.32
Gab1	0.0	0.0	0.0	14.41	15.86	19.27
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gde1	0.0	7.5	0.0	304.34	337.74	326.45
Glt1d1	0.0	0.0	4.74	27.44	23.8	23.35
Glt28d2	0.0	0.0	0.3	0.4	0.48	0.56
Gm10445	0.0	0.0	0.0	0.0	0.0	0.0
Gm10941	0.66	1.06	1.93	1.48	2.17	2.01
Gm12886	0.0	0.0	0.0	0.09	0.0	0.0
Gm14092	0.0	0.0	0.0	0.05	0.05	0.11
Gm16973	0.0	0.0	0.0	6.56	6.31	5.57
Gm2002	0.0	0.0	0.0	1.73	1.86	1.4
Gm4532	0.0	0.0	0.0	2.74	3.8	2.68
Gm6086	0.0	0.34	0.43	0.45	0.33	0.59
Gucy1b2	0.0	0.0	0.0	0.07	0.21	0.34
H2-M5	0.0	0.0	0.0	1.45	1.3	0.98
Hey1	0.0	0.0	0.0	63.38	62.86	55.62
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hnrnpa0	0.0	74.47	48.77	126.2	144.89	131.58
Hoxc8	0.0	0.18	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il11ra2	0.0	0.0	0.0	1.73	1.86	1.4
Il2rg	0.0	0.0	0.0	1.3	1.46	1.72
Ints1	0.0	0.0	0.0	40.11	41.85	42.62
Irf2bp1	0.0	0.0	0.0	32.87	39.92	35.29
Itga11	0.0	0.0	0.0	1.29	1.24	1.05
Itgav	0.0	0.0	0.0	36.08	35.52	36.84
Kctd5	0.0	1.44	0.0	22.48	23.72	22.75
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klf16	0.0	0.0	0.0	42.76	47.45	41.34
LOC100504608	0.0	0.0	0.0	0.44	0.42	0.15
Lactb	0.0	0.0	0.0	20.79	22.64	19.7
Lag3	0.0	0.0	0.0	6.77	7.49	11.34
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lmo1	0.0	0.0	0.0	17.7	16.41	19.44
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Lsm14a	0.0	0.0	60.36	57.18	59.15	55.21
Mageb16	0.0	0.0	0.0	0.0	0.0	0.12
Map3k13	0.0	0.0	5.71	11.25	9.98	9.95
Mapkapk3	0.0	0.0	0.0	2.34	2.47	2.22
Mir199a-2	0.0	0.0	0.0	0.0	0.0	0.0
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mttp	0.0	0.0	0.0	7.85	8.03	7.14
Ncapg2	0.0	0.0	0.0	2.76	2.23	2.75
Nptx2	0.0	0.0	0.0	43.72	43.18	53.6
Nr4a1	0.0	0.0	0.0	206.29	172.38	80.6
Nr4a3	0.0	2.64	0.0	22.46	24.73	11.21
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr120	0.0	0.0	0.0	0.0	0.0	0.0
Otog	0.0	0.0	0.0	0.04	0.06	0.05
Paox	0.0	0.0	0.0	6.53	7.07	8.04
Pdzd9	0.0	0.0	0.0	0.15	0.22	0.87
Pex1	0.0	0.0	0.0	15.86	15.43	16.08
Pla2g5	0.0	0.0	0.0	2.31	1.09	2.02
Ppm1d	0.0	0.0	0.0	14.04	14.41	11.08
Ppp2r2c	0.0	0.17	3.44	446.28	420.01	458.99
Ppp6r2	3.4	0.0	0.0	60.1	62.74	64.79
Prdm13	0.0	0.0	0.0	0.03	0.09	0.06
Pskh1	0.0	0.0	0.0	6.82	7.66	9.05
Rab15	0.0	0.0	84.94	208.71	198.88	208.71
Rap1b	0.0	0.0	0.0	80.58	81.9	72.87
Rbm43	0.0	0.0	0.0	14.39	15.8	14.68
Rbm45	7.01	3.37	7.1	35.4	33.46	35.22
Rgn	0.0	0.0	0.0	0.32	0.24	0.2
Rheb	7.72	2.41	4.93	147.49	152.4	136.74
Ribc1	0.0	0.0	0.0	0.53	0.94	1.23
Rpgrip1	0.0	0.0	0.0	0.4	0.29	0.41
Scarf2	0.0	0.0	0.0	3.16	5.09	3.02
Scml2	0.0	0.0	0.0	1.17	0.86	1.04
Setdb1	0.0	0.0	0.0	29.16	26.78	27.13
Six3os1	0.0	0.0	0.0	2.5	2.83	2.72
Slc24a6	1.25	1.37	1.91	4.75	5.08	6.09
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snord100	0.0	0.0	0.0	6.28	2.96	0.0
Snord34	0.0	0.0	0.0	0.0	0.0	6.93
Socs4	0.0	0.0	0.0	7.86	6.97	7.36
Speer6-ps1	0.0	0.0	0.0	0.21	0.1	0.21
Stag3	0.0	0.0	0.0	0.72	0.85	1.08
Stk39	0.0	0.0	0.74	52.61	49.61	50.93
Taf10	0.0	0.0	0.0	59.35	69.95	69.08
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tgif1	0.0	0.0	0.0	1.39	2.58	1.6
Tmem164	0.0	11.7	0.0	16.24	15.44	16.72
Trim66	0.0	0.0	28.99	15.6	13.69	15.39
Trpm8	0.0	0.0	0.0	0.1	0.1	0.05
Tsga13	0.0	0.0	0.0	0.09	0.09	0.36
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ucn2	0.66	0.0	0.0	0.72	0.39	0.25
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zfp597	0.0	0.0	0.0	11.17	11.44	11.33
Zfp768	0.0	0.0	0.0	10.0	11.49	11.46
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c19_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	2.87	3.14
mt_AK131586	6370.03	27.65	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	25.82	9032.87	8417.95	8583.15
