	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_28	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_38	Rbp4_tdTnegative_cell_12	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810008A18Rik	0.04	0.0	0.0	0.0	63.58	0.0	57.15	0.09	0.0	0.0	0.0	0.0	0.0	143.1	0.0	1.19	0.0	0.08	0.0	103.48	0.17	107.72	0.0	0.0	0.0	0.0	3.6	0.0	0.0	36.08	36.36	34.22
3830406C13Rik	0.0	0.08	11.91	0.0	0.0	6.6	0.08	0.0	0.0	78.45	0.0	32.48	0.0	193.54	0.74	29.19	0.0	151.67	11.95	0.07	0.0	45.99	1.1	172.62	0.0	9.61	0.0	0.0	0.0	22.91	20.24	21.78
4933406C10Rik	0.0	0.0	0.0	0.0	0.0	0.0	13.44	0.0	0.0	0.0	0.0	0.0	0.0	112.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.92	1.07
6330407J23Rik	18.0	0.08	12.03	0.0	45.81	6.06	54.82	7.08	0.08	14.78	5.05	22.78	2.35	83.84	48.18	4.02	0.0	9.37	42.38	58.17	0.0	64.55	11.39	17.59	18.31	16.88	10.23	2.16	4.91	49.96	45.74	58.4
A530050N04Rik	0.08	0.16	0.16	0.15	0.28	0.32	0.0	0.6	0.0	0.29	0.28	0.27	0.0	0.56	0.0	0.48	0.0	0.09	0.3	121.6	0.0	0.3	0.0	0.0	0.0	0.34	0.86	0.0	0.38	1.48	1.01	1.12
AW011738	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.32	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57	3.82	4.41
Abcc9	0.48	0.47	0.56	0.56	1.14	0.84	0.29	0.18	0.17	0.85	0.78	0.89	0.38	1.59	0.76	0.56	0.04	0.49	0.72	0.73	0.62	0.98	0.42	0.2	0.52	0.6	1.12	0.26	0.61	3.33	3.27	4.07
Acsl6	36.2	0.0	0.0	0.71	38.31	5.83	0.07	0.59	92.67	29.22	0.0	5.64	10.08	183.0	2.69	0.03	0.0	0.04	1.72	161.46	39.05	0.14	0.0	0.0	12.24	37.45	59.93	0.0	108.66	165.64	155.64	169.63
Ano6	0.0	0.0	0.0	0.0	18.42	0.0	0.0	0.0	0.0	0.78	0.0	1.15	0.0	71.29	0.0	0.0	0.0	0.26	34.86	0.8	0.0	0.03	24.85	0.0	0.07	3.21	0.0	0.0	0.0	14.32	13.97	14.67
Arg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.34	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.13	0.14
Auh	0.0	0.08	43.96	63.12	0.0	0.37	10.44	0.17	0.0	0.0	0.0	81.79	0.0	158.62	4.18	0.0	0.0	0.08	0.0	133.5	0.16	166.46	13.03	44.95	0.0	0.0	0.0	0.0	292.83	74.86	78.79	72.63
Brsk2	36.39	44.7	46.88	17.99	157.61	15.14	103.81	32.83	69.99	18.38	49.27	58.87	21.37	72.11	19.33	23.93	0.0	106.13	9.62	129.06	42.52	30.6	7.57	0.0	19.78	36.44	20.95	0.0	45.61	148.06	151.67	152.3
Cbx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.43	0.0	6.96	10.66	0.0	85.74	0.0	0.0	0.0	0.0	0.0	0.03	0.12	43.38	12.37	0.0	0.0	0.0	0.0	0.0	0.0	25.49	29.41	26.74
Clcn7	0.0	16.02	0.0	0.0	0.0	0.0	137.56	0.05	0.0	0.0	0.0	0.0	0.0	133.12	8.84	0.0	0.0	0.03	0.0	86.17	62.48	0.13	0.0	0.0	0.0	9.75	0.14	0.0	0.0	36.73	37.43	39.43
D630003M21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	3.62	3.29
Dhx30	8.04	121.78	13.61	0.12	107.57	5.54	142.29	1.31	106.71	6.08	39.17	102.21	6.64	325.49	19.48	6.87	0.0	144.63	1.5	89.27	2.54	204.94	119.84	9.62	93.46	210.32	184.2	20.3	106.03	74.1	73.69	72.53
