	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008P14Rik	0.0	0.0	0.0	0.0	0.0	929.24	0.0	0.0	0.0	0.0	543.31	422.54	194.41	658.68	376.19	512.25	649.65	462.38	822.42	885.9	530.3	373.7	486.43	0.0	0.52	0.0	0.0	2.32	1.05	0.0	990.56	1610.4	1.35	0.0	219.79	237.06	257.04
1810029B16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.65	20.99	0.0	159.57	58.29	24.58	5.39	58.86	100.67	69.48	145.49	0.0	0.31	876.19	0.0	0.0	0.0	0.0	0.0	215.04	0.0	0.0	11.96	9.07	13.96
2410001C21Rik	0.0	0.24	0.19	0.37	0.0	156.05	523.06	76.5	325.09	0.0	1.83	0.56	5.07	121.98	234.76	39.74	32.2	32.34	48.75	12.76	1.04	24.83	44.33	0.96	18.9	0.0	0.0	0.0	90.48	0.0	235.9	411.7	862.8	0.49	78.45	85.68	80.72
A730098P11Rik	0.49	0.0	0.84	0.0	0.0	0.78	0.0	0.0	0.35	0.49	1.1	0.17	0.2	0.76	0.09	0.22	0.12	0.54	0.92	0.19	0.15	0.37	0.32	0.0	0.32	0.54	0.0	0.0	0.0	0.0	17.89	37.07	37.64	0.0	0.34	0.42	0.31
Add2	0.0	0.0	0.0	0.0	0.0	7.72	0.0	0.0	0.0	0.0	309.04	0.19	0.22	4.02	38.58	0.0	0.14	10.6	0.0	8.91	14.92	17.6	0.0	0.22	0.21	0.7	0.0	0.0	0.0	0.0	13.33	401.04	0.0	0.0	117.5	113.28	121.53
Anapc16	324.89	0.45	0.0	0.0	0.0	0.0	0.85	1.0	0.0	0.0	0.0	413.59	208.76	89.89	71.51	0.32	74.05	69.92	56.82	29.17	1.32	33.48	5.92	0.0	4.16	1.8	0.64	239.16	1.17	1.39	117.42	276.39	1.34	173.46	67.42	73.59	67.6
Apbb1	0.0	0.0	0.0	0.0	0.0	211.54	0.0	0.0	0.0	0.0	199.64	1.88	146.93	211.04	171.5	51.64	36.94	136.48	115.8	55.23	218.52	46.76	65.38	0.0	0.0	1.15	0.57	0.0	1.01	0.0	385.98	519.13	0.87	0.0	384.22	435.94	424.83
Arl2	0.0	0.0	0.0	0.0	0.63	91.67	0.0	0.0	0.0	0.0	1.56	0.72	98.32	252.85	262.93	76.38	106.17	119.53	0.0	79.76	15.94	127.18	101.96	0.0	0.0	2.64	2.79	0.0	0.0	0.0	167.48	347.02	1.0	0.0	87.39	89.27	87.68
Atp2b1	15.31	0.0	0.0	0.17	0.0	165.99	18.14	37.22	48.66	0.0	230.64	0.74	455.93	559.65	502.94	170.27	148.25	236.81	165.82	312.45	96.65	319.95	95.12	13.37	0.14	0.71	0.21	0.0	342.08	0.0	122.63	349.51	5.47	348.08	296.03	263.29	297.77
Bop1	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	97.53	0.48	0.0	3.62	0.0	2.55	0.0	8.91	0.0	0.85	0.0	2.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	51.26	162.22	0.0	0.0	46.21	48.64	48.57
Bsn	0.1	0.0	0.0	0.0	0.0	87.83	0.02	0.02	0.06	0.1	29.13	0.17	16.2	24.55	16.19	5.35	8.63	18.84	8.95	3.26	16.36	8.43	1.27	0.0	0.13	0.22	3.29	0.5	0.08	0.04	39.64	33.58	0.26	0.07	89.93	87.69	106.31
Cand1	0.05	0.0	0.0	0.0	19.43	101.75	0.0	0.0	0.0	0.0	0.31	0.07	43.14	29.32	10.83	23.17	8.69	17.3	7.02	21.85	0.13	24.54	36.34	0.0	0.0	0.09	0.0	0.0	0.0	0.0	17.91	80.67	0.05	0.0	54.24	53.15	51.65
Capzb	1.92	0.0	1.02	0.0	0.0	299.23	3.78	0.0	0.4	0.0	210.47	0.74	105.31	217.76	144.62	191.32	206.27	127.28	58.33	10.37	31.65	96.01	77.33	1016.64	750.14	954.13	0.48	3.57	25.12	0.0	137.75	680.36	1.03	0.0	243.55	265.18	244.08
