	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_78	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
5730403B10Rik	112.58	192.8	371.46	0.11	144.54	183.66	0.0	248.34	19.38	0.25	0.0	0.0	0.0	0.0	0.0	225.62	327.16	183.22	429.63	204.44	90.8	158.0	220.57	330.86	365.74	289.0	145.61	234.3	263.44	136.93	285.92	207.07	352.4	267.25	101.98	232.52	195.6	213.25	357.83	348.29	214.41	0.0	0.35	0.15	106.34	307.48	337.48	184.71	583.03	203.79	162.39
6330403K07Rik	679.79	841.83	1240.96	0.0	16.6	0.53	0.0	88.22	0.0	251.26	0.0	0.0	0.0	0.0	0.0	907.71	655.92	1058.02	685.74	337.86	542.7	667.83	941.07	1151.65	888.52	793.04	559.16	1159.17	863.16	440.11	525.05	269.55	633.41	193.74	607.2	441.66	368.83	432.33	608.72	541.24	412.79	0.0	0.86	0.0	453.94	754.64	850.62	758.5	666.39	723.18	761.04
Akap5	162.19	117.55	194.48	7.92	146.08	101.23	17.97	110.71	5.71	99.84	2.04	2.81	7.44	1.28	13.71	218.63	204.58	134.91	168.68	191.86	117.49	161.43	209.33	123.44	178.44	93.98	226.97	122.45	188.0	85.12	145.39	114.4	240.51	237.4	128.87	254.05	177.09	178.57	348.37	198.05	73.55	1.37	1.42	2.05	145.09	322.93	150.96	141.54	232.75	214.8	104.38
Atl1	98.71	108.99	325.84	0.0	137.28	72.26	0.0	1.27	0.0	0.69	0.0	0.0	0.0	0.0	0.0	200.1	127.89	158.99	230.65	81.86	79.39	228.5	192.37	70.16	168.23	137.45	206.41	280.71	233.75	159.89	179.3	182.05	120.33	47.69	32.47	173.75	73.13	177.39	131.19	226.93	155.15	0.0	0.0	0.0	182.47	124.8	83.84	274.48	225.68	130.88	90.0
C330006A16Rik	29.71	36.8	78.38	0.0	64.58	197.51	0.0	0.31	0.0	57.71	0.0	28.25	0.0	0.0	683.78	89.9	156.37	29.4	57.99	82.84	0.05	79.06	51.61	112.33	115.89	130.84	135.97	163.79	113.35	22.31	0.0	34.98	172.85	94.31	6.33	35.72	27.48	171.95	96.11	88.48	106.7	0.0	0.59	0.0	87.59	141.2	63.97	97.2	469.4	55.12	50.56
Cldn25	85.36	131.35	149.43	0.0	70.24	39.16	0.0	130.37	0.0	0.0	0.22	0.0	0.0	0.0	1242.91	354.69	357.02	245.43	262.51	168.22	281.99	209.31	224.69	167.52	390.59	284.56	237.43	58.01	21.13	42.05	123.42	42.93	302.86	1.47	46.95	159.42	195.22	154.34	168.57	157.83	85.15	1.22	0.0	0.0	119.73	175.88	249.52	153.25	354.48	49.56	64.09
Cnp	29.47	0.0	27.56	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	32.67	36.54	0.0	40.0	37.31	17.76	12.84	0.0	64.46	12.52	75.96	35.83	86.15	0.12	26.2	22.65	20.27	0.0	42.58	0.91	60.38	25.71	10.31	17.19	36.12	0.0	1.57	1.17	0.0	0.0	117.93	18.43	22.92	201.76	0.0	0.04
Cygb	97.59	79.86	223.61	0.0	51.32	11.85	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	82.95	58.91	73.97	131.57	103.8	29.87	189.84	144.8	255.56	154.66	14.82	143.46	163.19	99.1	149.21	32.74	118.87	126.09	70.59	0.0	103.82	63.02	53.48	67.63	69.55	188.76	0.0	0.0	0.0	234.2	213.92	87.17	122.29	164.9	97.6	70.07
Dync1i2	73.28	162.73	166.41	20.48	368.21	13.76	0.0	46.84	5.22	70.43	15.62	0.0	0.0	20.9	0.0	203.1	213.12	285.95	194.74	157.85	219.35	103.26	54.64	115.42	97.22	132.69	152.98	86.44	102.3	36.78	105.47	77.83	308.98	73.5	121.29	259.95	86.41	182.1	123.54	181.15	238.8	0.0	0.54	33.2	133.78	144.16	146.02	33.98	296.16	165.17	156.38
Eif4a2	2435.76	2250.81	2208.1	1806.86	2060.89	980.92	0.44	956.91	1193.39	1186.68	54.51	507.11	161.46	1305.31	0.21	2531.92	2056.0	1915.25	1573.04	2040.77	2139.67	2481.99	3304.06	2285.89	1568.84	1489.09	1780.3	2097.14	1617.8	1269.34	2571.8	1991.67	2232.34	2094.65	1227.51	1659.43	1653.69	1656.08	1833.76	1738.86	2428.17	1016.25	1562.34	1354.4	1604.01	1644.78	1857.43	1906.88	3015.06	2044.42	2507.49
