	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_64	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_41	Scnn1a.Tg3_tdTnegative_cell_16
1810008A18Rik	0.0	0.0	85.91	0.0	0.0	0.0	0.0	0.0	2.34	0.0	4.82	0.0	1.2	0.0	0.0	0.35	0.42	0.0	2.01	0.14	26.59	0.0
2510009E07Rik	114.23	0.0	76.27	63.83	0.0	17.33	19.28	4.3	55.83	1.36	61.44	0.45	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
2610008E11Rik	0.0	0.0	210.09	145.21	78.05	0.0	54.67	64.49	0.0	0.0	2.87	11.75	0.08	0.0	0.0	0.0	0.0	0.0	63.36	0.43	10.6	0.0
2810422J05Rik	0.0	0.0	240.3	86.02	24.73	113.25	126.52	3.66	0.0	7.65	158.49	42.22	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.94	0.0
5730403B10Rik	0.11	0.13	345.88	247.89	301.43	123.83	122.21	43.57	61.44	81.07	80.33	77.17	0.45	0.1	1.0	0.59	0.76	0.15	0.0	128.57	380.37	0.0
AI314976	0.0	9.0	231.75	76.11	90.96	18.37	0.0	95.79	0.0	0.0	0.0	5.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.81	0.0
Acot13	0.0	0.82	578.9	436.59	240.01	585.98	76.09	165.93	480.57	238.37	316.01	480.35	229.86	0.0	1149.43	1.2	903.62	0.93	0.0	776.05	334.12	0.94
Ano10	0.0	0.0	201.2	0.0	22.89	0.0	0.0	0.0	0.0	60.39	1.71	34.41	0.12	0.0	5.35	0.0	0.0	0.0	0.0	77.19	15.54	0.0
B230209E15Rik	0.0	0.0	255.98	17.33	63.09	41.04	87.98	79.94	13.1	23.52	98.49	69.71	0.31	0.0	1.07	0.76	0.32	0.0	0.0	148.29	98.54	0.0
Brd4	261.94	0.0	60.53	27.89	21.02	2.07	4.63	14.7	15.4	0.26	1.02	3.44	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.03	3.39	0.0
Cacna2d3	0.0	0.0	262.06	0.04	139.91	39.55	43.2	55.58	63.32	47.26	97.01	9.03	0.0	0.0	0.39	0.0	0.0	0.0	0.0	4.08	0.1	0.0
Ccl27b	0.0	0.0	27.92	0.18	54.72	30.68	0.23	50.62	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	3.32	0.0
Celf4	0.0	2.37	274.9	149.6	50.75	115.57	133.4	117.96	47.47	38.84	127.53	36.72	0.37	0.0	5.22	1.13	0.95	1.46	0.0	186.56	239.67	0.0
Cxx1b	0.0	0.0	70.14	66.45	10.23	36.39	42.69	35.79	39.18	83.67	78.91	28.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.71	14.99	0.0
Dagla	0.0	0.0	37.53	15.41	0.0	2.4	0.0	0.55	10.11	0.98	30.61	10.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.84	0.17	0.0
Dennd1b	0.0	0.0	78.9	43.9	0.12	10.93	16.43	63.6	0.2	0.0	0.14	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.56	0.12	0.0
Dgkz	0.0	0.0	317.59	72.26	27.03	28.29	81.38	4.93	8.78	12.11	8.54	17.62	0.0	179.5	0.21	0.0	0.0	0.0	2.38	22.36	23.04	0.17
Etfdh	0.0	0.0	257.05	106.12	31.96	43.51	22.28	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.32	0.0	0.0	0.0	0.0	0.58	47.5	0.0
Faim2	0.06	0.0	146.93	82.47	101.98	22.25	70.06	6.21	11.63	90.97	58.17	105.55	0.07	0.0	3.58	0.79	0.14	0.0	0.0	111.77	87.72	0.0
Fastk	0.0	0.0	206.02	0.27	0.0	0.0	48.55	0.0	1.78	47.44	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.09	43.99	0.0
Fdft1	0.0	0.0	582.38	69.94	100.23	143.32	311.25	64.15	7.64	40.61	113.62	85.82	0.22	0.0	0.51	0.27	0.9	0.0	0.0	266.3	145.33	0.0
Gabra4	0.0	0.0	223.04	64.37	121.39	94.53	36.15	92.52	27.15	64.78	190.05	19.31	0.16	0.0	0.35	0.0	0.16	0.0	0.0	59.04	109.77	0.0
Gatad1	0.16	0.0	422.37	142.14	39.5	31.27	42.95	271.18	167.11	134.53	52.67	123.32	0.0	0.0	0.0	283.58	339.35	0.46	0.12	142.44	161.96	0.0
Gm13306	0.0	0.0	27.92	0.18	54.72	30.68	0.23	50.62	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	3.32	0.0
Gm20571	0.0	0.0	67.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.71	0.0	0.0
Gm2506	0.0	0.0	27.92	0.18	54.72	30.68	0.23	50.62	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	3.32	0.0
