	Chrna2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_14	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_89	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_13	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106
0610010B08Rik	8.86	8.8	2.06	12.21	29.6	3.21	48.31	0.0	22.01	11.07	26.47	3.11	49.21	0.26	14.55	49.97	60.83	43.27	29.79	38.01	34.07	30.67	35.95	53.74	41.86	36.62	39.96	1.62	7.16	0.0	0.0	0.0	39.33	27.64	0.92
AW555464	3.22	0.0	10.33	13.57	5.16	5.03	7.63	0.0	16.64	3.93	0.2	0.4	1.18	1.1	0.18	20.64	13.98	21.41	6.18	36.74	3.95	25.54	11.15	1.83	16.48	6.3	17.99	7.4	0.0	0.05	0.0	0.0	19.31	4.14	5.76
Cacna2d2	1.85	0.06	1.98	1.88	4.57	4.27	7.6	0.0	2.39	8.0	11.27	0.34	6.72	4.37	6.12	11.46	5.58	14.25	8.07	19.41	24.05	4.14	2.51	2.06	2.93	6.81	5.5	0.33	2.37	0.0	0.0	0.0	1.32	5.2	1.0
Ccdc132	32.86	15.2	37.82	100.04	99.79	44.48	39.71	0.18	37.32	55.17	61.03	0.18	59.6	0.27	34.32	65.82	112.05	111.27	8.89	157.9	79.25	83.4	45.73	0.57	69.49	25.36	52.74	1.15	0.29	0.26	0.56	0.0	8.09	1.39	12.94
Cnnm1	0.0	6.72	47.94	24.2	16.75	20.84	26.45	0.0	18.12	30.63	60.35	0.0	60.53	10.44	29.76	60.36	89.49	64.43	72.25	28.19	34.56	36.31	23.82	15.77	30.46	48.71	32.56	2.6	21.87	0.0	0.0	0.0	69.41	51.6	19.25
Epb4.1l1	19.12	19.75	3.82	10.69	11.43	35.41	13.26	0.0	10.64	34.25	35.64	7.81	11.36	26.43	14.32	6.57	82.46	21.02	44.57	74.67	21.3	33.49	8.52	4.42	35.15	43.13	41.12	1.27	16.54	0.05	0.16	0.0	14.53	13.17	3.49
Fgf9	0.0	9.92	98.32	74.12	91.07	14.93	98.23	0.56	80.84	63.82	58.97	37.44	121.49	76.05	36.36	141.56	109.14	43.72	21.88	148.95	94.06	43.08	79.33	25.93	29.59	42.17	71.47	57.28	29.65	0.56	0.27	0.0	162.8	74.82	21.16
Gm14430	1.3	7.02	2.47	14.66	4.65	3.86	3.32	0.0	12.83	11.03	23.36	0.01	18.47	0.32	9.58	28.79	26.82	17.65	13.81	20.14	40.89	14.03	23.53	13.13	30.75	25.3	15.88	1.15	2.38	0.0	0.0	0.0	17.63	33.17	0.0
Gm14431	0.0	19.34	0.24	0.25	1.09	1.32	0.76	0.0	0.76	1.31	1.91	2.59	0.55	1.51	1.4	24.4	2.08	9.71	1.93	2.1	0.47	0.72	3.74	0.2	4.83	0.28	0.24	0.16	1.92	0.0	0.0	0.0	8.77	0.0	0.0
Gm14434	1.3	7.02	2.47	14.66	4.65	3.86	3.32	0.0	12.83	11.03	23.36	0.01	18.47	0.32	9.58	28.79	26.82	17.65	13.81	20.14	40.89	14.03	23.53	13.13	30.75	25.3	15.88	1.15	2.38	0.0	0.0	0.0	17.63	33.17	0.0
