	Calb2_tdTpositive_cell_3	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_16	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_33	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
1700029F12Rik	0.68	0.0	3.61	1.48	2.49	2.63	0.0	0.0	3.64	0.76	2.28	0.45	3.33	2.09	1.02	3.31	1.19	1.7	1.45	1.13	4.51	3.81	5.46	0.0	1.23	7.18	0.92	0.61
1700047I17Rik2	7.62	0.11	3.11	3.24	4.07	27.58	2.15	0.0	1.08	26.37	19.28	64.29	4.3	7.45	0.58	2.85	19.78	1.69	26.03	4.87	5.19	27.92	1.33	20.34	22.42	3.01	0.65	15.23
6030422M02Rik	65.56	7.01	56.45	63.06	40.4	91.6	0.14	0.0	90.72	91.06	43.63	87.49	80.76	84.46	50.48	88.2	61.62	46.39	76.75	69.66	102.72	79.44	79.04	8.34	71.28	130.13	53.45	84.79
6330439K17Rik	0.24	0.07	64.09	39.81	17.4	2.78	0.0	0.0	4.92	2.33	79.84	104.11	22.44	0.06	22.81	2.26	0.4	7.73	62.99	68.46	2.81	124.11	39.81	19.46	8.54	169.78	1.42	18.97
9030624J02Rik	0.0	197.54	3.25	59.17	0.13	0.0	0.0	0.0	101.0	3.36	19.22	108.83	118.69	8.59	23.11	0.0	45.3	0.0	1.24	0.0	71.35	0.05	67.5	0.0	44.18	9.3	0.0	4.82
Acsm2	0.48	0.21	0.99	1.3	0.71	2.04	0.0	0.0	1.69	1.18	1.39	1.11	1.18	1.11	0.77	1.35	1.29	0.89	0.7	1.04	1.98	1.6	1.33	0.33	1.72	2.94	0.98	1.01
Adam22	485.98	0.0	78.59	194.69	76.42	184.96	1.34	0.0	46.44	160.69	82.92	127.11	312.52	149.72	69.35	166.99	75.79	81.97	93.49	152.92	26.48	98.31	83.99	91.34	48.49	319.85	8.38	44.3
Alx4	0.13	0.0	0.47	0.38	0.41	0.81	0.0	0.0	0.41	0.88	0.91	0.83	1.68	0.74	0.26	0.23	0.28	0.24	0.65	0.24	1.08	0.62	0.51	0.06	1.31	1.48	0.13	0.25
Bbs1	5.79	3.98	5.36	6.59	5.54	5.39	0.06	0.0	9.66	4.83	2.49	26.06	7.12	15.37	9.18	6.0	5.07	4.02	5.15	8.82	6.69	13.56	2.39	0.11	3.51	12.9	5.01	7.5
Ccl27b	0.0	0.0	88.08	2.22	7.78	39.51	0.0	0.0	2.24	98.78	98.8	157.47	217.8	32.42	65.29	296.35	120.48	70.05	71.38	106.16	271.66	408.15	370.84	1.37	136.85	76.23	106.88	74.04
Cd200r2	10.83	0.7	9.02	14.09	12.51	17.36	0.0	0.0	12.85	20.14	11.56	20.89	19.09	13.78	11.16	8.62	11.28	6.37	11.52	9.66	14.3	16.91	8.48	0.0	14.71	18.4	12.0	11.6
Daxx	2.38	0.0	0.04	0.07	0.09	0.0	0.0	0.0	0.07	0.23	0.0	146.07	0.08	0.0	0.11	115.17	9.93	0.0	75.39	106.08	0.0	62.32	0.41	223.59	0.0	196.5	0.0	0.0
Dcaf4	0.0	0.23	4.29	0.05	1.64	0.0	0.0	0.0	7.28	0.09	52.97	77.09	13.8	0.98	132.39	100.71	0.0	0.21	153.47	0.0	117.3	48.59	287.36	16.3	139.18	176.12	1.29	0.07
Ddx55	0.56	0.17	1.04	0.16	0.24	4.29	0.0	0.0	1.14	65.99	9.61	78.23	21.65	0.53	0.75	0.56	125.27	11.39	72.22	0.42	36.4	0.45	0.15	0.0	90.78	83.29	46.6	57.24
Dmrta1	0.0	0.11	0.14	0.07	0.06	0.0	0.0	0.0	0.09	0.0	0.15	0.48	0.19	0.0	0.04	0.17	0.0	0.0	0.29	0.02	0.0	0.09	0.1	0.0	0.21	0.3	0.0	0.0
Dpm1	67.78	759.85	28.97	288.22	157.68	262.31	0.0	0.0	333.96	139.05	0.0	224.48	271.87	218.56	117.55	248.72	226.23	55.82	127.29	109.46	220.27	126.83	4.03	61.89	3.15	330.65	5.96	0.0
