	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_26	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110005A03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1957.45	0.0	0.3	0.0	678.42	0.0	0.0	0.0	72.03	60.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	382.45	0.0	0.0	0.0	0.0	0.37	0.0	2.7	219.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.58	17.77	63.58	23.23	28.49	46.77	0.0	0.0	25.52	26.26	26.28
2210408F21Rik	0.0	201.16	0.0	0.0	0.0	0.0	148.44	653.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	28.01	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	177.37	0.0	0.0	0.0	171.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.62	13.38	31.8	38.33	16.39	22.48	18.5	0.0	0.0	22.08	20.68	26.42
2610034M16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.23	240.62	0.0	0.0	0.0	0.0	155.42	0.0	6.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	1.27	1.35	0.97
4933424G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.06	0.0	0.12
9330133O14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	539.72	0.0	0.0	0.0	0.0	232.64	0.0	0.0	18.1	7.01	0.21	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.16	0.0	0.0	0.0	0.0	0.0	23.79	30.15	32.11	15.26	14.78	17.44	13.78	10.08	0.1	0.0	7.77	7.0	8.22
9330179D12Rik	0.0	33.73	0.0	0.0	0.0	0.0	0.0	1208.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.12	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.51	10.78	31.16	18.1	13.09	12.56	0.0	0.0	4.76	5.26	5.01
Acacb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.59	56.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	2.06	1.84
Aldh4a1	0.15	0.0	0.0	0.0	0.0	0.0	0.0	572.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	12.55	0.0	0.0	0.0	0.0	17.95	0.0	1.15	0.0	2.66	5.62	1.13	0.0	0.0	18.48	20.09	18.02
Apol7e	0.0	0.21	0.0	0.0	0.0	0.0	0.0	24.38	0.0	0.0	0.69	0.0	0.18	0.0	0.0	0.3	0.38	0.15	0.0	0.0	0.17	0.0	0.15	0.0	0.0	0.0	2.53	0.33	0.26	0.06	2.05	0.0	0.0	0.0	0.0	0.16	0.0	0.55	0.0	0.0	0.12	0.32	0.28	0.2	0.16	0.08	0.0	0.0	0.82	0.0	2.07
Arl13a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.06	0.05	0.0
