	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_24	Ndnf_tdTpositive_cell_5	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_22	Slc17a6_tdTpositive_cell_5	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110054O05Rik	0.0	0.51	0.19	0.0	0.0	0.14	0.63	0.31	0.0	0.0	0.0	16.98	0.28	0.76	0.38	1.2	0.0	0.54	0.84	0.18	1.4	0.0	61.6	17.92	21.12	0.0	0.0	18.56	0.91	3.19	2.49	0.21	39.33	7.23	6.44	7.35	0.15	0.26	0.0	2.1	0.23	0.4	9.6	0.55	0.0	0.0	2.16	11.35	15.05	13.57	14.75
1500002O20Rik	0.0	0.0	0.0	0.0	0.0	129.64	0.0	0.0	0.0	0.0	0.0	9.34	0.0	7.78	71.14	8.12	0.0	0.0	0.0	0.0	0.0	0.0	71.71	0.0	32.03	0.0	0.86	3.97	0.64	0.64	4.99	1.96	0.0	0.92	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.0	0.49	42.93	0.0	0.0	0.0	0.03	32.19	33.75	32.27
6330410L21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.74	0.89	0.76	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.48	0.9	0.0	0.54	1.97	0.0	0.21	0.32	0.02	5.69	0.0	0.77	6.72	0.63	3.04	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.21	0.34
Amn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	9.77	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	12.15	0.09	0.0	13.89	6.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	4.49	7.68	6.83
Atp1b3	0.0	0.0	0.0	0.0	683.52	0.0	20.19	0.0	22.71	0.0	0.0	6.68	1.83	20.72	18.72	1.54	20.59	0.0	0.0	0.0	0.0	366.09	149.81	13.07	44.09	0.0	44.45	58.83	39.11	53.2	35.79	0.0	55.35	118.73	0.55	0.0	202.59	6.79	0.0	0.0	0.0	0.14	256.55	77.96	0.56	136.73	141.08	3.54	113.65	114.17	105.82
BC060267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.54	0.0	0.0	0.0	0.0	0.0	1.4	5.58	5.28	5.35
C78339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.37	52.67	56.22
Cbx1	0.0	339.46	105.09	0.0	0.0	0.0	0.0	240.05	0.0	0.0	0.0	0.0	0.0	36.58	20.52	0.35	0.0	45.76	0.0	0.0	842.41	0.0	90.22	30.4	59.76	6.81	0.0	23.04	0.0	36.48	9.57	41.48	14.06	53.32	27.02	0.21	16.59	38.37	0.53	0.0	0.0	135.93	0.0	89.45	21.37	0.0	98.17	0.0	29.04	33.73	34.03
Cbx6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	3.68	23.44	13.96	10.63	0.0	0.0	0.0	0.56	14.12	21.34	0.25	0.68	7.01	1.39	2.28	2.18	7.66	2.01	0.25	11.07	8.06	5.38	0.43	0.03	0.0	0.53	2.81	0.0	0.09	30.41	69.93	0.0	0.0	17.14	56.65	221.26	219.29	227.16
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.0	0.0	0.0	0.0	27.72	0.81	11.61	19.89	0.0	0.0	11.75	29.61	11.59	0.69	1.74	1.75	0.0	0.85	1.18	0.0	0.0	0.0	65.17	389.64	0.0	0.0	14.7	274.48	0.0	0.0	0.0	2.83	30.63	28.29	22.96
Ccne2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.08	9.49	1.57	0.0	9.17	3.27	0.0	0.0	0.0	21.58	4.19	0.08	8.77	1.34	0.0	0.0	5.67	0.0	0.0	0.0	27.5	0.0	0.0	0.0	26.43	4.5	4.41	4.46
Celsr2	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	9.22	0.03	21.02	2.9	4.4	0.0	0.0	0.0	0.11	0.08	0.1	28.2	21.14	12.58	16.2	4.34	18.79	3.13	9.61	15.41	16.53	5.07	2.18	3.55	6.18	8.13	4.81	27.61	6.32	0.0	0.05	34.39	26.23	0.0	0.0	21.59	31.57	73.45	73.3	82.99
Chchd4	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	35.26	26.14	0.0	0.0	0.0	2.08	0.0	0.0	0.87	33.15	100.15	75.11	230.52	100.52	15.27	12.21	0.29	0.0	0.0	74.99	2.44	40.6	73.69	0.28	12.4	106.25	0.0	0.0	0.0	0.0	296.04	0.0	0.0	0.0	60.09	53.43	55.86	58.31
Cldn15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.2	0.22
Clstn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	1.04	0.0	3.26	23.62	2.13	0.0	0.0	1.13	0.0	0.0	0.32	88.2	52.2	34.84	28.57	0.72	22.82	0.0	19.25	21.57	26.1	33.63	8.54	0.81	8.49	0.61	20.73	18.5	0.0	0.0	0.15	2.76	28.63	0.0	0.0	23.91	73.83	777.34	797.87	800.57
Cramp1l	1.04	0.06	0.56	0.0	0.19	0.14	0.18	0.4	0.0	2.59	0.3	0.33	0.9	2.4	22.93	1.01	0.0	2.26	2.44	1.81	33.8	3.06	8.89	0.62	6.18	3.41	3.22	2.78	0.22	0.05	0.43	0.18	16.97	8.54	0.5	0.39	14.67	0.39	28.97	169.56	82.95	0.13	0.6	48.58	0.28	0.0	0.38	12.44	16.78	16.92	16.83
Cttnbp2	0.0	0.0	9.99	0.0	0.0	0.0	0.0	89.02	0.0	0.0	0.0	42.94	0.0	107.66	111.94	38.58	5.65	0.0	0.63	2.28	0.0	1.58	70.24	2.5	27.98	11.81	18.27	38.54	7.94	8.2	36.95	49.59	1.08	18.48	43.78	95.6	146.75	59.41	83.22	56.88	0.0	13.66	51.51	66.26	0.0	14.56	269.5	8.5	72.45	60.65	64.61
Cyfip2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.1	0.0	9.38	0.02	54.77	151.24	18.32	0.0	0.0	0.78	0.0	0.0	4.4	58.42	55.31	101.37	37.55	47.93	131.11	91.19	55.74	97.3	175.46	112.81	34.27	39.83	47.96	13.78	61.92	235.89	22.19	0.0	0.2	141.33	138.47	0.0	0.0	498.73	267.74	420.97	405.91	440.68
Dand5	0.0	0.0	0.0	125.92	0.0	0.0	432.32	0.0	0.0	0.0	0.0	0.0	7.27	140.05	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.88	205.52	0.0	11.51	176.86	43.13	13.29	0.0	0.0	0.0	0.0	61.17	0.19	35.66	0.0	0.0	0.43	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.15	15.64	15.1
Ddx41	0.0	0.0	2.24	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	30.99	0.0	8.11	6.47	4.01	0.0	0.0	0.57	0.0	0.0	2.4	143.11	0.83	0.0	0.0	3.04	12.25	0.0	59.61	0.0	4.25	0.09	1.14	0.13	0.0	4.15	50.28	71.71	420.46	0.0	0.0	0.12	0.0	0.0	0.16	14.99	0.45	35.42	38.4	37.68
Dgkz	186.8	0.0	97.46	0.0	0.0	0.0	0.0	0.0	139.16	0.0	0.0	1.37	0.12	8.86	83.81	13.69	0.0	0.0	1.08	0.0	0.0	2.1	70.71	21.92	46.38	97.01	8.83	32.87	0.4	9.8	6.11	29.19	9.88	29.96	18.25	46.79	4.82	0.49	30.59	6.8	0.0	0.07	220.77	421.24	0.0	0.0	120.22	17.8	347.99	334.7	361.93
Disp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1	0.0	56.57	21.32	5.22	0.0	0.0	0.38	0.0	0.13	0.31	126.78	3.66	87.81	88.7	19.54	23.29	12.93	21.54	40.97	12.03	65.86	23.91	58.6	34.03	27.08	23.29	74.01	0.18	0.0	0.27	6.76	196.63	0.0	0.0	37.54	64.93	142.18	142.99	146.68
Dlg4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	14.11	1.03	0.0	0.0	0.38	0.0	0.0	8.45	8.13	0.58	0.75	1.11	5.71	10.85	0.12	8.41	0.12	0.19	0.97	0.34	0.0	0.38	0.05	3.24	12.12	6.09	0.0	0.62	5.04	2.12	0.0	0.0	11.18	32.13	535.98	535.3	542.17
Dync1li1	0.0	0.0	0.0	2.56	7.64	0.0	2.37	1.53	0.67	6.92	9.39	27.92	0.03	31.97	6.47	64.05	20.21	0.0	1.12	7.63	0.88	0.0	111.83	24.12	65.19	2.41	35.15	17.31	4.37	14.6	12.97	6.76	28.99	14.17	5.95	8.9	10.97	19.4	20.21	8.04	1.0	2.17	4.11	34.63	0.87	302.0	48.27	52.49	90.58	95.72	87.85
