	Chrna2_tdTpositive_cell_7	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTnegative_cell_2	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbD.Slc32a1_tdTpositive_cell_8	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_107	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500012K07Rik	11.52	0.0	0.0	0.0	0.2	0.27	0.0	1.81	7.23	0.33	0.99	2.96	0.3	7.07	63.83	0.14	0.0	2.29	0.0	0.29	0.41	0.87	0.84	3.43	0.06	0.13	0.84	0.0	0.17	2.29	2.99	2.18
1700010I14Rik	156.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	1.1	1.04
2210010C17Rik	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0
4921507L20Rik	1.71	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	1.29	0.68	1.79
4930427A07Rik	0.77	0.0	0.21	0.0	0.16	0.0	0.12	0.16	0.0	0.08	0.0	0.26	0.0	0.1	0.0	0.0	0.0	0.32	0.13	0.25	0.05	0.16	0.11	0.24	0.24	0.06	0.12	0.28	0.0	0.91	1.48	0.91
4931408D14Rik	29.52	0.0	0.0	0.16	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.06	1.56	0.0	0.12	0.0	0.0	0.89	0.0	0.0	0.07	0.0	0.0	0.47	0.08	0.0	0.0	0.0	0.0	0.76	0.49	0.59
4933431E20Rik	142.54	4.97	3.82	1.73	0.41	20.9	1.4	16.47	37.36	0.71	2.56	67.85	9.9	1.98	19.23	38.43	5.92	4.89	5.73	27.09	3.46	20.49	2.35	7.41	36.71	4.49	11.55	37.48	4.3	54.37	54.31	53.33
5930403L14Rik	0.56	0.08	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.03	0.06	0.0	0.04	0.05	0.04	0.1	0.04	0.04	0.03	0.0	0.1	0.06	0.0	0.0	0.07	20.7	19.68	23.03
6430411K18Rik	171.3	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.27	0.0	8.67	0.0	0.0	7.4	0.0	0.0	7.85	6.91	5.85
9330182O14Rik	1.28	0.0	0.18	0.0	0.0	0.0	0.0	0.29	0.21	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.11	0.09	0.07
