	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
2410004P03Rik	0.0	3.91	0.0	2.42	1.38	0.0	0.91	2.5	0.55	0.44	3.22	4.59	0.0	1.92	0.0	2.83	1.94	1.25	1.43	3.8	5.72	0.26	1.79	0.39
A230073K19Rik	0.0	29.89	0.16	22.84	20.56	18.65	34.33	38.62	9.8	21.26	45.82	56.27	18.33	22.55	0.0	25.63	23.95	75.3	48.67	18.27	93.32	28.61	35.79	0.09
Afap1	0.72	71.06	0.37	166.0	64.18	52.16	30.23	83.22	68.96	45.05	241.19	147.3	63.41	49.33	32.9	75.76	79.68	92.27	94.87	89.93	90.1	55.7	75.45	0.43
Calm3	0.13	231.4	136.37	203.54	183.46	184.42	190.28	139.8	138.17	111.83	237.75	187.49	134.76	206.64	144.92	177.19	148.5	165.92	210.66	78.56	184.9	174.57	278.66	14.59
Ccl27b	0.0	1.67	0.68	0.92	6.15	0.0	0.0	1.08	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	4.77	9.42	8.14	1.75	0.0	9.34	0.0
Cstf3	0.18	76.02	0.46	74.51	61.53	5.65	15.84	69.23	1.04	0.0	120.38	9.92	54.48	67.3	0.0	95.59	215.47	90.5	201.39	30.78	116.44	34.38	64.94	0.29
Eef1g	0.0	487.58	21.36	514.79	478.41	393.97	472.63	701.72	267.76	282.08	1206.56	473.53	326.0	562.18	291.99	362.83	518.13	439.4	485.49	295.54	351.12	473.4	416.15	0.0
Fabp3	0.0	1298.72	1.01	1195.8	851.23	684.58	859.12	1176.24	884.68	901.62	570.67	932.74	669.74	1113.02	677.52	1307.65	895.65	1698.12	1352.91	1239.67	1450.42	732.21	888.0	0.0
Gm13306	0.0	1.67	0.68	0.92	6.15	0.0	0.0	1.08	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	4.77	9.42	8.14	1.75	0.0	9.34	0.0
Gm2506	0.0	1.67	0.68	0.92	6.15	0.0	0.0	1.08	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	4.77	9.42	8.14	1.75	0.0	9.34	0.0
Ldhb	5876.73	8752.31	6399.01	8750.45	10894.4	8583.06	9220.91	9343.6	8574.79	9166.61	11261.44	10004.69	9074.03	13571.31	7371.44	12546.17	9106.97	9755.78	8904.1	11010.48	8671.45	10182.84	11746.38	5577.5
Pi4ka	0.04	23.71	0.18	52.1	45.35	4.21	35.18	51.32	26.16	2.49	107.81	27.86	18.78	20.95	0.0	37.96	37.28	22.44	60.5	22.21	89.3	21.3	29.44	0.0
Pmpca	0.0	56.23	0.38	52.45	4.58	48.02	57.91	132.07	15.58	34.22	50.71	136.56	26.17	83.62	0.0	63.44	71.1	13.56	87.0	64.66	156.22	16.87	55.07	0.0
Pop7	0.0	40.81	1.59	78.48	198.07	5.54	34.79	154.92	32.65	0.0	95.88	79.4	20.98	16.67	0.0	187.2	82.13	98.73	60.8	201.87	81.93	0.0	194.51	0.0
Rab11a	0.0	34.04	4.89	156.49	116.93	21.82	24.48	94.54	4.37	0.0	168.71	19.28	50.14	104.92	0.0	115.98	38.03	92.17	45.31	85.82	112.21	10.31	134.18	0.0
Sox6	0.0	20.95	0.0	13.11	14.95	17.76	18.12	33.06	10.79	0.0	0.23	21.27	7.15	14.46	0.0	30.77	19.6	36.47	25.65	27.01	32.52	3.69	20.24	0.0
Stox2	0.0	9.94	0.0	9.71	25.82	0.09	4.09	19.1	2.27	12.24	21.43	7.66	0.83	3.06	0.0	0.35	14.03	3.32	24.67	18.96	9.71	3.25	15.45	0.0
Tipin	0.0	68.35	0.51	29.15	0.0	0.0	6.04	133.61	0.0	51.08	0.0	99.27	0.0	77.34	0.0	65.16	77.56	67.99	95.02	89.23	96.45	34.51	223.25	0.0
