	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_5
1700086L19Rik	0.0	0.0	0.0	0.0	0.79	0.0	14.65	57.21	0.56	0.0	0.0	0.0	731.18
1810026B05Rik	0.54	0.0	0.0	7.3	0.0	6.66	3.42	0.0	16.1	23.65	12.03	2.73	35.42
2210012G02Rik	0.11	0.0	3.55	0.71	15.34	17.31	3.25	15.96	12.25	9.99	16.35	10.46	54.65
4632427E13Rik	0.0	0.0	0.0	8.95	29.01	27.49	2.74	42.48	44.63	0.0	12.3	76.57	121.15
4832428D23Rik	0.08	0.0	0.0	0.13	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.12	1.13
A530064D06Rik	0.16	0.0	1.11	2.86	2.09	0.0	0.0	5.44	1.32	2.86	2.97	1.1	14.32
A830082N09Rik	0.32	0.0	0.29	0.82	1.81	2.89	0.95	0.47	12.0	0.6	0.64	0.65	48.55
Agbl3	0.0	0.0	6.39	22.62	8.04	5.93	0.0	0.0	0.0	0.0	7.49	7.28	20.21
Arhgef18	0.27	0.0	0.09	0.49	0.0	0.0	3.15	0.0	13.59	3.32	15.16	10.43	37.18
Bag2	0.0	0.0	0.0	0.0	0.0	37.84	23.37	1.14	0.24	0.0	0.0	61.83	175.93
Bbc3	0.0	0.0	0.0	0.0	0.0	0.53	1.7	0.0	0.0	0.0	0.0	0.0	3.28
Ceacam20	0.3	0.0	0.16	1.58	1.29	1.91	1.05	0.49	0.56	1.76	1.86	1.44	4.27
Clvs2	0.0	0.0	0.0	0.0	102.1	52.45	126.94	73.18	203.68	41.72	103.94	47.44	129.15
Cntn5	0.0	0.0	7.65	1.13	33.7	18.54	5.55	11.72	66.74	4.64	7.03	17.63	71.51
Csnk1e	0.09	0.0	1.04	7.3	6.02	15.02	2.42	18.94	15.06	7.26	33.55	6.84	35.75
Dhdds	0.0	0.0	3.68	1.79	38.69	5.27	3.21	23.32	25.28	6.05	37.82	22.7	76.17
Fam134b	0.0	0.0	8.02	140.36	60.06	97.42	123.15	95.82	295.22	278.4	29.33	221.12	271.6
Fam65a	0.53	0.0	2.64	0.0	18.27	24.73	12.35	0.59	24.79	1.55	0.0	12.76	55.63
Fat3	0.0	0.0	1.42	0.0	0.0	3.99	0.01	0.0	0.0	1.09	4.68	10.66	17.07
Fpgt	0.0	0.0	0.0	0.0	51.58	8.97	37.06	2.68	0.25	0.0	24.08	0.28	112.01
Fxn	4.24	0.0	7.75	12.47	11.66	11.03	5.76	6.52	11.54	6.08	8.28	3.77	35.68
Gclm	0.0	0.0	9.27	0.0	0.0	2.48	7.51	0.0	0.0	0.0	0.0	10.1	40.89
Gins4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.39
Gm11128	3.0	0.0	0.35	3.07	3.58	4.84	3.96	2.37	2.62	1.04	1.07	4.89	14.64
Gm13083	0.2	0.0	0.0	0.42	0.5	0.0	0.0	0.33	1.28	0.0	0.0	0.0	0.87
Gm14431	0.0	0.0	0.0	1.79	1.31	1.04	2.52	4.65	1.51	1.58	0.36	1.92	2.31
Gm19299	1.2	0.0	1.68	2.58	1.72	1.5	0.53	2.68	0.65	1.9	1.48	0.12	2.85
Gm4841	2.49	0.64	6.02	11.05	10.64	7.63	5.58	6.56	18.23	8.99	8.73	4.96	20.27
Gm8898	0.0	0.0	0.0	1.79	1.31	1.04	2.52	4.65	1.51	1.58	0.36	1.92	2.31
