	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_37	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.11	0.11
1700052K11Rik	0.0	1.74	7.2	7.79
1700061J05Rik	0.0	0.0	0.11	0.11
4930528F23Rik	0.0	0.0	0.06	0.06
4930555B11Rik	0.0	0.0	0.07	0.07
9230104L09Rik	0.0	0.0	0.16	0.16
AU022754	0.0	1.19	3.34	3.41
Adamdec1	0.0	0.0	0.04	0.04
Akr1c12	0.0	0.0	0.08	0.08
Ankrd13b	0.0	0.96	71.45	72.36
Apob	0.0	0.0	0.01	0.01
Bpifb4	0.0	0.0	0.05	0.05
Capn13	0.0	0.0	0.04	0.04
Ccr3	0.0	0.0	0.03	0.03
Cdca8	0.0	0.0	1.23	1.77
Ceacam15	0.0	0.0	0.07	0.07
Clec12b	0.0	0.0	0.07	0.07
Cnn3	0.0	0.0	71.84	72.56
Cno	0.0	0.0	16.57	20.75
Cyp2c55	0.0	0.0	0.05	0.05
Cyp3a57	0.0	0.0	0.06	0.06
D630041G03Rik	0.0	0.09	6.36	5.5
Dnajc5b	0.0	0.0	0.11	0.11
Egr3	0.0	0.0	112.58	94.2
F730035M05Rik	0.0	0.53	1.33	2.58
F9	0.0	0.0	0.14	0.15
Fam123a	0.0	0.0	25.46	25.36
Fam3c	0.0	1.41	56.43	53.1
Fmo4	0.0	0.0	0.06	0.06
Fndc3a	0.0	0.0	29.2	27.65
Fndc3c1	0.0	0.0	0.02	0.02
Gdf1	0.0	0.0	1.07	4.66
Gm12633	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.14	0.14
Gm4745	0.0	0.0	0.08	0.08
Gm5918	0.0	0.0	11.46	8.54
Gnai1	0.0	78.77	179.59	168.36
Grlf1	0.05	0.57	71.07	71.92
Grm3	0.0	29.56	50.26	51.66
Gzma	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.04	0.04
Kctd19	0.0	0.0	0.03	0.03
Kdm3b	0.0	1.52	26.29	26.31
Kel	0.0	0.0	0.04	0.04
Klhl21	0.0	0.17	15.22	12.53
Lect2	0.0	0.0	0.12	0.12
Ltf	0.0	0.0	0.04	0.04
Mir3101	0.0	0.0	5.73	5.91
Mtmr7	0.0	0.0	58.57	59.32
Muc4	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.07	0.07
Mzt1	2.05	3.33	93.77	90.66
Ncr1	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.06	0.06
Nudt11	0.0	0.0	33.63	31.25
Ocrl	0.0	0.55	43.45	40.19
Olfr15	0.0	0.0	0.11	0.11
Pex5l	0.0	0.0	160.07	182.2
Plcb1	0.0	9.12	113.5	118.49
Pmf1	0.0	0.0	4.89	7.15
Prps1l1	0.0	0.0	0.06	0.06
Raet1d	0.0	0.0	0.16	0.16
Rltpr	0.0	0.0	45.51	46.53
Sct	0.0	0.0	0.21	0.21
Skint7	0.0	0.0	0.06	0.06
Slc34a2	0.0	0.0	0.05	0.05
Slc4a1	0.0	0.0	0.02	0.02
Slc9a8	0.0	0.07	23.52	23.82
Slfnl1	0.0	0.0	0.06	0.06
Snrpf	0.0	16.71	27.75	28.13
Sorcs2	0.0	0.0	26.44	30.37
Spnb1	0.0	0.21	53.65	57.7
Tac4	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.03	0.03
Tcstv1	0.0	0.0	0.12	0.12
Tmco5	0.0	0.0	2.2	2.97
Tmem194	0.0	0.0	3.2	3.53
Tmem91	0.0	0.0	20.74	23.23
Usp26	0.0	0.0	0.02	0.02
Vmn1r210	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.04	0.04
Wdr41	0.0	0.0	30.24	28.79
Zdhhc18	0.0	0.0	22.2	22.92
mt_AK018753	0.0	11.55	523.51	626.69
mt_AK131586	6370.03	0.01	25813.35	24561.45
mt_AK166684	0.0	0.0	18796.57	18655.33
