	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_77	Cux2_tdTpositive_cell_103	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_27	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTnegative_cell_22	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010002M12Rik	2.18	10.35	24.17	0.06	0.33	0.71	7.86	3.54	2.46	4.76	0.0	11.29	2.39	8.77	1.34	0.62	9.34	8.22	6.57	0.09	4.67	0.0	8.88	0.0	0.0	9.38	0.0	0.0	4.74	1.27	1.43	1.12
2210039B01Rik	17.14	19.21	70.3	0.0	18.48	0.0	0.38	19.28	6.86	0.0	0.0	0.29	11.57	23.75	0.0	7.76	9.36	14.86	9.46	11.9	17.37	26.19	26.14	12.8	0.0	45.41	5.73	0.0	7.46	11.12	9.43	10.83
4932416H05Rik	0.14	1.44	1.59	0.0	0.09	2.39	0.0	2.69	0.37	2.13	0.0	0.37	1.96	0.53	0.2	0.28	0.0	1.95	0.31	0.46	1.68	0.09	0.74	0.39	0.0	1.15	2.35	0.14	36.4	5.44	5.94	5.08
5930416I19Rik	0.0	1.56	220.25	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.64	0.0	1.16	0.0	0.0	0.0	83.04	68.37	0.0	88.94	0.0	127.38	82.43	0.0	69.55	0.0	0.0	92.57	14.56	15.58	13.59
9330158H04Rik	4.15	4.72	24.34	3.96	1.38	6.02	1.74	4.87	12.86	2.83	0.0	7.89	5.06	5.15	3.07	4.41	4.77	4.03	16.99	5.03	6.55	5.14	6.55	4.78	1.53	6.03	5.27	0.88	4.69	1.51	1.38	1.56
AI606473	0.0	0.0	0.17	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	1.08	0.61
Acsl5	104.21	207.23	397.61	165.69	29.67	88.85	0.0	20.76	122.53	0.0	0.0	255.95	160.34	0.0	145.85	107.21	0.0	78.24	159.14	18.7	163.1	115.9	288.6	108.24	14.98	2.31	24.15	0.0	229.34	57.38	59.45	53.79
Als2	17.92	12.82	116.54	10.53	3.85	25.12	5.5	18.78	19.06	15.97	0.0	9.71	16.15	3.28	15.22	11.09	6.75	72.84	16.52	44.42	147.72	20.97	12.28	21.04	3.23	26.87	18.6	5.08	7.37	27.21	26.07	27.28
Alx4	0.87	0.23	1.73	0.64	0.41	1.51	0.21	1.46	1.31	0.56	0.0	0.41	0.83	0.27	0.28	0.84	0.0	1.11	1.08	0.88	5.39	0.08	1.44	0.51	0.06	0.41	0.18	0.0	0.25	1.44	0.95	1.11
Cand2	0.21	0.16	2.06	0.88	0.77	1.4	0.39	0.57	0.82	0.42	0.0	1.01	0.83	2.55	0.26	0.92	0.78	1.04	0.44	0.91	0.65	0.16	0.38	0.24	0.0	0.65	0.78	0.0	0.17	2.69	2.78	2.5
