	Chrna2_tdTpositive_cell_62	Chrna2_tdTpositive_cell_84	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_48	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_61	Gad2_tdTpositive_cell_70	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_71	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_70	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbD.Slc32a1_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_86	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_101	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_29
1190007I07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.71	0.0	8.56	0.0	9.62	31.66	18.86	0.0	18.22	11.0	0.0	6.33	16.38	46.51	100.42	0.0	0.0
1810018F18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.4	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0
4930578E11Rik	0.27	0.0	0.0	0.81	0.66	0.69	0.62	0.0	0.13	1.54	0.62	0.0	0.37	0.04	0.2	0.15	0.53	0.45	0.37	0.0	0.8	0.11	0.98	1.53	1.96	0.27
9530026F06Rik	3.15	2.01	0.49	0.56	0.0	1.39	1.83	0.0	1.34	6.22	5.23	0.0	0.0	1.18	0.49	0.98	1.19	1.66	1.02	0.71	1.8	0.7	2.16	2.58	0.0	0.0
A630001G21Rik	0.0	0.22	0.15	0.0	0.0	0.12	0.0	0.0	0.3	0.92	0.26	0.0	0.0	0.2	0.0	0.16	0.0	0.3	0.28	0.11	0.0	0.0	0.44	0.96	0.0	0.0
Abca2	7.38	0.0	0.85	6.42	0.28	0.07	0.0	0.0	10.92	20.3	26.09	0.09	7.92	4.04	13.93	30.68	0.0	10.79	11.79	19.55	1.92	0.0	28.67	21.99	0.0	0.0
Abcd3	37.29	3.67	79.37	20.68	2.02	0.0	2.47	0.0	90.31	114.87	49.82	25.21	105.64	0.22	70.41	21.36	0.0	12.75	28.7	0.69	43.3	130.79	1.83	139.96	0.0	0.0
Akap6	60.38	0.0	41.43	3.91	0.49	7.23	33.51	0.0	19.5	40.44	26.05	10.93	38.19	27.7	34.0	40.29	5.74	33.11	16.88	30.22	42.05	17.86	25.12	45.81	3.1	0.0
Apol7b	0.0	0.0	1.72	0.1	0.0	0.0	0.11	0.0	0.13	0.22	0.0	0.0	0.0	0.0	1.1	0.0	0.12	0.07	0.0	0.2	0.09	0.57	0.1	2.02	0.0	0.0
Apol7e	0.0	0.0	1.72	0.1	0.0	0.0	0.11	0.0	0.13	0.22	0.0	0.0	0.0	0.0	1.1	0.0	0.12	0.07	0.0	0.2	0.09	0.57	0.1	2.02	0.0	0.0
Asb7	20.31	0.0	0.25	0.09	0.0	1.25	0.1	0.0	0.0	45.85	0.0	2.18	0.96	0.0	0.0	2.64	0.06	7.18	1.88	0.0	0.0	12.77	7.19	32.77	12.28	0.0
Btbd1	1.23	26.77	1.09	10.68	45.84	0.68	2.95	0.0	48.57	55.36	0.17	2.1	0.0	68.79	17.96	25.32	24.65	0.1	1.06	51.51	8.54	82.61	65.51	77.87	4.03	0.0
C530005A16Rik	0.0	0.0	0.0	0.0	0.71	0.0	76.08	0.0	0.0	60.1	12.75	32.02	24.26	0.0	0.0	44.45	0.0	0.12	0.0	0.52	0.0	0.32	0.0	62.88	0.0	0.0
Cfp	27.66	0.0	0.0	15.39	0.0	0.0	0.0	0.0	0.76	66.04	0.0	12.63	0.0	0.0	0.0	0.0	78.77	15.48	0.0	0.2	0.0	0.0	0.0	66.89	0.0	0.0
