	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_12	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_78	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_4	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
2700089I24Rik	0.77	3.16	0.68	4.96	5.13	1.66	0.33	0.77	0.27	0.0	0.0	2.28	5.32	2.6	0.78	0.43	1.94	1.72	2.18	2.24	0.0	0.83	0.18	0.0	1.15
5031426D15Rik	1.2	67.19	30.8	94.75	387.96	1.72	0.28	16.99	52.16	6.88	78.37	18.07	143.34	3.86	2.48	1.93	81.88	130.46	66.19	69.48	21.4	2.97	56.22	6.75	54.17
6530418L21Rik	0.0	21.52	47.58	92.97	192.06	47.62	0.07	0.15	0.69	0.0	68.18	20.86	108.41	0.0	0.08	0.0	207.15	78.5	26.42	123.4	10.26	0.0	0.0	10.25	0.2
9230110C19Rik	0.0	0.92	0.1	2.02	0.0	111.25	0.0	1.45	0.0	0.0	0.0	0.24	63.45	0.0	0.0	0.0	1.03	0.69	0.0	173.52	0.7	0.0	0.0	0.34	0.33
AI462493	0.0	0.0	179.32	286.67	498.31	2.7	0.0	55.51	259.1	0.0	237.41	282.71	196.87	0.0	0.0	0.0	102.91	262.07	8.82	124.99	37.42	0.0	381.58	262.35	78.97
Acap2	0.0	24.11	0.0	43.73	0.0	30.5	0.05	0.11	69.48	0.0	14.21	9.13	61.74	0.0	0.12	0.0	15.87	7.55	22.26	14.68	3.72	0.13	0.99	4.1	1.11
Actr3b	0.0	58.02	0.37	180.9	0.61	35.53	0.2	161.5	374.88	0.0	52.45	0.21	137.38	32.83	0.45	0.0	6.4	62.38	0.16	72.03	0.0	0.0	59.26	5.43	0.0
Atcay	0.0	48.95	35.85	102.46	5.14	0.0	0.0	28.91	0.29	0.0	34.06	177.01	173.22	13.1	0.0	0.0	41.63	170.78	19.81	51.74	0.0	3.52	0.26	1.6	0.0
C130083M11Rik	0.62	0.28	0.33	4.59	2.88	1.2	0.6	1.28	1.31	0.56	1.85	3.01	5.23	1.1	0.56	0.96	4.09	2.22	1.95	4.2	1.03	4.58	1.2	0.8	0.59
Cmah	19.21	9.9	5.98	33.67	35.21	15.32	6.96	22.09	14.09	0.18	17.99	7.77	21.5	16.12	3.57	22.52	27.29	29.01	30.27	20.94	18.58	1.4	15.04	7.91	0.58
Dcaf10	14.41	29.66	11.97	32.25	34.33	15.58	5.3	22.01	22.25	13.22	17.63	17.64	43.81	18.61	17.24	8.55	32.04	27.76	16.31	25.44	18.85	12.88	10.39	11.68	20.31
Dennd4a	0.07	0.0	0.0	87.68	0.0	0.57	0.04	2.43	0.0	0.0	37.67	37.12	119.35	9.6	1.0	0.43	43.56	4.65	0.02	4.29	0.0	0.0	0.03	0.0	0.0
Dkk1	0.29	0.73	0.12	1.2	1.88	0.0	0.0	0.0	0.38	0.17	0.0	1.04	0.82	0.8	0.17	0.27	1.31	1.92	1.72	0.41	0.44	0.37	0.54	0.11	0.2
Dusp8	0.66	32.71	0.04	138.04	78.28	36.56	0.07	60.91	0.0	0.0	59.91	10.78	148.77	31.12	0.08	0.0	71.98	19.73	123.85	131.64	4.68	4.36	15.97	2.74	12.87
Dync2h1	57.36	17.4	10.47	38.71	59.73	0.17	0.02	8.31	0.27	0.0	1.51	0.0	48.21	3.06	5.42	0.0	8.12	18.05	63.56	0.08	33.81	9.51	0.0	23.96	9.9
E130112N10Rik	1.71	20.64	1.46	35.68	13.91	4.43	3.37	2.85	13.06	7.44	7.12	9.34	25.43	8.95	8.4	1.88	19.74	8.47	9.5	7.5	9.15	6.59	2.89	6.72	6.88
Eif3g	76.09	13.59	181.03	211.16	145.36	5.85	20.52	132.53	140.31	0.0	87.85	109.71	8.49	0.0	0.0	0.0	412.78	6.16	15.22	201.68	169.0	16.73	27.05	0.29	0.0
Fam5c	0.0	218.08	0.0	379.46	481.83	80.25	2.79	0.0	0.59	0.0	67.72	237.82	24.84	0.14	0.0	0.0	333.94	594.07	43.67	165.76	91.38	6.69	0.0	0.0	0.11
Fgf9	0.0	0.14	0.23	83.53	0.74	0.33	0.16	0.0	0.26	0.36	0.33	25.39	8.32	0.18	12.04	0.0	25.23	0.67	0.73	44.94	0.0	0.34	0.23	0.07	0.22
Ftsjd1	0.0	0.0	0.0	121.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.75	84.93	0.0	3.87	0.0	0.0	0.0	28.19	0.0	0.0	0.0	0.0	0.0
Gm12789	0.0	0.0	0.34	3.98	1.91	0.0	0.0	0.0	0.75	0.0	0.86	1.42	2.2	0.93	0.0	1.55	0.0	1.2	1.97	0.0	0.6	0.0	0.0	0.38	0.0
Gm14325	18.66	1.87	7.67	3.05	25.8	12.3	1.0	1.98	4.79	0.83	1.14	9.62	4.83	7.59	13.02	0.0	32.66	12.01	19.3	1.5	13.33	0.79	10.89	21.7	2.62
Gm19782	8.83	14.51	1.21	12.2	17.35	6.67	0.91	5.6	4.43	9.28	4.0	20.4	11.41	25.38	13.21	0.0	7.5	10.78	13.5	11.97	3.28	8.03	5.45	10.12	1.45
Gm7977	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gnl2	0.0	116.68	0.0	330.02	0.0	0.0	62.56	13.77	0.0	0.0	117.64	185.18	303.7	250.1	125.29	0.0	292.83	393.95	110.64	129.79	0.0	247.46	93.06	91.96	96.47
Gpr35	0.53	1.43	0.36	1.7	2.59	0.09	0.34	0.84	0.73	0.92	0.95	1.69	1.79	0.77	0.76	0.79	3.09	1.53	1.49	1.57	1.03	0.61	0.34	0.83	0.56
Hes2	0.0	0.0	0.08	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Igsf6	0.0	0.0	0.1	0.23	0.87	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.2	0.0	0.0	0.0	0.62	0.1	0.13	0.09	0.0	0.0	0.0	0.0	0.0
Lmtk2	0.0	54.98	16.19	84.08	0.0	20.87	30.16	0.04	1.74	0.05	22.46	16.4	54.25	0.32	6.68	0.08	24.84	40.35	89.84	51.38	15.89	27.11	44.16	3.84	0.04
Mapkbp1	0.07	0.31	0.0	20.91	0.61	0.47	0.15	0.38	0.16	0.07	1.98	18.37	19.48	0.67	0.05	0.18	26.74	0.25	15.46	19.47	0.07	0.16	0.03	0.15	0.04
Mboat4	1.05	3.65	0.36	2.81	0.78	0.62	0.0	1.16	0.68	0.21	1.14	1.73	5.72	1.27	0.39	0.0	4.12	2.47	2.02	1.64	3.31	0.19	0.27	2.38	0.17
Nfatc4	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0
Nlgn1	0.0	0.0	11.03	156.95	0.0	104.34	0.07	10.69	25.8	0.0	0.0	64.62	157.63	0.0	0.08	18.19	86.02	0.08	34.81	31.1	52.11	33.43	0.05	55.24	0.07
Olr1	0.0	5.38	1.53	6.19	1.81	0.0	0.0	1.73	0.15	0.0	4.95	4.56	7.13	3.26	0.0	0.0	0.18	3.79	3.84	6.06	0.52	0.0	0.0	0.08	0.26
Osbp	0.0	0.0	0.05	61.2	6.77	0.15	0.0	0.0	0.0	0.0	0.0	0.0	49.27	0.0	0.0	0.0	0.0	7.86	0.09	11.55	0.0	0.0	19.49	19.4	0.0
Phb2	0.0	0.0	0.0	42.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.24	67.12	0.0	0.0	0.0	0.24	3.19	0.1	42.35	14.54	0.0	125.45	0.0	0.46
Rapgef4	4.55	235.64	37.58	490.89	2.22	1.43	1.83	10.29	80.64	0.53	88.27	12.29	174.82	93.83	66.28	1.29	95.89	84.59	143.85	125.91	90.57	31.1	3.45	28.85	62.38
Rdx	0.0	0.32	10.8	27.76	52.05	0.34	0.0	93.83	9.6	714.99	0.0	0.75	12.64	0.09	0.0	0.0	94.05	1.29	79.69	68.15	21.79	0.0	0.13	0.0	0.17
Rell2	0.0	0.0	0.0	104.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.53	0.0	0.0	0.0	39.37	6.22	0.0	3.57	0.0	0.0	17.8	0.0	3.31
Rftn2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.14	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Rsf1	0.19	0.11	21.95	36.22	0.18	0.0	0.12	1.86	0.05	0.25	0.18	10.35	11.31	25.73	21.44	0.0	9.45	34.58	16.67	21.98	0.02	29.26	5.51	7.43	21.71
Srfbp1	0.0	0.0	0.0	138.27	0.0	0.0	0.0	119.19	185.06	0.0	0.48	0.0	81.38	0.0	58.19	0.44	64.64	0.06	0.1	58.23	0.2	0.0	24.3	0.0	17.37
Ssbp4	0.0	0.0	0.0	2.97	0.0	0.0	0.0	0.0	0.0	0.0	0.48	2.41	2.88	0.0	0.0	0.0	0.22	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0
