	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110017F19Rik	0.0	0.0	10.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.73	0.0	0.42	0.2	0.96
2010010A06Rik	0.0	0.0	45.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17
2310035C23Rik	9.62	8.6	9.53	0.0	0.0	0.0	0.0	0.6	0.0	66.88	5.81	2.41	0.0	26.59	10.2	14.72	17.3	27.56	39.33	1.08	1.77	3.77	0.44	24.6	0.0	15.6	29.33	5.98	1.57	3.6	16.96	0.54	0.27	32.29	10.31	58.8	52.65	0.0	12.58	10.46	0.1	2.3	0.0	7.58	1.69	29.23	24.04	19.64	16.35	20.62	40.88	38.81	40.39
5730420D15Rik	0.0	0.0	36.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.26	0.08	0.18
9430020K01Rik	0.0	0.0	37.46	0.0	0.0	22.49	0.0	0.0	0.0	0.0	0.06	0.0	0.02	0.07	15.86	0.0	8.32	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.94	0.8	0.02	22.27	0.04	12.92	0.0	0.0	0.0	0.0	0.0	2.97	0.2	0.0	0.0	0.0	0.0	7.04	0.0	20.3	21.16	20.58	74.16	66.09	69.17
A330049M08Rik	0.0	0.0	46.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.23	0.0	2.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	2.11	0.85	1.1	0.93
Abra	0.0	0.0	29.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.5	0.58	0.35
Adcy10	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	4.18	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.28	0.3	0.43
Aff4	32.5	5.67	14.91	1.47	5.0	6.94	0.66	4.85	8.59	32.81	23.49	12.95	3.74	28.12	22.28	6.33	6.4	0.44	26.66	18.41	16.98	14.9	25.91	9.37	9.94	2.94	2.1	3.88	11.77	2.84	28.56	16.12	1.55	12.37	5.38	0.82	61.22	34.99	14.4	20.17	3.75	4.52	19.0	26.42	16.24	22.53	19.46	10.77	7.97	8.76	66.34	58.22	61.93
Agxt2l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	29.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.93	0.11	0.0	0.0	0.0	0.0	2.47	0.0	6.48	0.0	0.0	0.0	1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	3.48	5.73	3.97	3.41	4.6
