	Ndnf_tdTpositive_cell_20	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700084C01Rik	0.0	0.0	0.0	15.68	14.12	14.97
2510012J08Rik	0.0	0.0	0.0	24.34	28.62	27.12
4930539J05Rik	0.0	0.0	0.0	9.48	12.7	11.31
AW555464	0.0	11.07	33.51	91.23	94.01	97.53
Apof	0.0	0.0	0.0	0.58	0.43	0.53
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Brd1	0.0	0.05	4.75	30.53	33.71	28.77
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc50	0.0	0.88	1.99	28.5	25.95	28.87
Chrna10	0.0	0.0	0.0	0.16	0.37	0.25
Clec2g	0.0	0.0	0.08	1.34	0.98	1.13
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dcaf6	4.53	3.24	6.51	80.08	75.12	71.58
Dtnb	0.0	0.0	1.57	56.02	59.06	55.71
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Egfr	0.0	0.1	0.1	6.24	5.93	6.67
Fcho1	0.0	1.41	0.0	83.46	84.64	85.05
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabrg1	0.0	0.0	0.0	13.45	12.23	12.86
Gm14430	0.0	0.0	0.0	7.67	5.07	7.49
Gm14431	0.0	0.0	0.37	8.87	7.17	8.34
Gm14434	0.0	0.0	0.0	7.67	5.07	7.49
Gm20554	0.0	0.0	0.02	0.08	0.06	0.08
Gm4724	0.0	0.0	0.0	7.67	5.07	7.49
Gm8898	0.0	0.0	0.37	8.87	7.17	8.34
Gpr20	0.0	0.0	0.0	0.23	0.39	0.05
Heatr5a	0.0	0.4	0.1	5.65	5.04	5.79
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hook2	0.0	0.0	10.47	14.98	15.85	14.02
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Il13ra2	0.0	0.0	0.0	0.19	0.67	0.4
Insr	14.24	0.03	4.13	20.93	19.88	20.61
Itsn2	0.0	9.3	5.62	26.86	22.35	29.29
Leprel1	0.0	0.0	0.0	3.21	2.41	2.91
Ltc4s	0.0	0.0	0.0	5.48	7.32	7.62
Lzts1	0.0	0.0	0.0	42.24	48.57	42.52
Maf	0.0	0.0	0.0	11.05	10.74	11.31
March3	0.0	0.0	0.0	1.79	1.92	1.85
Mycbp2	0.0	24.72	36.33	86.57	73.79	88.98
Ndp	0.0	0.0	0.0	10.94	9.35	9.69
Neo1	0.0	0.72	0.0	43.16	40.98	43.19
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Padi2	3.53	14.08	7.76	19.35	19.34	21.61
Pfkfb3	0.0	0.0	0.35	20.42	20.03	17.01
Pgam1	0.0	112.82	219.59	635.05	662.17	620.44
Ptgr2	0.0	0.0	0.0	38.46	36.61	35.17
Rab34	0.0	0.0	0.0	21.55	25.64	27.58
Rasl11b	0.0	56.81	15.32	87.11	102.18	88.75
Ret	0.0	0.0	0.0	1.65	1.58	1.25
Rnf40	0.0	0.0	13.22	40.59	43.07	40.1
Sdhaf1	0.0	0.0	0.0	26.37	32.73	26.79
Siah1b	0.0	0.0	0.0	5.94	5.08	4.44
Slc44a1	0.0	0.0	0.0	53.42	53.04	59.96
Snf8	0.0	0.0	0.0	87.11	92.9	89.11
Spata5l1	0.0	0.0	0.0	7.13	5.64	6.34
Tmem150b	0.0	0.0	0.0	1.08	0.8	1.42
Tmem44	0.0	0.0	0.0	51.46	50.41	52.58
Trim72	0.0	0.0	0.0	1.08	0.87	0.94
Ube2ql1	0.0	71.76	22.11	174.48	185.53	183.77
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zic3	0.0	0.0	0.0	2.7	1.95	2.54
c9_tRNA-Ala-GCY_	0.0	13.23	0.0	74.87	45.68	58.87
mt_AK131586	0.0	0.01	1075.62	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	9.43	26.24	9032.87	8417.95	8583.15
