	Ctgf_tdTpositive_cell_2	Gad2_tdTpositive_cell_65	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_10	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110067D22Rik	0.14	360.07	0.0	0.0	55.31	52.26	52.79
1200011M11Rik	0.0	69.44	0.0	0.0	13.6	12.88	12.91
1500017E21Rik	0.0	39.28	0.0	0.0	0.69	1.3	0.43
1600021P15Rik	0.0	97.18	0.0	0.0	29.68	32.12	30.11
1700017B05Rik	0.0	11.05	0.0	0.0	5.27	6.46	5.11
1700019E08Rik	0.0	0.93	0.0	0.0	0.0	0.0	0.0
1700027F09Rik	0.0	0.25	0.0	0.0	0.0	0.0	0.0
1700034H15Rik	0.64	4.08	1.36	2.5	3.34	3.19	3.2
2410141K09Rik	0.0	17.96	0.0	0.0	0.0	0.0	0.0
2610039C10Rik	0.0	98.55	0.0	0.0	10.48	10.02	7.16
4930403N07Rik	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930513D17Rik	0.0	1.9	0.0	0.0	0.17	0.08	0.0
4933426M11Rik	0.1	75.04	0.0	0.0	26.72	26.95	27.21
A530054K11Rik	0.0	96.1	0.0	0.0	6.52	4.64	6.71
AI854703	0.0	81.45	0.0	0.0	19.6	21.39	18.98
Abca3	0.15	56.85	0.0	0.0	50.64	49.23	52.54
Acad12	0.0	58.52	0.0	0.0	2.32	3.02	2.71
Acot10	0.0	8.41	0.0	0.0	0.33	0.16	0.35
Adamts1	0.0	81.27	0.0	0.0	6.81	6.92	7.5
Agps	0.0	75.32	0.0	0.0	17.77	17.06	17.29
Agrp	0.0	7.5	0.0	0.0	1.4	0.44	0.97
Aldh5a1	0.09	128.2	0.0	0.0	53.65	52.91	55.22
Amot	0.0	32.71	0.0	0.0	9.57	8.69	9.56
Apol11b	0.0	0.09	0.0	0.0	0.05	0.0	0.0
Arid1b	17.06	39.67	0.0	0.04	20.92	20.89	22.57
Atrnl1	0.0	63.68	0.0	0.0	61.86	59.81	61.57
B3galnt2	0.0	56.15	0.0	0.0	16.14	13.77	14.54
BC022687	0.0	78.84	0.0	0.0	14.03	14.31	15.19
BC053749	0.0	23.17	0.0	0.19	2.11	2.49	2.3
BC055324	0.0	46.14	0.0	0.0	1.29	1.35	0.96
Blk	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Cald1	148.34	0.05	0.0	0.0	19.01	17.05	18.07
Calhm1	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc41	0.0	209.47	0.0	0.0	27.75	25.98	27.87
Ccdc97	0.0	55.01	0.0	0.0	36.38	38.7	37.48
Ccl27b	0.0	7.56	0.0	0.0	30.63	28.29	22.96
Cdh3	0.0	0.04	0.0	0.0	0.17	0.14	0.0
Cdkn2aip	0.0	75.27	0.0	0.0	16.64	16.4	14.16
Cebpd	0.0	1.15	0.0	0.0	3.34	4.72	3.87
Clcn1	0.0	0.47	0.0	0.0	2.11	1.88	1.6
Copb2	0.17	384.39	0.0	0.0	76.61	78.71	75.04
Coq5	0.0	334.39	0.0	0.0	35.38	37.21	32.49
Coro7	0.0	52.39	0.0	0.0	54.21	55.82	55.2
Creb3l3	0.0	0.08	0.0	0.0	0.87	0.2	0.36
Crtc2	0.0	91.62	0.0	0.0	20.45	21.33	22.04
Csgalnact2	0.0	64.62	0.0	0.0	13.09	11.23	10.73
Csmd3	0.0	28.18	0.0	0.0	9.86	7.87	8.16
D15Ertd621e	0.0	165.6	0.49	0.0	38.99	36.81	36.75
D6Mm5e	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dgki	0.0	26.47	0.0	0.0	28.75	22.89	30.48
Dnahc7a	0.0	0.97	0.0	0.0	0.69	0.51	0.54
Dyrk4	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Efcab5	0.0	35.85	0.0	0.0	2.45	1.59	2.41
Egr2	0.0	8.19	0.0	0.0	21.44	16.45	5.9
Enox	1.43	55.03	1.32	3.37	5.72	4.12	4.5
Eps8	0.0	106.51	0.0	55.54	20.23	19.04	18.3
Ext1	0.0	79.29	0.0	0.0	30.76	30.9	31.93
Ezh2	0.0	56.65	0.0	0.0	4.76	4.28	4.59
Fam107b	0.0	11.28	0.0	0.0	8.13	7.55	7.11
Fam199x	0.0	93.61	0.0	0.0	5.28	4.65	4.91
Foxg1	0.46	79.72	0.1	1.22	83.41	89.76	85.33
Foxp3	0.0	0.06	0.0	0.0	0.2	0.17	0.27
Fpgt	0.0	230.78	0.0	0.0	15.66	14.2	16.72
Gabpb1	0.0	127.89	0.0	0.0	17.14	17.03	16.64
Gabra2	0.21	56.28	0.7	5.33	32.89	21.54	34.82
Galnt11	0.0	108.51	864.95	0.0	38.12	38.14	35.07
Gan	0.0	52.96	0.0	0.0	7.92	6.31	8.3
Gm10516	0.35	120.95	0.0	0.16	4.72	5.54	5.89
Gm11944	0.0	40.78	0.0	0.0	1.08	1.46	1.21
Gm13306	0.0	7.56	0.0	0.0	30.63	28.29	22.96
Gm13483	0.0	111.77	0.0	0.0	1.2	0.55	0.24
Gm14169	0.0	88.42	0.0	0.0	6.72	7.18	7.95
Gm14431	0.0	9.17	0.0	0.0	8.87	7.17	8.34
Gm16894	0.0	129.29	0.0	0.0	2.96	2.57	3.8
Gm2506	0.0	7.56	0.0	0.0	30.63	28.29	22.96
Gm8898	0.0	9.17	0.0	0.0	8.87	7.17	8.34
Gm9079	0.0	131.5	0.0	0.0	1.87	2.14	2.32
Gtf3c4	0.0	65.38	0.0	0.0	22.49	21.35	21.08
Gtpbp10	0.0	61.33	0.0	0.0	8.14	7.06	8.36
Hdac6	0.0	112.55	0.0	0.0	34.89	32.62	36.09
Helq	0.0	71.66	0.0	0.0	10.46	10.37	11.64
Hist1h3f	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hlcs	0.0	36.7	0.0	0.1	7.75	7.35	7.59
Hnrnpu	17.56	568.96	4.51	110.22	301.12	288.67	297.97
Homer1	0.0	216.0	0.08	0.0	109.75	88.93	100.72
Homer2	0.0	26.38	0.12	0.0	19.88	19.26	21.72
Hoxd8	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Igf2as	0.0	0.47	0.0	0.0	0.06	0.21	0.19
Ireb2	0.0	98.18	0.0	0.0	35.2	32.41	34.21
Ism1	0.0	42.59	0.0	0.0	6.93	9.57	7.05
Itch	0.0	110.35	0.0	44.32	35.41	32.79	34.93
Kbtbd7	0.0	78.01	0.0	0.0	34.48	33.77	31.87
Klhl21	0.0	38.88	0.0	0.12	15.22	15.42	12.53
L3mbtl3	0.0	59.9	0.0	0.0	17.39	15.64	15.93
LOC626693	0.0	95.13	0.0	0.0	0.0	0.0	0.07
Lrp12	0.0	74.63	0.0	0.0	43.41	41.76	42.49
Lrrc34	0.0	16.35	0.0	0.0	0.43	0.36	0.56
Map3k14	0.0	43.09	0.0	0.0	3.41	3.77	2.72
Map4k3	0.0	207.67	18.74	0.0	49.13	46.2	46.93
March5	2.09	77.15	3.41	2.53	67.44	73.94	70.7
Mbip	0.0	331.72	0.0	0.0	26.66	22.67	26.3
Med24	0.0	65.77	0.0	0.0	78.92	82.09	85.89
Mettl7a1	0.0	33.22	0.0	0.0	32.45	28.58	29.07
Mir1894	0.0	6.02	0.0	0.0	0.0	0.0	4.57
Mir3061	0.0	121.02	0.0	0.0	16.22	6.79	5.58
Mocs3	0.0	2.34	0.0	0.0	12.07	16.39	15.54
Morc2a	0.0	50.1	0.0	0.0	29.09	28.97	28.81
Mpp6	0.0	298.61	0.0	0.0	33.25	30.69	30.62
Mtmr10	0.0	65.64	0.0	0.0	11.13	12.35	11.92
Mut	38.95	222.32	0.0	0.26	26.91	26.33	26.45
Mxd3	0.0	3.62	0.0	0.0	1.25	1.41	1.46
Mzf1	0.0	25.97	0.0	0.0	7.24	6.89	7.69
Nckap5l	0.0	7.58	0.0	0.0	12.2	14.14	14.37
Ndst2	0.0	30.62	0.0	0.0	11.14	12.04	12.45
Nfil3	0.0	199.5	0.0	0.0	13.09	10.32	9.66
Nup188	0.0	37.59	0.0	13.24	10.3	11.62	11.45
Nupl1	0.42	102.54	0.0	0.0	45.88	41.83	41.84
Nyx	0.0	49.42	0.0	0.0	0.46	0.63	0.56
Oas1e	0.0	0.31	0.0	0.0	0.06	0.0	0.12
Olfr1419	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Oprd1	0.08	17.46	0.34	0.0	14.02	13.62	14.1
Pou5f1	0.0	0.28	0.0	0.0	0.0	0.0	0.0
Ppp1r12b	5.15	120.48	11.93	13.71	52.73	42.74	52.78
Ppp2r5a	0.0	33.55	0.0	307.27	69.33	67.41	67.73
Prdm2	0.08	77.62	0.0	0.29	26.89	26.87	24.83
Ptcd1	0.0	97.34	0.0	0.0	19.81	23.04	21.17
Qser1	0.0	42.98	0.03	0.05	7.33	6.0	6.65
Rab35	0.0	76.42	0.0	0.0	84.52	88.12	83.65
Rbpj	0.0	94.79	0.0	150.83	20.53	18.12	19.58
Rec8	0.0	28.88	0.0	0.0	3.22	4.18	3.63
Rhbdf1	0.0	11.17	0.0	0.0	9.49	10.06	11.6
Robo2	0.0	246.1	0.0	0.0	43.76	40.41	41.99
Rpia	0.0	18.67	0.0	0.0	11.67	10.89	11.81
Sertad1	0.0	76.32	1438.53	0.0	18.35	19.12	12.05
Shank2	0.0	8.48	0.0	0.0	66.62	61.5	75.84
Siah2	0.0	73.2	0.0	0.0	16.0	16.68	10.78
Sik2	0.0	47.83	0.0	0.0	18.17	16.51	18.28
Slco6c1	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smcr8	0.0	76.39	0.0	0.0	18.47	18.1	17.56
Smg1	0.0	56.28	0.0	0.0	45.02	36.92	47.73
Stc2	0.0	4.06	0.0	0.0	1.77	2.19	1.72
Taf7l	0.0	71.27	0.0	0.0	0.21	0.58	0.32
Tcp10b	0.0	87.46	0.0	0.0	0.48	0.35	0.5
Tiparp	0.0	87.56	0.0	127.67	14.81	13.08	6.82
Tmem64	0.0	93.76	0.0	0.0	37.43	37.22	33.63
Tmod4	0.0	3.52	0.0	0.0	0.16	0.3	0.25
Tor3a	0.0	52.87	0.0	0.0	5.33	5.36	5.32
Traf3ip1	0.0	113.21	0.0	0.0	16.92	16.73	15.28
Trhr	0.0	0.04	0.0	0.0	3.14	2.96	3.62
Trmt1	0.0	137.21	0.0	0.0	60.21	66.19	61.39
Trpm1	0.0	0.03	0.0	0.0	0.25	0.09	0.07
Trpm2	0.0	27.04	0.0	0.09	14.96	14.08	14.89
Trpm3	0.0	16.95	0.06	0.02	20.34	17.85	23.43
Ubqln4	0.0	113.57	0.0	0.0	106.26	110.47	109.06
Ubr7	0.0	125.22	0.0	0.0	37.63	37.28	35.69
Vax2os2	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r-ps54	0.0	11.8	0.0	0.0	0.22	0.03	0.24
Wdr13	0.0	160.32	0.0	0.0	136.96	138.91	138.76
Yes1	0.0	164.98	0.0	0.0	7.98	6.9	8.66
Zdhhc2	0.0	89.05	0.0	0.0	50.51	51.98	50.18
Zfp281	0.0	109.99	0.0	0.0	24.17	24.02	22.82
Zfp563	0.0	72.35	0.05	0.0	8.35	7.2	7.74
c11_tRNA-Gln-CAA	0.0	3.54	0.0	0.0	0.0	0.0	0.0
c11_tRNA-Pro-CCA	0.0	5.43	0.0	0.0	0.0	0.0	0.72
c11_tRNA-Ser-TCG	0.0	5.59	0.0	0.0	2.03	5.73	0.0
c14_tRNA-Pro-CCA	0.0	5.43	0.0	0.0	0.0	0.0	0.72
c17_tRNA-Pro-CCA	0.0	5.43	0.0	0.0	0.0	0.0	0.72
c3_tRNA-Pro-CCA	0.0	5.43	0.0	0.0	0.0	0.0	0.72
mt_AK131586	7.81	0.0	4908.34	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
