	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_3	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_76	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_26	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_46	Htr3a_tdTpositive_cell_53	Ndnf_tdTpositive_cell_13	Ndnf_tdTpositive_cell_17	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_19	Pvalb_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_56	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	1.37	0.65	0.24
4930414L22Rik	0.0	0.0	0.77	0.48	0.0	1.31	0.22	0.0	0.0	0.0	0.0	0.0	0.23	40.15	0.76	0.47	0.4	18.73	17.82	18.42
4930483O08Rik	0.0	0.0	0.0	0.39	2.11	1.1	0.41	0.0	0.0	2.5	0.0	0.0	0.0	4.52	3.8	2.76	0.75	0.97	0.74	0.5
4930567J20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0
4930594C11Rik	0.0	0.0	0.13	0.0	0.38	1.29	0.0	0.0	0.0	0.49	0.08	0.0	0.15	50.09	0.25	0.0	0.0	0.4	0.11	0.26
4933401D09Rik	0.0	0.76	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.78	0.0	4.35	0.0	0.28	0.29	1.04	0.06	1.24
9130015A21Rik	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.29	0.18	0.34
A330070K13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.34	0.0	0.0	0.0	1.63	0.77	1.57
A530050N04Rik	1.4	0.0	0.0	0.2	0.95	0.27	0.16	0.0	0.41	28.14	0.0	0.0	0.32	155.02	0.0	2.95	0.0	1.48	1.01	1.12
Adcy10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	4.76	0.0	0.0	0.0	0.28	0.3	0.43
Aoah	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.23	0.35	0.25
Aplf	0.0	0.7	11.62	19.43	24.42	42.66	0.27	22.66	22.97	15.26	0.13	13.81	8.4	111.93	15.29	2.9	48.52	14.39	12.8	15.31
Arhgef18	0.15	0.0	0.0	6.18	0.0	2.4	0.0	0.0	0.08	0.0	0.0	0.0	0.19	41.22	0.0	0.34	0.14	27.45	26.39	26.37
BC065397	0.0	0.0	0.0	5.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.59	0.0	0.0	0.0	2.91	2.03	3.13
Calcoco2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.64	0.0	0.0	0.0	0.26	0.24	0.8
Camsap3	0.0	0.0	11.36	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	20.95	15.24	0.0	0.0	0.0	16.37	20.07	18.67
Car14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	9.6	11.44	9.03
Ccdc81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.72	0.0	12.27	0.0	0.7	0.83	0.91
Ccl27b	0.0	6.6	0.0	0.0	0.0	5.32	0.0	0.0	3.14	0.0	0.0	0.0	12.08	46.36	0.0	0.0	0.26	30.63	28.29	22.96
Ccrl1	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.19	0.4	0.15
Cd209e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0
Cep57l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	8.48	0.0	0.0	0.0	100.07	98.68	0.0	0.0	0.0	5.29	5.04	5.36
Cerk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.21	0.0	1.5	33.95	36.5	40.33	41.09
Chrnb1	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.89	0.0	1.29	0.0	1.34	2.0	1.81
Clip3	0.0	0.45	0.55	18.87	140.36	2.39	82.3	137.01	167.3	112.65	243.78	62.42	60.89	437.63	143.4	62.24	76.42	325.47	332.48	328.71
Dbx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	14.86	14.16	14.84
Dennd4c	0.0	3.23	0.0	0.05	15.7	2.52	5.07	0.08	0.23	0.07	0.0	0.0	2.08	80.97	0.0	0.16	0.07	9.12	8.66	10.1
Dnmbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.57	0.0	43.07	0.0	0.0	0.0	6.09	5.8	7.07
Eif5	0.0	0.0	0.0	0.11	0.0	96.22	35.17	103.99	0.0	55.09	60.16	0.0	71.67	232.47	0.0	0.71	0.0	140.35	143.5	145.74
F730043M19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.15	0.0	0.0	0.0	0.0	55.09	0.0	0.0	0.0	13.32	13.69	13.47
Fam107b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	64.49	0.0	0.0	0.0	8.13	7.55	7.11
Fam181a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	3.06	3.08	3.29
Fam82b	0.0	0.0	0.0	7.61	0.0	0.0	0.67	6.16	0.0	0.0	0.0	0.0	25.4	215.92	0.0	15.56	9.63	10.84	9.93	13.94
Fam92a	0.0	0.0	0.0	0.0	64.04	0.0	0.0	130.97	0.0	4.94	0.0	78.02	84.22	208.09	6.19	45.63	47.73	71.59	74.62	71.72
Fance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.12	0.0	0.0	0.0	14.41	18.94	16.58
Fmo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.65	0.0	0.0	0.0	0.06	0.0	0.06
Gm10509	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	318.49	0.0	0.0	0.0	5.51	4.8	5.67
Gm12295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.06	0.03	0.0
Gm13157	0.0	0.0	0.13	0.0	0.0	0.25	0.0	0.0	7.27	0.0	1.12	0.0	0.78	215.89	0.0	0.84	0.65	2.87	1.58	2.37
Gm13293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	2.35	2.39	2.82
Gm13306	0.0	6.6	0.0	0.0	0.0	5.32	0.0	0.0	3.14	0.0	0.0	0.0	12.08	46.36	0.0	0.0	0.26	30.63	28.29	22.96
Gm15706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.26	0.0	13.55	0.0	11.92	10.58	13.62
Gm2109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.35	0.13	0.37
Gm2506	0.0	6.6	0.0	0.0	0.0	5.32	0.0	0.0	3.14	0.0	0.0	0.0	12.08	46.36	0.0	0.0	0.26	30.63	28.29	22.96
Gm6525	0.0	0.0	2.16	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.78	190.58	0.0	0.0	0.0	0.67	0.38	1.23
Gm6607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.18	0.0
Gucy1a2	0.21	0.63	0.34	0.06	0.85	15.76	2.11	0.55	0.69	0.25	0.65	0.51	0.72	48.39	0.77	6.64	1.63	25.02	18.28	24.48
Hist1h2bk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	1.04	0.0	0.0
Hmgn5	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.28	0.0	0.0	0.0	8.64	7.31	9.35
Hsd3b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.68	0.0	0.0	0.0	9.05	11.19	9.85
Htr5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.36	0.0	0.0	0.0	1.53	2.28	1.89
Itgb7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	0.41	0.87	0.57
Itpr1	225.98	2.94	0.0	0.04	0.0	4.54	0.04	28.66	8.89	0.3	0.0	0.0	0.0	119.64	4.94	57.7	37.87	211.99	196.39	212.52
Itsn2	0.0	0.0	0.0	15.74	0.0	0.0	28.59	0.0	0.23	31.21	0.0	13.7	0.0	119.13	16.11	21.54	15.11	26.86	22.35	29.29
Krtap4-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0
Lefty2	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	25.29	0.49	113.37	0.19	0.0	0.15	1.64	1.76	1.1
Mak	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.26	0.0	0.0	0.0	3.2	2.93	3.16
Manea	0.1	0.0	54.73	0.13	0.0	0.0	0.09	0.08	1.92	0.25	70.74	0.06	0.13	243.64	0.35	37.86	26.26	21.88	20.35	22.83
Mecp2	74.8	0.07	2.98	19.17	4.8	0.0	0.24	41.94	0.09	18.76	0.0	24.24	3.38	43.01	0.0	0.0	4.33	44.48	42.92	44.3
Med7	0.0	0.0	0.0	0.0	0.0	87.03	0.0	12.94	0.0	0.0	0.0	0.0	0.0	244.03	0.0	95.38	86.32	14.79	13.85	14.57
Mir344c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0	0.0	0.0	0.0	0.0	0.0
Mlana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.12	0.0	0.0	0.0	0.46	0.22	0.24
