	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_78	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700029F12Rik	0.0	0.0	1.56	0.0	0.58	0.11	0.44
1810031K17Rik	0.0	0.0	59.03	0.0	22.47	21.79	22.66
2410022L05Rik	0.0	0.0	178.67	0.0	47.46	49.34	46.76
2510009E07Rik	0.0	0.0	15.72	0.0	34.15	34.14	36.73
2900092D14Rik	0.12	0.35	66.94	0.99	19.53	17.76	16.49
4930465K10Rik	0.0	0.0	1.67	0.0	0.16	0.15	0.08
4932702P03Rik	0.0	0.0	2.72	0.0	0.0	0.5	0.6
6030429G01Rik	0.0	0.0	0.13	0.0	1.0	1.49	1.45
8030443G20Rik	0.0	0.0	7.55	0.0	0.0	0.0	0.0
9430018G01Rik	0.0	0.0	1.31	0.0	0.29	0.16	0.29
9430038I01Rik	2.39	0.66	71.83	0.8	3.28	3.73	3.42
9430091E24Rik	0.0	0.0	6.58	0.0	3.22	3.05	3.49
A330009N23Rik	0.0	0.0	27.29	0.0	23.25	20.1	20.39
A830082N09Rik	0.0	0.57	18.92	0.0	9.03	8.49	9.21
Amotl2	0.0	0.0	4.81	0.0	13.61	15.01	13.33
Ap1g2	0.0	0.0	38.69	0.0	5.51	4.63	6.54
Aplf	0.0	0.11	16.37	0.0	14.39	12.8	15.31
Aqp5	0.0	0.0	0.19	0.0	0.32	0.42	0.53
Arhgef15	0.0	0.17	26.36	0.0	11.76	12.22	12.12
Arsa	0.0	0.0	39.49	1.83	24.38	24.05	25.22
Atxn7l3b	0.0	0.0	94.94	76.49	164.51	159.91	161.8
B130006D01Rik	0.0	0.1	34.87	0.0	0.09	0.06	0.21
B930059L03Rik	0.0	0.0	1.61	0.0	2.07	2.1	2.3
BC026590	0.0	1.22	26.4	0.08	16.14	15.63	16.36
BC061194	0.0	0.0	31.84	0.0	4.15	2.9	2.61
BC089597	0.0	0.0	0.24	0.0	0.0	0.0	0.08
Batf3	0.0	0.0	4.38	0.0	1.73	1.49	1.34
Cd1d1	0.0	0.0	47.84	0.0	0.32	0.91	0.84
Cdk1	0.0	0.0	0.72	0.0	0.21	0.16	0.25
Cdk5rap2	0.0	0.0	18.25	0.0	6.07	5.22	7.81
Cdt1	0.0	0.0	0.13	0.0	1.72	1.87	2.01
Chtf18	0.0	0.0	0.09	0.0	0.99	1.3	1.12
Clspn	0.0	0.0	2.97	0.0	1.75	1.45	1.46
Cmtm2a	0.0	0.0	6.7	0.0	0.38	0.28	0.3
Cr2	0.0	0.0	23.53	0.0	0.31	0.33	0.57
Ctdsp2	0.0	0.0	45.19	0.0	69.58	68.68	66.09
D430020J02Rik	0.0	0.0	3.03	0.0	3.14	2.86	3.34
Dmpk	0.0	0.0	2.34	0.0	13.4	14.25	12.51
Dydc2	0.0	0.0	16.63	0.0	0.7	0.5	0.54
E330021D16Rik	0.0	0.0	0.62	0.0	2.53	3.06	3.56
Ece2	0.0	0.0	41.28	0.0	20.48	24.05	25.74
Eef2k	0.0	0.31	44.97	0.0	27.93	28.9	28.24
Emid2	0.0	0.0	45.15	0.0	5.95	5.7	6.7
F2r	0.0	0.0	33.32	0.0	4.05	3.35	4.01
F630043A04Rik	2.81	21.75	10.67	0.13	4.04	3.37	2.98
Fam123b	0.0	0.2	8.32	0.0	4.02	3.74	4.17
Fam154b	0.0	0.0	1.99	0.0	0.85	1.2	1.68
Fgf2	0.0	0.0	17.09	0.0	0.59	0.98	1.37
Flnc	0.0	0.0	0.44	0.0	0.92	0.58	0.69
Fndc4	76.71	0.0	115.17	0.0	75.76	84.12	84.72
Frmpd1	0.28	0.0	42.96	0.0	5.77	6.14	7.76
Fstl1	0.0	0.0	198.74	0.0	24.3	25.42	26.36
Gm11437	0.0	0.0	9.3	0.0	0.16	0.0	0.08
Gm13710	0.0	0.0	2.23	0.0	0.98	1.14	1.27
Gm13939	0.0	0.0	0.44	0.0	0.0	0.14	0.08
Gm14057	0.0	0.0	24.9	0.0	2.2	1.93	1.12
Gm14483	0.0	0.0	5.57	0.0	0.0	0.0	0.0
Gm14501	0.0	0.0	3.29	0.0	0.0	0.0	0.0
Gm15941	0.0	0.0	0.16	0.0	0.11	0.1	0.17
Gm16386	0.0	0.0	41.76	0.0	2.45	2.7	4.52
Gm1943	0.0	1889.41	116.94	0.0	22.02	24.93	20.32
Gm20594	0.0	0.0	2.08	0.0	0.86	0.0	0.0
Gm4303	0.0	0.0	0.22	0.0	0.0	0.0	0.0
Gm4305	0.0	0.0	0.22	0.0	0.0	0.0	0.0
Gm4307	0.0	0.0	0.22	0.0	0.0	0.0	0.0
Gm4827	0.0	0.0	0.38	0.0	0.25	0.22	0.59
Gm5132	0.0	0.0	42.0	0.0	0.0	0.0	0.0
Gm5382	0.0	0.0	1.27	0.0	0.0	0.0	0.0
Gm6981	0.48	3.26	54.54	0.85	4.83	2.55	2.56
Gm88	0.0	0.0	35.66	0.0	47.98	56.84	50.95
Gmeb1	2.91	7.71	44.55	0.52	9.63	7.72	9.84
Gpr146	0.0	0.0	32.54	0.0	12.46	13.66	12.08
Grtp1	0.0	0.0	8.93	0.0	3.59	4.9	4.26
Gsta3	0.0	0.0	17.67	0.0	3.03	1.74	1.75
H2-Bl	0.0	0.0	23.1	0.0	1.08	1.11	1.4
Hamp	0.0	0.0	11.93	0.0	0.27	0.0	0.0
Hamp2	0.0	0.0	1.51	0.0	0.0	0.69	0.25
Hhex	0.0	0.0	0.17	0.0	2.76	2.49	3.65
Hist1h2bq	0.0	0.1	21.25	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.1	21.25	0.0	0.38	0.28	0.38
Hspb3	0.0	0.0	84.4	0.0	5.1	5.18	5.94
I830012O16Rik	0.0	0.16	40.33	0.0	4.81	4.47	3.2
Ide	0.0	0.0	34.76	0.0	28.88	26.47	26.84
Ifi27l1	0.0	0.48	113.16	0.49	39.73	39.71	40.59
