	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500004A13Rik	11.34	7.53	15.13	23.49	6.37	59.6	22.94	27.87	89.85	75.96	58.31	87.96	0.0	8.58	0.0	2.58	0.68	3.67	13.31	10.14	4.58	0.0	0.09	10.9	28.85	30.98	42.17	58.04	1.38	6.29	9.16	32.72	6.95	68.0	9.06	54.83	13.03	16.21	17.61	16.85	0.0	16.66	14.25	22.46	24.47	20.84	24.05
1700106N22Rik	0.0	0.0	0.0	3.1	0.0	0.0	0.0	1.09	0.0	0.0	0.0	87.4	0.0	2.03	0.0	0.0	4.82	13.77	67.7	0.0	0.29	0.0	0.0	0.0	0.0	0.0	12.27	0.0	0.0	0.0	0.0	0.0	36.75	0.0	0.0	0.0	0.0	42.45	0.0	31.85	0.0	4.23	5.85	4.18	13.4	12.69	14.12
2310001A20Rik	37.33	89.64	4.08	5.13	0.0	0.0	0.0	163.48	120.57	0.0	0.0	236.65	0.0	92.83	0.0	73.3	0.0	179.89	3.6	0.0	144.45	87.98	10.67	68.8	0.0	0.0	2.49	0.13	0.0	0.0	46.79	32.17	58.27	134.13	0.0	122.43	28.4	104.11	129.41	49.59	0.0	52.87	37.77	41.77	59.4	62.01	57.4
2310057M21Rik	0.0	41.18	0.0	0.0	0.0	0.0	97.71	0.0	0.0	0.0	0.0	141.23	0.0	155.67	0.0	115.28	0.0	0.15	1.09	66.51	32.91	91.86	0.0	9.69	0.0	74.97	38.54	0.0	38.34	40.99	0.0	0.0	0.0	0.0	0.0	8.58	0.0	33.72	0.0	0.0	0.0	33.46	34.99	35.15	22.44	22.94	19.43
2610306M01Rik	0.0	0.0	0.0	0.0	0.0	0.0	111.6	0.0	28.69	0.0	0.0	121.14	0.0	129.28	0.0	0.08	0.12	85.16	0.13	53.24	19.49	0.0	5.5	0.0	0.0	0.0	43.71	0.0	0.0	0.0	33.29	0.0	0.0	85.9	0.0	0.0	59.81	34.06	61.46	0.0	0.0	26.05	44.51	27.16	11.32	11.68	9.57
4930413G21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.09	0.12	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.07	0.0	0.0	0.0	0.0	17.4	23.64	23.18
4930590L20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.34	0.0	0.0	0.44	0.21	0.22
6330408A02Rik	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.39	0.0	0.0	0.0	0.02	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49	0.0	0.0	0.0	0.0	0.0	8.18	0.05	0.0	34.67	0.0	0.0	0.0	0.0	30.7	1.55	4.3	4.63	8.93	10.28	10.48
9330020H09Rik	0.76	0.84	0.99	0.05	1.71	0.76	0.94	0.15	3.59	0.43	14.5	17.22	0.0	0.12	0.0	0.18	0.18	0.35	2.64	0.17	3.49	0.07	0.0	0.12	0.2	1.28	0.83	0.16	0.34	0.08	0.88	0.38	0.17	0.15	0.42	0.11	6.94	2.32	0.81	0.08	1.67	1.91	2.26	0.87	1.16	1.13	0.99
9630033F20Rik	4.36	0.0	8.39	0.0	0.0	0.0	57.39	0.0	0.0	41.38	0.0	94.03	0.0	23.12	0.0	0.02	2.37	2.85	31.38	17.04	10.48	18.81	2.99	4.42	0.0	31.5	12.44	5.28	0.08	0.0	1.45	19.89	0.0	0.0	0.0	0.0	0.44	11.49	0.0	1.52	6.73	14.94	10.68	10.12	22.21	22.38	21.42
