	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700011F14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.09	0.19
1700019B03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.23	0.13
1700034P13Rik	0.43	0.95	0.15	0.0	0.04	0.34	0.0	0.0	0.82	1.38	0.38	0.0	2.32	1.03	0.0	0.0	1.03	0.72	1.2
2310005G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.19
2810408A11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.56	0.37
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Abcc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.18	0.09	0.08
Alpk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.29	0.28	0.21
Ankrd11	0.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.18	10.56	68.95	66.1	72.81
Baat1	0.0	0.0	0.13	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	2.84	16.12	19.07	17.68
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Blvra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	157.9	27.49	27.35	24.91
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Ccdc30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42	11.14	10.16	10.29
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.27	30.63	28.29	22.96
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cntnap5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	16.67	14.54	17.36
Cul7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	16.11	17.36	15.39
Dchs1	0.0	0.0	0.0	0.0	0.0	6.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	4.95	4.93	6.13
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gm13306	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.27	30.63	28.29	22.96
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.03	0.0	0.0	0.0	0.0	0.0	0.15	4.14	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.03	0.0	0.0	0.0	0.0	0.0	0.15	4.14	7.67	5.07	7.49
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	1.73	1.86	1.4
Gm2506	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.27	30.63	28.29	22.96
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.03	0.0	0.0	0.0	0.0	0.0	0.15	4.14	7.67	5.07	7.49
Gtf2b	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.15	41.18	47.38	39.61
Gzf1	0.0	0.0	0.0	0.67	123.69	0.0	0.07	0.0	0.0	0.0	0.0	3.61	0.0	0.0	45.37	16.18	27.48	27.12	26.09
