	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_10	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
4933433P14Rik	4.82	40.03	0.0	0.0	143.2	0.0	0.36	0.0	0.0	109.49	89.06	2.78	15.53	109.53	115.67	91.85	3.23	89.54	43.44	96.66	22.06	0.08	38.03	100.25	74.01	85.8	0.0	250.49	58.48	0.0	79.76	79.06	80.73	27.77	37.4
Agtpbp1	90.01	41.16	0.0	0.0	0.0	0.0	85.22	0.0	0.0	68.1	50.91	27.76	56.7	60.69	32.01	23.73	6.29	0.51	11.45	35.26	21.32	3.08	63.45	67.29	32.37	56.73	0.0	91.06	0.0	0.0	4.59	39.71	45.19	60.54	0.88
Ap2m1	1346.21	1474.29	552.69	0.32	0.26	0.0	717.78	19.66	785.88	2639.57	1462.93	1359.36	2083.16	1656.71	1975.08	1990.32	1603.45	1548.72	1803.5	1808.59	1174.44	614.15	1670.99	1534.93	1625.76	1352.06	276.06	1777.37	1159.05	1.18	2185.15	1500.51	1923.55	1822.67	1507.38
Apbb1	190.47	274.37	0.0	0.0	0.0	0.0	184.7	0.0	0.0	173.85	209.16	101.05	187.91	168.05	204.62	139.06	157.61	82.56	185.37	193.35	60.91	113.34	165.84	43.13	119.0	222.62	0.12	79.6	0.0	0.0	98.9	3.24	153.32	107.92	75.36
Araf	837.6	982.88	0.0	0.0	0.0	0.0	834.67	0.0	0.0	1084.39	697.34	1513.49	966.78	1110.84	1154.61	626.44	631.5	603.27	656.48	807.21	458.29	314.42	568.81	948.29	763.09	858.84	0.31	1282.3	0.0	0.0	460.88	587.76	904.75	1148.73	749.4
Arl6ip5	117.85	247.19	0.0	0.0	0.0	0.36	158.07	46.27	0.0	225.72	267.96	193.53	259.25	242.09	186.8	316.05	257.85	250.55	64.81	343.08	291.25	3.77	259.43	417.39	230.62	98.86	0.0	196.69	0.0	0.0	88.88	145.1	282.84	274.4	366.36
Atl1	98.71	108.99	0.0	0.0	0.0	0.0	325.7	0.0	0.0	200.1	127.89	158.99	230.65	228.5	192.37	70.16	233.75	159.89	179.3	182.05	47.69	32.47	173.75	73.13	177.39	131.19	0.06	155.15	133.54	0.0	182.47	124.8	274.48	130.88	90.0
Cacnb4	56.54	107.03	0.0	0.0	0.0	0.0	188.98	0.0	0.0	82.21	79.1	3.48	43.41	53.29	77.74	30.62	43.59	34.65	40.84	34.53	61.06	7.39	47.51	91.57	51.49	40.1	0.08	59.97	0.0	0.0	18.34	31.74	57.11	68.29	88.23
Cask	83.02	92.4	0.63	0.0	0.0	13.62	31.3	0.0	0.0	31.74	40.34	55.34	89.22	89.35	46.64	60.22	103.72	60.72	29.63	74.42	28.57	69.95	64.0	28.16	70.49	145.06	0.02	29.99	0.64	6.78	81.08	102.66	55.86	66.42	40.18
Cops7a	117.4	114.34	0.0	0.0	0.0	0.0	123.67	0.0	0.0	170.54	137.57	69.63	146.82	174.87	48.76	127.57	266.11	39.22	238.81	172.13	138.04	335.96	260.66	178.75	184.34	161.27	0.0	58.99	0.0	0.0	270.13	126.32	245.43	181.2	223.44
Cuedc2	140.7	269.82	0.0	0.0	0.0	0.0	241.0	0.0	0.0	191.91	252.3	115.36	354.85	200.04	168.23	205.78	277.32	69.55	121.64	181.57	81.51	166.22	136.63	169.17	96.88	210.07	0.09	151.87	59.92	0.69	147.57	156.84	186.07	260.14	360.49
Dennd5b	35.45	36.47	4.32	3.12	6.57	0.59	59.03	10.54	0.0	32.75	40.85	22.46	80.78	49.65	44.4	34.26	33.67	26.72	46.21	59.78	34.97	27.19	36.07	68.67	55.2	77.52	84.03	11.42	0.33	9.96	43.79	33.3	34.92	42.78	14.21
Dnm1l	72.96	225.2	0.0	0.0	0.14	0.0	9.71	0.0	0.0	101.91	163.99	129.91	129.7	158.47	182.6	176.07	178.91	159.21	193.06	156.69	17.19	52.96	109.96	113.7	220.89	142.42	2.73	174.95	0.0	2.68	75.46	126.74	90.06	148.92	201.51
Dpp10	50.58	14.36	0.0	0.0	0.0	0.0	71.78	0.0	0.0	44.82	135.26	22.41	0.98	33.07	0.0	36.29	8.85	79.59	0.06	49.93	16.4	24.98	36.3	63.01	20.64	3.75	0.03	41.94	0.0	0.0	31.77	41.24	12.68	23.31	73.29
Dzip3	59.66	36.3	0.0	0.0	0.0	0.0	46.81	0.0	0.0	7.17	24.38	37.63	22.15	21.04	66.1	40.99	1.73	5.64	9.16	29.06	12.83	21.2	13.74	14.81	3.65	43.65	0.0	1.23	0.0	0.0	15.02	12.27	1.36	46.91	25.47
Ecd	32.08	13.33	0.13	0.24	0.28	2.6	4.26	2.01	0.0	61.89	92.93	63.4	8.63	4.24	0.13	62.5	19.78	2.57	49.64	0.25	0.07	26.66	28.86	60.27	27.22	48.57	0.15	55.0	0.0	0.0	33.75	11.7	55.94	63.68	0.07
Elovl4	86.75	284.85	0.0	0.0	0.0	0.0	179.41	0.0	0.0	88.47	174.08	95.32	27.93	178.47	128.99	110.56	29.29	93.75	76.73	100.12	28.42	12.96	46.49	93.44	92.73	178.42	0.0	50.59	0.13	0.0	9.27	110.08	124.2	57.11	152.18
Frat1	1.47	46.39	0.0	0.0	0.0	0.0	70.94	0.0	0.0	16.2	22.88	68.28	119.43	15.61	23.03	81.36	0.22	22.84	0.78	64.26	0.0	0.0	19.81	0.64	23.61	0.0	0.0	32.98	0.0	0.0	20.52	55.55	0.0	10.0	27.44
