	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	PvalbF.Gad2_tdTpositive_cell_31	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110015O18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.65	0.0	0.0	0.0	0.78	0.43	0.87
1700040N02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.3	0.0	1.71	0.73	1.86
3110035E14Rik	2.26	0.0	0.0	4.16	0.0	0.0	0.77	0.0	62.08	25.76	0.05	0.57	0.04	0.1	0.0	0.0	0.0	0.12	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.72	133.43	0.0	0.0	6.53	0.0	0.35	0.34	1.31	39.39	190.25	0.0	478.83	506.56	318.35	301.09	297.46
4930593C16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.85	0.0	0.0	0.0	0.71	0.0	0.18
4931420L22Rik	1.49	0.0	0.22	0.0	0.0	1.03	0.0	0.0	3.29	0.0	0.0	0.0	0.49	0.23	0.0	0.42	0.0	0.0	0.51	0.0	0.29	0.0	0.0	0.0	0.32	0.0	0.4	0.0	1.2	0.0	0.48	0.0	0.0	1.54	1.47	0.3	0.0	6.01	0.0	0.0	0.47	0.55	0.73	1.24
6430571L13Rik	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.97	0.0	1.22	2.32	4.14	4.74	4.95
9230102K24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	2.43	3.28	0.15	0.14	0.16
9830147E19Rik	1.0	1.24	1.79	0.09	0.23	0.0	2.5	8.11	1.41	1.83	0.55	0.86	1.69	0.41	0.53	1.66	0.35	0.76	2.87	0.56	0.43	6.25	1.89	0.14	0.33	0.72	0.71	4.9	11.19	1.26	1.37	1.51	2.47	4.2	2.0	0.27	1.49	67.64	0.92	4.26	7.1	1.7	1.42	1.68
A930009A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.14	0.0	0.0	0.0	0.5	0.57	0.62
AI427809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.94	0.0	0.0	0.17	0.36	0.05	0.06
