	Cux2_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_77	Scnn1a.Tg3_tdTpositive_cell_89	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190005I06Rik	0.0	18.78	0.0	0.0	12.01	12.1	13.12
1500001M20Rik	0.0	40.76	0.0	0.0	11.98	12.59	12.35
1700052K11Rik	1.06	11.1	0.0	0.0	7.2	6.21	7.79
2410004N09Rik	0.0	124.09	0.0	32.69	13.52	17.38	14.46
2810453I06Rik	0.0	209.74	33.58	0.44	40.45	43.28	39.74
4930467E23Rik	0.0	87.76	0.0	0.0	1.41	1.22	1.73
4930511A02Rik	0.0	0.38	0.0	0.0	0.0	0.05	0.06
4930548G14Rik	0.0	0.52	0.0	0.0	0.0	0.0	0.0
4933404G15Rik	0.0	0.93	0.0	0.0	0.0	0.0	0.0
4933404O12Rik	72.19	190.0	0.45	0.67	10.18	9.87	10.02
4933424G06Rik	0.0	4.62	0.0	0.0	1.41	1.35	1.66
4933426D04Rik	0.0	62.83	0.0	0.0	0.51	0.29	1.16
9930013L23Rik	0.0	0.89	0.0	0.0	10.36	9.9	9.73
A530013C23Rik	0.0	114.57	0.0	0.0	0.05	0.04	0.05
AA792892	0.0	1.83	0.0	0.0	0.7	0.47	0.59
AA986860	0.0	40.31	0.0	0.0	2.44	2.49	2.45
Acad12	0.0	0.91	0.0	0.0	2.32	3.02	2.71
Acot5	0.0	82.45	0.0	0.0	3.81	3.92	3.74
Adcy5	0.0	17.07	0.0	0.0	139.88	145.98	149.99
Adra1b	0.0	0.5	0.0	0.0	13.5	14.36	16.19
Aldob	0.0	185.08	0.0	0.0	2.9	2.95	3.41
Anapc1	0.0	104.02	2.75	0.0	32.77	30.92	30.69
Ankrd28	0.48	50.78	0.0	0.18	35.55	34.01	40.01
Ankrd42	0.0	152.16	0.0	0.0	14.08	11.49	13.4
Anks6	0.0	5.86	0.0	0.0	8.63	8.4	9.75
Ano5	0.0	5.66	0.0	0.0	0.61	0.58	0.4
Antxr1	0.0	17.76	2.14	2.17	9.98	8.77	8.59
Arvcf	0.0	47.02	0.0	0.0	17.34	18.33	18.61
Asphd1	0.0	160.97	34.18	75.84	43.71	48.61	44.08
Atp8b1	0.0	1.43	0.0	0.44	2.55	2.52	2.42
Atxn7	0.0	89.26	0.0	0.0	15.84	14.28	14.81
BC025920	0.0	5.01	0.0	0.0	4.36	4.01	4.96
BC046331	0.0	130.23	0.0	0.0	25.23	24.71	26.39
Bcl2	0.0	119.79	0.12	36.03	7.66	6.94	7.11
Bend4	0.0	103.49	0.0	0.24	4.68	4.2	4.27
C030034I22Rik	0.0	28.89	0.0	0.0	3.21	3.11	3.52
C330019G07Rik	39.53	136.55	0.0	0.0	18.97	16.93	18.61
Cage1	2.23	94.52	0.0	0.0	1.93	1.89	3.42
Cc2d2a	8.11	187.22	0.0	0.0	15.43	14.8	14.46
Ccdc48	2.33	87.67	2.3	0.35	8.33	7.33	8.4
Ccdc88c	0.0	50.16	0.0	0.0	18.83	17.62	19.85
Cdc42ep2	0.0	177.77	0.0	0.0	15.4	16.7	15.62
Cdh26	0.0	0.25	0.0	0.0	0.17	0.29	0.21
Ceacam1	0.0	16.25	0.35	0.0	2.91	2.53	2.28
Chsy3	0.0	144.33	0.0	0.0	12.18	11.49	10.64
Cntln	0.0	134.4	0.16	0.0	7.19	6.25	7.48
Cntnap5b	0.0	31.79	0.0	0.0	7.46	5.69	7.32
Col11a2	0.0	0.51	0.0	0.0	13.07	13.95	15.07
Cops7b	0.0	185.44	0.0	0.0	23.92	21.65	21.84
Cpt1b	0.0	0.5	0.0	0.0	1.56	1.07	0.62
Cr1l	0.0	516.93	0.0	22.34	22.95	17.7	20.47
Csrp2	0.0	78.95	0.0	0.0	7.31	8.93	8.14
Cyb5r4	0.0	137.8	0.0	0.0	37.55	36.4	35.47
Cyth1	4.81	74.98	2.57	0.0	67.03	75.5	69.5
D2Ertd750e	0.82	56.51	0.0	0.0	1.01	1.01	0.82
Dcaf12l2	0.0	26.54	0.0	0.67	1.71	1.76	1.93
Dear1	0.0	118.75	0.0	0.0	1.68	1.03	1.9
Dgkh	14.4	380.09	7.52	0.0	25.91	19.89	27.73
Dicer1	0.0	74.45	0.0	0.0	20.73	20.39	20.97
Dpys	0.0	17.75	0.0	0.0	0.26	0.23	0.3
Dusp15	0.0	8.82	0.0	0.0	21.46	25.05	20.83
Dusp28	0.0	113.26	0.0	0.0	26.98	31.47	29.99
Entpd4	2.89	132.48	0.0	0.0	98.2	97.74	126.54
Eomes	0.0	0.2	0.0	0.0	0.26	0.83	0.5
Fance	0.0	0.81	0.0	0.0	14.41	18.94	16.58
Fbln2	0.0	1.82	0.0	0.0	5.63	4.86	5.69
Fbxw4	0.0	13.46	0.0	0.0	23.81	27.47	27.31
Fcho1	0.0	182.0	0.0	0.0	83.46	84.64	85.05
Foxm1	0.0	1.64	0.0	0.0	0.88	1.13	1.32
Gas2	0.0	247.12	0.0	0.0	8.95	9.52	9.47
Gbp7	0.0	129.92	0.53	0.0	2.73	2.32	2.7
Gemin4	0.0	50.38	0.0	0.0	14.72	15.19	15.31
Gfer	0.0	5.34	0.0	0.0	13.27	14.13	14.73
Gm11468	0.0	2.07	0.0	0.0	0.28	0.53	0.87
Gm13298	5.83	208.86	0.0	53.13	17.51	16.53	12.37
Gm16880	0.0	0.65	0.0	0.0	0.18	0.0	0.17
Gm20356	0.0	1.46	0.0	0.0	0.33	0.14	0.61
Gm3279	0.0	6.14	0.0	0.0	1.01	0.52	0.67
Gm4349	0.0	0.08	0.0	0.0	1.05	1.02	1.44
Gm5	0.0	68.62	0.0	0.0	1.13	0.85	1.4
Gm5820	0.0	205.58	0.0	0.0	0.88	0.94	1.26
Gm9376	0.0	32.74	0.0	0.0	0.0	0.6	0.0
Gpd1	0.0	114.91	0.0	0.0	80.97	75.87	79.2
Gpr146	0.0	28.12	0.0	0.0	12.46	13.66	12.08
Gpr183	0.0	0.24	0.0	0.0	0.9	0.72	0.83
Gpr20	0.0	0.3	0.0	0.0	0.23	0.39	0.05
Gstk1	0.0	244.34	0.0	0.0	13.62	12.53	13.95
Hbegf	0.0	22.23	0.0	0.0	12.83	10.59	11.78
Hmgb4	0.0	1.13	0.0	0.0	0.0	0.14	0.0
Hpgds	1.21	122.36	0.0	0.41	4.78	3.44	5.28
Ift80	3.72	171.72	0.0	0.0	15.08	15.2	16.36
Ipo7	0.0	307.77	0.86	0.0	89.26	83.51	90.33
Iscu	9.04	44.25	0.0	5.69	120.15	141.31	125.66
Krt9	0.0	5.04	0.0	0.0	8.31	9.41	8.57
LOC626410	0.0	205.84	0.0	0.0	0.0	0.05	0.0
Lgals12	0.0	52.08	0.0	0.0	0.8	0.61	0.94
Lhx9	0.0	0.16	0.0	0.18	1.29	1.61	1.31
Lpar3	0.0	0.29	0.0	0.0	0.36	0.26	0.46
Mgat1	0.51	79.47	0.0	0.0	43.12	47.31	46.19
Mpzl1	0.0	25.43	0.0	0.0	23.62	24.81	25.73
Msra	0.0	659.89	0.0	0.0	46.4	43.52	48.87
Mtbp	0.0	174.72	0.0	0.0	1.85	1.84	1.49
Nab2	0.0	119.7	0.0	0.0	46.24	45.77	32.04
Ncapg	0.0	3.18	0.0	0.0	0.4	0.41	0.23
Nek9	0.19	111.66	0.0	0.0	34.63	34.71	35.65
Nme4	0.0	201.0	0.0	0.0	5.18	4.55	5.23
Nol3	3.09	127.06	2.31	5.85	19.53	20.57	21.09
Npbwr1	0.0	0.19	0.0	0.0	1.53	0.91	1.21
Nqo1	0.0	0.94	0.0	0.0	4.63	5.33	5.24
Nr4a2	0.0	90.15	0.0	0.0	51.72	44.29	35.3
Nudt6	0.0	155.78	0.0	0.0	6.77	6.2	5.63
Numbl	0.0	54.87	0.98	1.41	88.92	93.6	88.07
Nup160	77.57	242.5	48.19	0.0	7.62	7.26	7.9
Oas1b	0.76	6.74	0.0	0.65	2.98	1.86	2.78
Olfr239	0.0	91.49	0.0	0.0	0.04	0.0	0.0
Pex12	0.0	112.15	0.0	0.0	7.86	8.02	9.36
Pign	0.0	30.99	0.0	0.0	7.15	7.09	8.24
Plcl1	0.19	15.51	0.0	0.4	13.26	10.77	14.66
