	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_47	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_1	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66
3300002I08Rik	0.0	1.23	0.0	0.0	0.0	3.31	0.0	0.0	0.0	57.25	15.3	0.95	56.66	0.0	0.0	1.44	18.97	68.44	12.12	26.95	0.0	0.0	0.0	2.65	0.0
A630007B06Rik	0.0	33.5	5.59	0.0	13.64	18.05	24.36	0.0	57.16	40.25	0.0	0.0	3.11	85.93	7.95	6.78	50.93	62.96	33.15	22.79	15.11	0.0	0.0	25.91	0.0
Glg1	0.0	0.0	63.21	0.0	41.35	0.0	0.0	0.0	63.67	76.07	64.98	12.25	3.81	53.27	0.0	0.0	58.57	76.91	18.05	13.76	32.47	0.0	0.0	72.18	0.0
Klf12	0.0	8.03	0.11	0.0	0.0	10.47	14.18	0.0	32.39	0.06	4.63	3.02	13.58	35.0	0.07	0.48	36.72	37.38	45.82	26.46	1.34	0.0	0.0	57.46	13.73
Lats1	0.0	0.0	0.09	0.0	0.0	2.34	3.96	0.0	17.8	0.26	34.31	0.0	0.0	0.16	0.03	0.0	0.05	7.95	0.15	0.03	0.03	0.0	0.0	0.1	1.26
Lsm6	6.54	157.34	94.96	3.65	50.74	91.36	87.58	1.09	158.78	107.19	65.46	19.11	26.12	87.04	24.63	40.22	123.21	150.31	215.9	70.78	44.41	6.62	0.09	18.73	41.18
Pptc7	0.0	2.79	0.0	0.0	2.46	16.28	23.53	8.17	8.71	25.61	39.17	4.65	10.61	15.96	11.43	0.0	29.07	39.55	64.36	40.71	12.34	0.0	0.0	4.75	0.0
Ptcd2	0.0	74.03	116.12	0.0	55.96	124.89	185.05	0.0	128.37	219.2	173.69	165.61	17.3	132.5	155.39	140.47	151.23	237.29	178.4	95.83	32.82	5.75	0.0	125.03	0.0
Pvalb	0.0	2781.07	2914.72	0.0	2576.97	2258.23	3332.67	0.0	1769.21	1698.2	2248.99	1909.51	1806.53	1693.91	2567.22	1432.88	1689.22	1830.01	1823.48	1749.01	3516.69	0.0	0.0	2759.1	3357.43
Rhox8	2.41	1.1	2.67	0.52	3.31	10.87	11.9	0.0	7.5	11.51	11.98	9.54	7.07	9.58	12.54	2.83	14.32	26.46	8.82	11.2	5.86	1.85	0.0	4.59	4.61
Scyl1	0.0	1.17	33.03	0.0	1.83	16.01	18.46	0.0	22.13	32.98	67.98	5.66	1.69	51.87	0.0	0.0	42.0	72.53	37.54	10.3	0.0	0.0	0.0	1.39	45.69
Sel1l	0.0	10.06	0.91	0.0	13.26	34.18	16.77	0.0	21.45	47.36	8.84	6.95	3.83	55.98	25.74	13.92	22.69	29.5	40.24	22.68	8.5	0.0	0.0	32.82	2.01
Snord116	0.0	0.0	5.72	0.0	3.31	5.24	7.69	0.0	5.67	3.4	0.0	0.0	10.18	10.44	10.52	0.0	7.07	17.03	0.0	12.73	1.69	0.0	0.0	3.58	0.0
Snord116l1	0.0	0.0	5.72	0.0	3.31	5.24	7.69	0.0	5.67	3.4	0.0	0.0	10.18	10.44	10.52	0.0	7.07	17.03	0.0	12.73	1.69	0.0	0.0	3.58	0.0
Snord116l2	0.0	0.0	5.72	0.0	3.31	5.24	7.69	0.0	5.67	3.4	0.0	0.0	10.18	10.44	10.52	0.0	7.07	17.03	0.0	12.73	1.69	0.0	0.0	3.58	0.0
Sprr2a1	0.0	0.0	0.04	0.0	0.0	0.12	0.06	0.0	0.23	0.27	0.06	0.02	0.04	0.16	0.11	0.17	0.05	0.24	0.49	0.23	0.03	0.0	0.0	0.11	0.0
Sprr2a2	0.0	0.0	0.04	0.0	0.0	0.12	0.06	0.0	0.23	0.27	0.06	0.02	0.04	0.16	0.11	0.17	0.05	0.24	0.49	0.23	0.03	0.0	0.0	0.11	0.0
Tctex1d2	0.0	0.0	0.0	0.0	55.69	182.47	157.55	0.0	120.54	69.04	29.31	70.67	139.75	71.52	2.0	63.76	160.56	271.52	159.4	99.87	150.94	0.0	0.0	74.68	32.48
Tomm40l	0.0	2.85	0.0	0.0	60.74	49.9	33.37	0.0	70.74	72.49	32.66	34.32	70.18	59.5	24.99	0.14	67.11	88.96	59.37	51.26	33.46	0.0	0.0	128.89	11.48
Unc13a	0.0	1.22	1.79	0.0	3.01	7.09	5.4	0.0	3.23	2.18	5.41	14.86	9.96	8.39	1.65	3.3	4.41	10.6	10.28	5.72	1.86	0.0	0.0	7.18	2.45
Wipi2	0.0	29.94	0.24	0.0	52.7	39.72	15.13	0.0	26.2	0.0	49.31	0.0	41.6	72.05	0.0	0.0	0.39	22.99	45.85	39.46	0.0	0.0	0.0	32.35	0.0
Zfp867	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	45.23	4.37	73.47	0.0	0.0	14.0	3.42	0.0	55.68	15.95	0.0	23.05	6.59	0.0	0.0	1.5	0.0
