	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_78	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1110065P20Rik	0.0	0.0	0.0	61.88	73.29
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.22
1700001L05Rik	0.0	0.0	0.0	2.99	3.47
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.0	0.19	0.19
1700023A16Rik	0.0	0.0	0.0	0.16	0.16
1700024P03Rik	0.0	0.0	0.0	0.21	0.21
1700034F02Rik	0.0	0.0	0.0	0.14	0.14
1700061J05Rik	0.0	0.0	0.0	0.11	0.11
2010005H15Rik	0.0	0.0	0.0	0.2	0.2
2310043L19Rik	0.0	0.0	0.0	0.15	0.15
2310065F04Rik	0.0	0.0	0.0	0.07	0.07
4930403N07Rik	0.0	0.0	0.0	0.04	0.04
4930447K03Rik	0.0	0.0	0.0	0.2	0.2
4930488B22Rik	0.0	0.0	0.0	0.01	0.26
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.07
4930562C15Rik	0.0	0.0	0.0	0.08	0.08
4931423N10Rik	0.0	0.0	0.0	0.22	0.22
5830403M04Rik	0.0	0.0	0.0	0.16	0.16
5830411N06Rik	0.0	0.0	0.0	0.07	0.07
5830432E09Rik	0.0	0.0	0.0	0.28	0.28
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
A4gnt	0.0	0.0	0.0	0.07	0.07
A530013C23Rik	0.0	0.0	0.0	0.05	0.05
A930004D18Rik	0.0	0.0	0.0	3.04	3.04
Aacs	0.0	0.0	0.0	36.46	37.15
Actn3	0.0	0.0	0.0	0.76	0.76
Adamdec1	0.0	0.0	0.0	0.04	0.04
Adamts12	0.0	0.0	0.0	0.19	0.19
Ak8	0.0	0.0	0.0	2.29	2.29
Akr1c12	0.0	0.0	0.0	0.08	0.08
Anxa9	0.0	0.0	0.0	1.33	1.33
Ap2a1	0.26	0.53	0.0	210.18	220.98
Apob	0.0	0.0	0.0	0.01	0.01
B430306N03Rik	0.0	0.0	0.0	0.14	0.09
Bhlhe23	0.0	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.0	0.04	0.04
Bpifb4	0.0	0.0	0.0	0.05	0.05
Bsnd	0.0	0.0	0.0	0.04	0.04
Calhm1	0.0	0.0	0.0	0.1	0.1
Capn13	0.0	0.0	0.0	0.04	0.04
Ccdc154	0.0	0.0	0.0	0.04	0.04
Cd209b	0.0	0.0	0.0	0.11	0.11
Ces1a	0.0	0.0	0.0	0.05	0.05
Clec12b	0.0	0.0	0.0	0.07	0.07
Clstn1	16.92	52.2	13.78	777.34	800.57
Cpa3	0.0	0.0	0.0	0.07	0.07
Csf1	0.0	0.0	0.0	11.57	12.69
Cyp2c55	0.0	0.0	0.0	0.05	0.05
D6Mm5e	0.0	0.0	0.0	0.1	0.1
Defb1	0.0	0.0	0.0	0.11	0.11
Dhrs2	0.0	0.0	0.0	0.08	0.08
Dhx58	0.0	0.0	0.0	1.52	1.52
Dlk2	0.0	0.0	0.0	41.92	43.43
Dnajc5b	0.0	0.0	0.0	0.11	0.11
Dspp	0.0	0.0	0.0	0.11	0.11
Dusp5	0.0	0.0	0.0	13.73	7.55
Dyrk4	0.0	0.0	0.0	0.1	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.1
Egr3	0.0	0.0	0.0	112.58	94.2
Fam83g	0.0	0.0	0.0	0.02	0.02
Fam89a	0.0	0.0	0.0	2.44	2.44
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Fut1	0.0	0.0	0.0	0.08	0.08
Gabrr3	0.0	0.0	0.0	0.07	0.07
Galk1	0.0	0.0	0.0	14.02	14.02
Galr3	0.0	0.0	0.0	0.25	0.25
Glyctk	0.0	0.0	0.0	3.95	4.28
Gm4745	0.0	0.0	0.0	0.08	0.08
Gpr44	0.0	0.0	0.0	0.08	0.08
Gpr65	0.0	0.0	0.0	0.15	0.15
Haao	0.0	0.0	0.0	0.25	0.25
Hal	0.0	0.0	0.0	0.04	0.04
Hist1h3f	0.0	0.0	0.0	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.07	0.07
Igsf10	0.0	0.0	0.0	1.41	1.55
Il17c	0.0	0.0	0.0	0.16	0.16
