	Gad2_tdTpositive_cell_44	Nos1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500011K16Rik	29.45	76.78	5.12	221.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.79	0.0	0.0	0.0	82.02	0.0	0.0	221.17	287.17	92.53	95.01	78.41	86.14	80.75	66.79	44.9	48.99	49.23
1810030O07Rik	4.0	149.96	79.58	143.42	13.31	0.35	0.95	0.74	104.39	2.15	6.11	3.06	0.0	6.83	1.39	356.55	5.7	0.0	0.0	2.77	528.11	6.42	1.33	0.32	25.92	13.44	23.93	22.01	20.72	32.0	29.18	30.38
2410018L13Rik	0.0	0.0	0.0	83.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.74	18.5	1.28	17.97	11.34	21.22	18.14	24.47
A930017M01Rik	0.0	0.0	0.0	108.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	4.13	0.0	0.0	0.0	0.0	0.0	6.6	0.09	4.99	9.49	13.01	9.49	8.61	8.7
AU022793	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.16	0.28	0.27
Abcc12	0.0	0.0	0.0	26.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.57	0.4
Acp6	153.08	12.84	95.17	95.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.08	7.77	4.22	2.75	13.61	13.63	15.31	14.61
Adam18	0.0	0.0	0.0	99.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.17	5.88	1.14	3.25	1.26	1.1	0.74
Arhgap26	0.0	120.15	21.63	237.31	0.0	0.0	0.0	0.0	0.58	0.0	0.05	0.09	0.0	105.61	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.46	104.72	34.95	212.92	137.55	42.56	39.64	44.6
Armcx1	0.07	158.82	158.45	497.92	0.0	0.0	0.0	0.0	1.08	0.0	0.17	0.11	0.0	0.57	0.0	0.0	0.0	0.0	0.0	17.5	0.0	0.0	0.0	0.0	169.09	111.81	51.41	100.68	108.6	74.42	71.4	64.32
Atf1	0.0	0.16	0.33	87.02	0.0	0.0	0.24	0.0	0.0	0.12	0.0	0.21	0.53	0.0	0.12	0.0	0.0	2.71	0.0	0.21	0.0	0.32	0.0	0.0	6.79	8.45	0.98	1.68	9.06	11.96	12.33	11.11
Atp6v0a2	0.0	0.0	0.18	104.25	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.67	7.26	1.6	2.09	4.11	49.1	51.56	49.64
Atp9b	0.03	0.0	0.0	68.86	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	13.17	5.02	5.4	7.5	6.32	36.48	36.02	38.24
B9d1	0.0	0.0	0.0	204.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	79.72	0.0	0.0	0.0	0.0	0.0	0.0	97.45	60.7	72.18	69.16	49.08	17.26	18.66	18.67
Bcl11b	0.0	0.0	0.04	57.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.33	13.19	5.96	14.6	9.07	35.56	39.1	36.72
Bscl2	241.26	148.56	430.85	703.91	0.0	212.93	0.0	0.28	2.27	87.5	0.0	0.13	0.0	31.35	0.0	0.0	0.0	0.0	0.39	0.0	528.76	0.0	0.0	100.58	196.91	257.06	221.95	189.56	191.85	91.92	86.21	82.76
Cacna1e	0.0	26.85	14.62	59.37	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.05	44.04	13.43	63.72	27.94	78.28	66.78	84.4
Cby1	203.74	84.28	259.28	266.15	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	10.1	0.0	0.0	0.0	0.0	61.46	80.5	87.74	69.4	73.35	58.53	62.12	55.05
Ccdc28a	0.0	181.1	8.12	254.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.5	48.71	67.77	61.44	65.94	30.95	34.43	27.77
Ccl27b	0.0	22.24	178.93	116.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.56	103.08	75.81	61.27	71.98	30.63	28.29	22.96
Cenpc1	127.85	30.97	0.0	227.23	0.0	0.0	0.0	149.47	0.54	0.0	0.0	0.0	0.0	0.13	0.0	2.95	0.0	0.0	0.0	0.0	5.6	0.0	352.75	0.0	16.89	45.71	21.11	32.9	17.25	19.63	16.83	17.49
Cep135	60.13	0.0	0.0	48.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	1.39	2.72	0.17	1.62	6.14	5.7	5.9
Cit	0.02	3.99	2.3	31.11	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3	3.61	4.92	2.05	2.98	37.49	36.91	41.69
Coro2b	0.0	3.99	37.52	35.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	3.95	10.67	12.66	14.93	118.73	124.35	130.21
