	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50
7530416G11Rik	0.0	0.18
A330050B17Rik	3.85	5.36
AW011738	0.0	0.09
Amy2a2	0.24	0.33
Amy2a3	0.24	0.33
Amy2a4	0.24	0.33
Apold1	0.0	9.25
BC031353	0.0	45.43
Bhlhe40	0.0	42.13
Ces5a	0.0	11.52
Chadl	0.0	0.75
Col3a1	0.0	0.09
Ctsz	0.0	0.18
Cyp1a1	0.0	0.18
D17H6S53E	55.65	94.1
Elac2	0.0	0.09
Foxl2os	0.6	1.67
Gm4841	5.83	6.82
Gm6623	0.0	0.09
Gnal	49.98	75.08
Hacl1	0.0	0.09
Hectd3	0.0	0.05
Lrrtm4	123.68	214.74
Mmp14	0.0	0.09
Mxra8	0.0	0.75
Myt1	0.0	0.09
Nlrp10	0.0	0.05
Pacs1	0.0	0.44
Phtf2	0.14	51.43
Ppp6r3	32.56	66.08
Prop1	0.0	0.05
Psg28	8.21	10.0
Rab40b	0.0	0.09
Rad18	0.0	0.09
Rbl1	0.0	0.09
Rnf113a1	1.28	57.35
Sec14l3	0.0	0.11
Sf3b1	29.54	101.81
Sgsh	0.0	0.05
Ska1	0.0	0.09
Slc38a8	0.0	0.18
Snora30	0.0	57.85
Spag4	0.0	47.01
Speer1-ps1	0.0	0.22
Supt3h	10.99	8.24
Tac1	8114.55	11032.51
Tbrg1	67.33	178.14
Trpv5	0.0	0.09
Tulp3	1.03	27.09
Usp27x	0.0	0.05
Zfp595	0.0	0.18
c1_tRNA-Ala-GCA	0.0	10.25
