	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Rbp4_tdTpositive_cell_59	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
5730419I09Rik	25.03	8.55	0.06	0.0	109.55	0.67	138.78	39.62	37.71	0.0	0.0	0.46	1.82	9.53	17.77	9.65	41.92	18.4	36.48	4.23	19.03	37.89	30.47	0.39	4.51	32.76	36.45	26.92	21.34	0.0	69.73	3.62	0.58	0.0	0.0	25.46	28.46	0.11	0.0	63.15	39.36	0.15	17.81	0.0	20.87	0.0	20.22	17.56	23.89	0.17	42.57	40.84	43.63
Abcd2	0.0	19.01	0.16	0.0	153.51	51.19	93.07	329.44	116.7	0.41	0.23	0.13	0.09	0.07	0.07	0.11	0.14	0.14	3.77	0.17	0.41	0.22	0.23	0.32	0.0	21.99	0.43	0.0	0.61	0.16	0.0	38.25	0.0	0.0	1.72	0.0	0.03	0.09	0.01	14.51	0.5	1.58	0.92	0.0	0.11	0.16	0.04	0.08	15.61	0.06	25.68	22.57	27.0
Abhd12	77.46	86.81	25.89	0.0	189.91	165.29	411.22	139.19	106.59	0.0	0.0	53.72	42.7	1.35	0.34	14.38	114.8	14.34	75.32	90.52	39.97	20.76	62.2	32.89	0.13	19.91	4.63	44.51	0.61	44.88	155.73	25.21	121.32	8.41	59.47	5.19	0.08	108.69	0.0	119.08	225.12	0.0	368.62	0.0	3.53	154.27	33.24	150.27	27.26	153.24	309.4	343.65	332.54
Abr	65.75	40.33	1.65	0.0	90.1	90.18	158.27	35.31	35.89	0.0	0.0	0.81	31.53	3.07	56.7	17.4	11.96	31.72	110.66	11.0	28.79	26.13	0.53	2.07	43.91	19.91	17.46	5.93	0.33	19.07	1.46	56.04	24.25	5.87	15.42	20.04	14.96	33.03	0.0	90.77	124.63	0.0	102.34	231.01	26.81	2.89	0.91	39.06	11.47	21.49	272.97	271.82	286.04
Anapc7	32.12	0.0	2.42	0.0	0.0	0.0	130.92	80.34	0.0	0.0	0.0	3.69	0.0	0.0	0.0	0.19	0.48	0.0	0.0	0.0	41.75	0.0	0.0	0.0	1.17	73.3	33.14	31.32	0.0	2.1	0.51	0.0	0.15	0.0	0.0	45.86	1.31	9.69	0.0	29.52	0.25	0.0	13.58	0.0	0.0	19.8	0.0	0.0	16.12	0.0	29.78	31.67	28.68
Arhgef17	0.68	0.0	0.0	0.0	32.68	15.88	32.18	0.0	14.5	0.0	0.0	0.1	0.04	0.0	0.02	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	1.19	0.0	0.1	0.0	0.0	2.58	0.2	0.02	0.0	0.0	8.98	0.0	0.0	0.0	0.0	28.97	62.3	0.0	14.07	0.0	0.0	0.15	0.03	12.84	0.0	0.01	53.82	58.08	58.26
Asph	0.0	30.93	0.0	0.0	284.81	54.48	430.59	180.92	48.21	0.0	0.28	63.04	0.05	5.02	55.6	0.0	0.07	0.0	0.18	4.19	0.0	0.18	0.13	0.0	0.0	73.13	73.61	0.19	6.73	5.05	0.0	0.41	0.1	0.17	0.0	0.0	28.76	0.0	0.0	34.32	209.52	0.0	13.52	0.0	12.79	0.07	0.51	26.53	0.21	8.52	110.31	113.31	106.12
Atp1a3	366.16	517.3	223.53	0.0	523.51	1308.59	746.57	573.89	423.72	0.0	0.0	156.09	286.6	265.8	263.32	311.99	160.81	252.13	322.56	344.11	358.79	374.74	279.42	349.38	126.28	238.48	218.19	335.86	201.95	337.68	83.59	272.65	310.38	212.08	248.82	134.54	326.61	250.32	0.0	403.66	510.97	0.16	685.23	0.0	245.85	247.83	513.59	370.84	271.27	160.6	1301.98	1411.72	1359.05
Atp2a2	65.69	102.29	3.33	0.08	135.73	535.35	325.2	141.13	255.48	3.24	0.0	100.35	20.84	68.71	132.86	83.05	83.56	43.02	93.04	26.94	68.88	47.16	45.33	104.61	55.67	229.78	70.6	109.59	84.2	103.87	55.79	55.64	43.27	64.11	120.16	31.67	71.33	18.64	0.79	336.82	483.52	0.0	351.93	0.24	13.22	38.73	37.88	37.63	41.23	57.14	513.24	490.71	517.28
B020004C17Rik	0.13	0.0	0.23	0.0	0.62	0.35	0.0	0.61	0.42	0.0	0.0	0.0	0.2	0.0	0.09	0.17	0.19	0.61	0.15	0.0	0.21	0.28	0.0	0.14	0.21	0.18	0.09	0.13	0.0	0.0	0.0	0.21	0.0	0.0	0.12	0.11	0.0	0.1	0.0	0.53	1.64	0.0	0.78	0.0	0.0	0.29	0.0	0.0	0.0	0.08	0.02	0.0	0.27
Cacna2d1	0.0	0.0	0.0	0.0	205.92	96.28	107.57	172.57	84.83	0.0	0.0	0.02	0.06	0.03	0.04	0.01	0.01	0.0	0.04	0.04	0.0	0.0	0.0	0.04	0.0	113.99	96.53	0.04	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	75.73	184.72	0.0	38.21	0.0	0.0	0.0	0.0	0.0	0.08	0.0	99.54	89.77	97.68
Camk2d	45.79	3.89	35.58	32.65	238.2	109.15	298.3	205.82	22.98	0.0	0.0	31.85	13.04	187.25	77.96	84.99	61.01	11.01	18.56	15.77	47.44	39.75	9.13	11.45	35.84	52.66	61.46	97.96	36.79	56.91	23.71	17.18	15.98	20.91	79.66	14.93	21.82	45.84	0.0	24.69	177.41	0.0	207.26	0.0	11.18	15.58	105.74	12.02	35.56	67.05	72.85	74.83	76.26
Camkk2	7.85	3.08	0.05	0.0	22.01	6.53	23.56	0.23	3.4	0.0	0.0	4.15	3.33	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.74	0.17	0.05	0.55	0.32	0.0	0.69	2.79	0.0	0.0	0.0	0.0	2.39	0.45	0.45	8.32	0.0	16.64	23.15	0.0	22.82	0.0	3.75	3.13	0.0	8.81	0.0	0.0	173.23	165.59	174.65
Camkv	4.0	0.0	0.0	0.0	71.79	101.93	47.39	118.54	33.81	0.0	0.0	5.15	0.08	0.0	0.05	7.79	1.72	0.08	0.0	0.0	0.0	0.0	5.76	43.01	0.0	48.34	86.29	0.0	28.1	15.39	0.0	0.0	0.07	0.0	10.87	0.0	0.0	0.0	0.0	83.69	51.65	0.0	167.09	0.0	0.0	0.0	2.8	0.73	0.0	21.24	455.8	497.46	456.14
Cebpb	0.0	0.0	0.0	0.0	1.74	1.56	3.39	0.38	2.73	0.0	0.0	0.34	0.05	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.52	0.0	0.32	0.0	0.0	0.0	0.0	2.07	0.0	0.19	0.0	0.0	0.0	14.13	2.59	0.0	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	6.69	6.58
Chd3	0.51	9.54	0.0	0.0	73.64	4.68	47.14	5.3	0.08	22.58	0.0	9.45	0.32	0.0	2.27	2.74	0.05	0.0	13.11	0.66	1.49	0.32	0.34	0.0	0.0	1.58	2.19	2.84	0.0	0.0	1.17	4.61	0.74	0.76	0.0	0.0	0.4	0.0	0.0	0.05	2.18	0.0	16.16	0.0	0.0	2.75	0.05	5.06	16.98	0.0	229.08	240.27	248.23
Clip3	254.0	211.67	127.59	0.0	178.44	271.72	304.32	325.44	364.61	0.0	0.0	144.65	146.66	86.9	36.45	227.44	91.51	46.42	233.3	68.56	124.51	117.38	37.53	232.14	338.69	294.06	276.84	121.66	108.66	125.84	162.03	113.33	243.26	201.69	71.37	42.47	72.86	146.91	2.76	145.91	288.68	0.19	147.9	0.32	30.95	50.05	233.29	152.16	39.71	131.63	325.47	332.48	328.71
Clstn1	2.88	17.48	0.08	0.0	91.92	45.09	242.06	10.27	22.36	0.0	0.0	2.85	12.77	28.95	40.93	3.27	39.45	25.55	3.26	1.57	46.11	63.74	7.52	5.83	2.91	8.05	16.51	58.98	50.02	1.09	0.0	6.35	7.76	43.21	45.78	15.34	29.16	10.22	0.46	49.69	127.37	9.01	180.53	0.0	49.45	18.43	51.0	63.76	75.4	3.2	777.34	797.87	800.57
Dclk1	82.45	63.68	43.59	187.43	347.98	90.08	209.74	259.49	426.05	0.0	0.08	43.0	88.44	72.51	138.79	14.22	68.43	73.95	44.76	121.6	30.51	84.21	43.57	45.01	88.36	142.9	155.59	21.0	125.15	83.25	51.39	66.36	83.18	120.74	19.14	85.02	54.54	71.84	0.0	400.95	337.99	0.04	368.26	0.0	44.06	115.1	33.08	34.37	64.95	53.69	367.79	342.85	374.41
Ddx5	218.71	91.52	93.99	0.1	396.66	254.81	411.6	479.49	566.62	3.71	15.0	78.87	138.55	6.5	14.16	22.2	108.19	72.88	254.03	132.82	84.11	196.61	36.55	104.43	132.52	453.92	428.09	106.65	88.51	76.21	252.99	57.42	178.73	147.71	127.63	227.79	192.19	188.22	91.3	428.56	657.11	96.51	376.1	326.03	56.45	152.86	248.1	159.36	90.0	235.59	633.11	643.14	601.38
Efr3a	34.55	0.0	15.05	0.0	269.56	110.33	239.26	167.38	59.3	0.0	0.0	7.53	4.33	82.87	62.18	0.02	16.92	14.16	38.11	0.05	49.66	30.85	17.71	5.18	50.0	43.67	85.14	61.02	21.73	0.0	59.93	24.26	0.24	44.02	0.94	12.11	4.06	0.0	19.71	82.97	14.08	0.0	37.26	0.0	2.99	19.74	0.11	12.39	9.46	16.87	87.66	80.09	83.79
Eif4g2	55.03	135.94	80.76	5.84	276.08	57.33	131.19	199.51	240.06	35.44	0.93	54.81	99.46	41.65	52.89	179.52	57.41	107.6	135.81	88.82	57.54	86.79	195.39	118.16	87.3	114.19	194.8	44.78	126.18	105.05	178.13	96.27	107.24	122.41	121.58	161.46	110.52	116.62	4.28	145.26	256.04	116.06	175.36	197.81	47.33	96.18	100.23	101.29	71.24	144.26	229.74	219.02	219.29
Erdr1	6.97	0.0	2.89	0.0	194.3	36.84	101.27	38.19	13.81	0.0	0.0	0.91	36.42	24.37	17.88	44.61	66.56	9.52	8.01	0.0	0.0	0.0	82.96	37.55	13.21	29.11	171.96	20.23	1.63	0.87	27.53	11.79	7.1	8.32	3.58	29.35	7.27	15.12	61.49	18.7	0.0	0.0	2.21	1.45	10.92	16.82	19.52	48.43	14.07	27.01	94.32	245.81	243.31
Extl3	5.09	4.75	0.0	0.0	0.0	35.21	63.45	21.88	13.2	0.0	246.98	0.05	0.02	0.02	0.03	1.03	0.14	13.99	22.04	0.05	3.05	16.47	0.45	0.0	10.78	21.29	0.04	0.0	0.16	0.07	0.0	2.92	5.45	0.69	0.0	0.41	0.0	0.0	0.0	23.4	46.1	0.11	37.7	0.0	0.05	0.04	10.54	6.08	23.55	15.59	77.78	77.85	79.78
Fstl4	0.0	0.0	0.0	0.0	49.31	41.33	0.0	26.38	58.65	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	14.63	0.0	5.88	0.0	0.0	0.0	0.0	4.94	0.0	0.09	0.17	0.05	0.0	0.0	18.88	147.92	0.0	22.98	0.0	11.28	0.0	0.0	0.0	0.0	0.0	16.09	13.78	16.47
