	Chrna2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_7	Chrna2_tdTpositive_cell_21	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Cux2_tdTpositive_cell_72	Gad2_tdTpositive_cell_17	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_41	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_85	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_103	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110028C15Rik	101.64	0.0	2.49	0.0	0.0	0.0	0.29	0.0	4.28	0.0	0.0	0.0	23.69	0.0	0.91	0.0	0.05	0.0	1.39	0.0	0.0	1.73	0.0	0.0	0.0	6.14	0.0	0.0	0.0	0.0	2.08	1.66	7.29	6.45	7.2
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700045I19Rik	141.7	0.0	0.0	63.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	1.03	0.96
2310015A10Rik	3.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	16.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	5.08	5.31	6.73
4930412C18Rik	89.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.43	0.89	1.4	0.89
4930520O04Rik	193.03	0.0	127.55	2.06	20.62	16.15	11.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.07	61.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.33	0.83	1.13	1.45
4930529M08Rik	39.59	0.0	0.11	0.24	0.0	0.45	0.0	0.0	9.52	0.1	0.0	0.28	0.0	0.0	0.04	0.0	0.0	0.16	0.26	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.15	0.0	3.39	1.41	0.92	1.57
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
5830418P13Rik	0.32	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.48	0.85
6030407O03Rik	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.36	0.74
A330048O09Rik	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	3.86	3.35	2.87
Ap1ar	116.5	0.0	0.0	0.0	0.0	16.09	0.0	0.0	0.86	0.0	5.67	68.3	55.65	0.0	0.0	2.31	0.0	15.54	20.06	1.71	0.22	15.79	28.17	0.06	0.0	20.86	131.64	0.0	0.2	1.36	13.77	11.95	91.14	95.93	92.03
