	Ctgf_tdTpositive_cell_3	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_17	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1110049F12Rik	0.0	0.0	0.0	0.0	1.56	76.51	0.0	0.0	14.47	0.0	0.0	0.0	0.0	0.0	0.0	318.71	70.87	0.27	104.01	120.71
1700109H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.42	0.0	0.0	1.91	2.56
3300002I08Rik	0.0	0.0	0.0	0.95	2.43	9.81	0.0	12.64	1.35	14.03	0.0	0.0	0.0	2.33	0.0	98.47	4.94	0.61	2.37	3.05
4930529F24Rik	0.0	0.0	14.58	0.0	26.17	17.46	24.55	94.32	3.65	0.78	0.0	3.14	0.0	0.0	0.0	92.22	0.0	0.0	0.11	0.0
6430598A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.33	0.0	0.0	54.53	60.75
Arl4d	0.0	0.0	0.96	0.0	96.57	0.0	0.51	5.53	103.65	94.2	0.0	0.0	0.57	0.0	0.0	188.45	17.54	0.0	52.47	47.65
Aurkb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.46	0.48
Cabyr	0.0	0.0	0.0	0.0	0.0	4.23	0.45	0.0	0.0	105.56	0.0	0.0	0.0	0.0	0.0	88.04	15.46	0.0	14.66	14.36
Cand1	0.0	0.0	0.31	0.07	43.14	29.32	10.83	23.17	7.02	21.85	0.0	0.09	0.0	0.0	0.0	74.03	17.91	0.05	54.24	53.15
Car15	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.49	0.0	0.0	7.11	7.98
Ccdc43	0.0	0.0	190.71	0.0	0.0	69.83	75.88	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	148.47	0.07	10.85	19.59	20.96
Ccl27b	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	114.35	145.03	0.0	0.0	0.0	0.0	0.0	40.3	150.8	0.46	30.63	28.29
Cdk5r1	0.0	0.0	60.67	0.14	25.06	38.96	36.96	60.16	48.25	50.11	0.0	0.0	0.0	0.0	0.0	104.55	76.74	0.0	215.41	232.31
Cenpm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.77	76.93	0.0	3.8	3.93
Cggbp1	0.0	0.0	0.0	0.0	32.58	2.7	14.81	0.0	47.88	2.72	0.0	0.0	0.53	0.0	0.0	115.12	0.0	0.1	42.8	40.68
Chpf	0.0	0.0	0.0	0.0	12.97	21.86	1.45	0.13	2.09	0.0	0.0	0.0	0.0	0.0	0.0	73.7	0.91	0.13	61.67	77.14
Csnk1e	0.0	0.0	25.34	0.0	0.59	10.6	51.26	30.51	0.29	8.89	0.36	1.66	0.0	0.0	0.0	88.5	17.7	0.0	87.5	91.6
Ctr9	0.64	3.16	70.86	0.0	18.2	23.53	21.83	2.95	12.37	47.28	0.0	0.0	0.54	0.0	0.0	137.75	0.0	0.1	36.47	38.44
Dctn1	0.0	0.0	0.0	0.14	7.49	1.25	4.85	66.78	0.2	3.8	0.0	0.18	0.19	0.0	0.0	151.02	0.0	0.1	236.1	267.0
Dip2c	0.0	0.0	105.24	0.15	2.03	32.82	13.8	11.59	36.49	4.8	0.0	2.52	0.0	0.0	0.0	85.2	7.21	0.1	33.17	32.33
Dnm1	0.0	0.0	11.22	0.0	65.89	75.92	46.15	11.85	33.46	69.02	0.0	0.19	0.2	0.0	0.0	101.1	33.52	0.11	785.48	840.55
Dyrk3	0.0	0.0	11.33	0.0	0.0	0.0	41.95	0.0	14.19	0.0	0.0	0.0	0.0	0.0	0.0	135.26	0.0	0.0	14.06	14.06
Elp2	37.08	0.0	212.65	0.43	242.86	44.19	17.01	167.47	131.39	56.6	54.75	0.0	1170.79	0.0	0.0	496.33	195.43	24.12	85.64	88.33
Fam134a	0.0	0.0	0.51	0.47	27.37	44.05	83.67	37.31	0.67	4.09	0.0	0.0	0.3	0.0	0.0	414.31	62.89	0.16	190.64	202.99
Fgd4	0.0	188.58	0.0	0.0	20.14	0.0	1.73	5.19	15.2	25.0	0.0	0.0	0.36	0.0	0.0	48.47	3.4	25.26	10.93	9.74
Fscn1	8.65	0.0	17.01	0.22	18.37	9.01	29.78	3.25	14.6	18.3	5.19	0.27	0.0	0.0	0.0	25.64	13.46	0.0	187.25	206.18
Fxyd5	1070.72	0.0	2.51	0.0	0.0	0.0	0.0	1.61	38.9	0.0	0.0	0.0	0.0	0.0	0.0	162.91	0.0	0.0	23.87	23.16
Gm13306	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	114.35	145.03	0.0	0.0	0.0	0.0	0.0	40.3	150.8	0.46	30.63	28.29
Gm14430	0.0	0.0	1.33	0.0	4.76	8.15	0.0	6.89	0.0	12.82	0.04	0.0	0.0	0.0	0.0	9.24	13.33	0.24	7.67	5.07
Gm14434	0.0	0.0	1.33	0.0	4.76	8.15	0.0	6.89	0.0	12.82	0.04	0.0	0.0	0.0	0.0	9.24	13.33	0.24	7.67	5.07
Gm2506	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	114.35	145.03	0.0	0.0	0.0	0.0	0.0	40.3	150.8	0.46	30.63	28.29
Gm4724	0.0	0.0	1.33	0.0	4.76	8.15	0.0	6.89	0.0	12.82	0.04	0.0	0.0	0.0	0.0	9.24	13.33	0.24	7.67	5.07
Gmeb1	24.58	1.5	96.63	13.28	27.14	13.13	31.57	27.47	57.25	12.34	9.41	21.6	21.73	24.17	1.72	87.74	75.4	145.33	9.63	7.72
Gpr137c	0.0	0.0	8.5	0.0	39.05	8.3	0.0	107.45	0.0	0.29	0.0	0.0	0.0	118.11	0.0	141.21	6.61	0.0	22.29	21.41
Grk6	0.0	0.0	163.85	0.0	21.28	0.31	1.39	26.22	0.54	2.32	0.0	0.0	0.0	0.0	0.0	92.52	41.71	0.0	61.43	63.59
Hif1a	0.0	0.0	0.0	0.0	3.3	21.55	6.93	13.36	0.0	16.22	0.0	0.0	0.0	0.0	12.82	88.56	16.69	0.09	49.67	48.72
Inpp5k	0.0	0.0	0.0	0.0	66.92	83.63	73.67	23.87	8.3	0.52	0.0	0.0	0.29	0.0	0.0	246.41	11.45	0.16	36.26	35.0
Kcnf1	0.0	0.0	120.07	0.0	53.66	3.51	31.78	20.04	9.73	6.08	0.07	0.15	0.0	0.0	0.0	83.04	7.46	0.0	85.7	90.56
Lonrf1	1.13	6.23	4.68	5.18	40.87	8.04	15.79	24.15	4.47	24.78	4.1	4.91	11.54	9.54	10.46	89.8	1.6	5.41	20.65	19.77
Mapk8ip2	0.0	0.0	0.36	0.0	52.01	14.03	9.65	3.43	0.03	2.16	0.0	202.53	0.0	0.0	0.0	172.64	1.77	0.0	190.79	206.07
Mapt	0.0	0.0	178.97	3.52	123.82	36.67	48.1	47.06	29.07	35.23	0.24	7.22	0.59	0.0	0.0	264.28	169.9	1.03	238.54	239.35
Minpp1	0.0	1.31	178.52	0.46	22.95	3.16	3.15	81.09	19.85	0.8	1.28	0.28	0.65	0.0	0.23	96.73	9.71	2.22	59.35	61.13
Mir690	26828.41	22720.97	30464.78	19318.5	30528.33	39867.27	42000.18	28765.87	37370.15	37614.4	27509.93	44948.68	42282.55	27759.51	35532.88	7402.69	48007.3	26597.61	1.35	1.29
Mrpl22	0.0	0.0	311.58	0.0	1.44	200.9	75.98	580.79	332.09	111.95	0.0	0.0	4.39	0.0	0.0	274.09	97.37	0.59	31.21	34.84
Mrps6	0.56	0.0	236.84	0.0	0.0	0.0	0.0	139.58	98.62	52.8	0.0	0.0	0.0	0.0	0.0	250.34	0.0	0.0	43.06	46.16
Ncoa2	0.0	0.0	82.34	0.0	0.0	6.73	0.04	25.14	1.27	0.86	0.0	0.09	8.73	0.0	0.0	115.55	0.0	0.0	41.1	39.57
Nsun5	0.0	0.0	0.0	0.0	0.95	32.73	4.9	0.0	22.49	0.0	0.0	0.0	0.0	38.96	0.0	92.45	0.0	35.0	10.89	10.71
Nupl1	0.0	0.0	0.0	0.25	2.83	2.96	19.75	1.98	0.0	3.2	0.0	0.0	0.0	0.0	0.0	131.07	0.21	0.17	45.88	41.83
Pnmal2	0.0	0.0	0.0	101.05	26.35	21.08	41.23	31.52	7.6	3.17	0.0	0.0	0.0	0.0	0.0	100.33	10.73	0.0	188.1	213.32
Ppp2ca	0.0	0.0	58.92	0.31	54.53	85.93	74.66	79.63	77.92	48.8	0.0	0.38	0.0	2.35	0.0	279.45	51.88	410.37	412.48	418.25
Rnf113a1	0.0	0.0	3.57	0.0	45.54	38.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.05	12.49	0.0	9.32	10.64
Rnf113a2	0.0	0.0	0.0	0.0	52.47	0.0	0.0	0.0	0.0	30.95	0.0	0.0	0.0	0.0	0.0	165.15	50.5	569.8	12.77	13.53
Rpl28	0.91	619.63	690.54	6.68	413.75	584.38	694.37	406.62	254.7	389.89	105.63	781.51	157.98	221.8	0.0	781.82	424.93	452.4	381.72	424.89
Rtn1	0.0	0.0	976.35	11.02	909.29	1562.52	1428.02	1417.04	1916.43	1893.39	1.48	9.61	0.51	0.94	0.0	3251.64	2185.92	5.19	1419.45	1476.44
Scn8a	0.0	0.0	42.54	0.11	70.85	98.95	42.57	11.79	45.7	17.47	0.03	0.19	3.92	0.0	0.0	165.99	20.74	0.15	111.53	100.99
Secisbp2l	0.0	0.0	19.01	0.09	3.88	40.89	18.38	52.16	18.27	20.35	0.28	0.21	5.84	0.0	0.0	95.26	30.42	0.06	61.92	59.67
Slfn10-ps	0.0	0.0	0.46	0.0	0.29	0.35	0.0	0.86	0.69	0.11	0.0	1.44	0.54	0.0	0.0	0.68	0.07	0.12	0.55	0.09
Spata24	0.0	0.0	0.0	0.0	0.0	57.79	3.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.49	0.0	0.0	7.85	8.52
Tmbim4	0.0	0.0	388.47	0.0	140.98	0.0	193.89	130.28	210.27	146.12	0.42	1241.68	1.01	0.0	0.0	680.62	134.81	1.08	65.39	67.55
Tmem68	0.0	0.0	505.8	0.46	197.23	175.96	95.78	33.58	36.78	10.17	0.37	0.28	0.3	810.73	0.0	911.74	247.1	0.96	43.13	43.9
