	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1520402A15Rik	0.0	0.0	0.15	0.0	20.66	20.51	19.73
1700001L19Rik	0.0	0.0	0.12	0.0	15.72	13.93	14.24
1700007I08Rik	0.0	0.0	0.15	0.0	4.39	4.89	7.27
1700110M21Rik	0.0	0.0	0.12	0.0	0.05	0.0	0.0
1810007I06Rik	0.0	0.0	0.77	0.0	1.01	0.31	1.71
3110062M04Rik	0.0	0.0	0.12	0.0	2.24	2.95	2.58
4732415M23Rik	0.0	0.0	0.46	0.0	2.83	3.24	4.6
4732491K20Rik	0.0	0.0	0.07	0.0	3.23	2.95	3.36
4930455H04Rik	0.0	0.0	0.12	0.0	0.0	0.07	0.0
4932416K20Rik	0.0	0.0	0.24	0.0	0.17	0.24	0.15
4932435O22Rik	0.0	0.0	0.06	0.0	0.26	0.11	0.12
6330416G13Rik	0.0	0.0	0.24	0.0	10.75	10.54	11.27
A630019I02Rik	0.0	0.0	0.22	0.0	0.0	0.17	0.0
A930019D19Rik	0.0	0.0	0.23	0.0	0.32	0.0	0.44
AI607873	0.0	0.0	0.06	0.0	0.31	0.51	0.21
Ace2	0.0	0.0	0.06	0.0	1.55	1.44	1.69
Acot1	0.0	0.0	9.24	0.0	12.35	15.76	17.02
Acp2	6.27	0.0	1.26	5.6	50.53	50.49	50.85
Acsf2	0.0	0.0	0.07	0.0	11.92	12.41	12.76
Acy1	0.0	0.0	9.79	0.0	13.2	11.77	12.77
Acy3	0.0	0.0	0.15	0.0	2.32	2.63	1.64
Adamtsl3	0.0	0.0	0.03	0.0	0.75	0.87	0.65
Agbl2	0.0	0.0	0.06	0.0	1.34	0.88	1.14
Aipl1	0.0	0.0	0.14	0.0	0.0	0.12	0.0
Amigo2	0.0	0.0	0.07	0.0	9.18	9.25	7.22
Ank3	0.0	0.0	9.24	1.83	82.78	75.07	87.24
Ankrd16	0.0	0.0	0.0	0.0	18.65	19.44	18.39
Apob	0.0	0.0	0.03	0.0	0.01	0.0	0.01
Arhgap5	0.0	0.0	29.54	102.89	49.69	37.59	55.29
Art1	0.0	0.0	0.15	0.0	0.07	0.13	0.0
Athl1	0.0	0.0	0.14	0.0	5.49	4.99	4.34
Axl	0.0	0.0	0.04	0.0	23.04	22.35	23.67
BC037704	0.0	0.0	0.11	0.0	1.34	1.92	1.49
Bank1	0.0	0.0	0.07	0.0	1.36	1.17	1.41
Bean1	0.0	0.0	0.07	0.0	10.89	11.52	10.31
Btbd6	0.0	0.0	0.11	0.0	52.54	59.16	57.36
C130021I20Rik	0.0	0.0	0.06	0.0	0.05	0.05	0.08
C130026I21Rik	0.0	0.0	0.15	0.0	0.23	0.06	0.0
C130074G19Rik	0.0	0.0	50.06	0.0	49.03	50.81	49.79
Cacna1g	0.0	0.0	0.06	0.0	33.7	32.27	39.81
Cacna2d4	0.0	0.0	0.15	0.0	1.25	1.38	1.26
Calcr	0.0	0.0	0.06	0.0	0.54	0.37	0.26
Capn1	0.0	0.0	0.07	0.0	20.82	21.05	20.65
Car12	0.0	0.0	0.06	0.0	13.63	11.86	13.85
Cars2	0.0	0.0	6.68	0.0	13.21	14.77	13.2
Ccdc14	0.0	0.0	0.21	0.0	2.08	1.91	2.84
Ccdc15	0.0	0.0	0.06	0.0	1.59	2.05	1.79
Cd163l1	0.0	0.0	0.06	0.0	0.09	0.13	0.21
Cd274	0.69	0.0	3.95	1.51	1.93	1.69	1.9
Cd300e	0.0	0.0	0.11	0.0	0.15	0.19	0.11
Cdca2	0.0	0.0	0.06	0.0	0.23	0.24	0.4
Cdh22	0.0	0.0	0.06	0.0	26.71	27.01	29.44
Cldn14	0.0	0.0	0.15	0.0	1.51	1.23	1.46
Clec4a1	1.83	0.0	0.14	0.0	0.19	0.5	0.33
Cnnm1	0.0	0.0	12.91	0.0	63.15	65.54	67.49
Coasy	0.0	0.0	0.0	0.0	20.56	22.83	22.11
Col20a1	0.0	0.0	0.15	0.0	3.0	2.56	3.07
Col6a4	0.0	0.0	0.03	0.0	1.29	1.14	1.38
Csnk1g3	0.0	0.0	3.36	0.0	41.74	39.54	40.79
Ctage5	0.0	0.0	4.85	0.37	37.73	35.59	38.45
D430020J02Rik	0.0	0.0	0.22	0.0	3.14	2.86	3.34
Dnahc10	0.0	0.0	0.23	0.0	0.53	0.62	0.5
Dnajc22	0.0	0.0	0.15	0.0	0.0	0.13	0.0
Dusp4	0.0	0.0	16.8	0.0	11.36	11.55	9.25
Edar	0.0	0.0	0.06	0.0	0.53	0.3	0.36
Edaradd	0.0	0.0	0.03	0.0	0.13	0.17	0.24
Egr3	0.0	0.0	0.15	0.0	112.58	98.75	94.2
Eif3l	0.0	0.0	0.92	3.36	66.03	74.05	64.64
Eif4ebp2	0.0	0.0	0.24	0.0	31.0	29.51	32.74
Eln	0.0	0.0	0.06	0.0	5.82	7.74	6.25
Emilin3	0.0	0.0	0.06	0.0	0.14	0.13	0.2
Engase	0.0	0.0	1.03	0.0	7.99	9.06	7.66
Epha1	0.0	0.0	0.07	0.0	0.21	0.43	0.31
Erf	0.0	0.0	0.06	0.0	38.32	41.49	35.94
Espl1	0.0	0.0	0.03	0.0	0.55	0.65	0.49
Etaa1	0.0	0.0	0.15	0.0	5.25	5.89	5.8
F9	0.0	0.0	0.15	0.0	0.14	0.1	0.15
Fam105b	0.0	0.0	2.06	0.0	18.57	18.88	18.82
Fam110b	0.0	0.0	0.0	0.0	31.62	35.21	33.05
Fam122a	0.0	0.0	1.03	0.0	19.77	23.64	20.41
Fam83f	0.0	0.0	0.07	0.0	0.23	0.38	0.56
Fan1	0.0	0.0	0.06	0.0	7.54	8.08	8.45
Farp2	0.0	0.0	0.06	0.0	3.09	4.05	4.18
Fate1	0.0	0.0	0.24	0.0	0.32	0.2	0.22
Fer1l4	0.0	0.0	0.03	0.0	0.02	0.0	0.0
Foxo3	0.0	0.0	0.07	0.0	31.5	30.55	34.03
Fzd10	0.0	0.0	0.07	0.0	1.85	1.52	1.87
Gcet2	0.0	0.0	0.06	0.0	0.07	0.08	0.07
Gen1	0.0	0.0	0.07	0.0	0.96	0.85	1.18
Glis1	0.0	0.0	0.07	0.0	0.71	0.58	0.46
Glrp1	0.0	0.0	0.06	0.0	0.29	0.48	0.47
Glt1d1	0.0	0.0	0.84	0.0	27.44	23.8	23.35
Gm10220	0.0	0.0	0.07	0.0	0.76	0.67	0.75
Gm106	0.0	0.0	0.15	0.0	1.4	1.25	1.41
Gm20098	0.0	0.0	0.07	0.0	0.03	0.0	0.09
Gm20605	0.0	0.0	0.12	0.0	10.74	13.39	12.28
Gm2447	0.0	0.0	0.12	0.0	0.06	0.05	0.17
Gm5089	0.0	0.0	0.11	0.0	8.42	5.96	6.27
Gm5128	0.0	0.0	0.03	0.0	0.0	0.05	0.0
Gm6116	0.0	0.0	0.15	0.0	0.07	0.0	0.0
Gm7444	0.0	0.0	0.11	0.0	0.42	0.15	0.35
Gm8096	0.0	0.0	0.12	0.0	0.07	0.06	0.16
Gpld1	0.0	0.0	0.04	0.0	39.21	37.07	39.52
Gpr113	0.0	0.0	0.07	0.0	0.03	0.0	0.0
Gulp1	0.0	0.0	0.07	0.0	3.01	3.87	3.59
Hirip3	0.0	0.0	12.58	0.0	21.72	21.68	21.07
Irf2bp2	0.0	0.0	0.89	0.23	23.41	22.51	17.78
Jak3	0.0	0.0	0.12	0.0	5.2	4.32	4.81
Kbtbd13	0.0	0.0	0.07	0.0	0.2	0.19	0.34
Kcnh4	0.0	0.0	1.07	0.0	18.61	18.14	18.15
Kcnk13	0.0	0.0	0.07	0.0	5.41	5.64	6.67
Kcnk5	0.0	0.0	0.06	0.0	0.44	0.69	0.33
Kdm4b	0.0	0.0	2.14	0.0	38.78	40.14	41.07
Kif18b	0.0	0.0	0.06	0.0	0.21	0.42	0.4
Klc3	0.0	0.0	0.12	0.0	1.79	3.12	1.76
Klf17	0.0	0.0	0.06	0.0	0.11	0.08	0.17
Klf2	0.0	0.0	0.12	0.0	12.86	18.35	9.83
Klhdc8a	0.0	0.0	0.06	0.0	10.79	11.57	10.51
Klhl34	0.0	0.0	0.11	0.0	51.95	44.86	59.06
Krt31	0.0	0.0	0.14	0.0	0.0	0.12	0.0
Krt80	0.0	0.0	0.12	0.0	5.1	3.98	4.4
Leprot	0.0	0.0	0.0	0.0	38.43	37.14	39.29
Lingo4	0.11	0.0	0.07	0.0	0.6	0.58	0.62
Lrdd	0.0	0.0	0.07	0.0	1.43	1.7	2.14
Maff	0.0	0.0	0.12	0.0	0.77	1.41	0.97
March10	0.0	0.0	0.51	0.0	1.74	1.51	1.32
Mat1a	0.0	0.0	0.07	0.0	0.03	0.06	0.16
Mc3r	0.0	0.0	0.11	0.0	0.49	0.64	0.36
Mdfic	17.43	0.0	0.06	0.0	2.64	2.43	2.22
Megf6	0.0	0.0	0.03	0.0	2.31	2.27	2.52
Mfsd7c	0.0	0.0	0.06	0.0	1.98	2.27	2.45
Mmp14	156.89	0.0	0.07	0.0	7.79	8.38	9.02
Mrps30	0.0	0.0	0.14	0.0	25.2	31.88	25.69
Mta2	1.16	0.0	0.0	0.0	38.84	39.23	34.76
Mtap6	0.0	0.0	2.99	1.32	99.94	103.63	104.04
Mterfd1	0.0	0.0	0.15	7.43	25.44	21.62	24.79
Mtr	0.0	0.0	0.0	0.0	8.43	6.69	8.7
Muc6	0.0	0.0	0.21	0.0	0.14	0.09	0.07
Musk	0.0	0.0	0.06	0.0	1.04	1.4	1.04
Myh15	0.0	0.0	0.03	0.0	0.57	0.47	0.51
Myh2	0.0	0.0	0.42	0.0	0.64	0.39	0.57
Myh8	0.0	0.0	0.03	0.0	0.22	0.33	0.19
Myo3b	0.0	0.0	0.03	0.0	1.22	1.1	1.19
Myo7a	0.0	0.0	0.14	0.0	4.69	8.64	8.5
Myod1	0.0	0.0	0.12	0.0	0.11	0.4	0.39
Myog	0.0	0.0	0.15	0.0	0.07	0.0	0.07
Nags	0.0	0.0	0.14	0.0	0.13	0.06	0.06
Ncapg	0.0	0.0	0.06	0.0	0.4	0.41	0.23
