	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_123	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_180	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700019G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.28	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.21
1700019L03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.19	0.0	0.75	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	1.51	2.03
4930425O10Rik	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	1.21	0.0	0.0	0.67	0.0	0.0	0.0	0.0	1.02	0.0	0.34	0.83	0.0	0.28	0.0	0.0	0.38	0.0	0.25	0.34	0.0	0.25	0.0	0.0	0.52	0.21	0.24	0.0	0.18	0.41	0.25	0.19	0.0	0.25	0.0	0.2	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.06	0.21
4933400F21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.9	5.15	0.0	0.0	0.0	28.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	10.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	7.26	0.0	0.2	0.0	1.71	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
5830432E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.45	0.28
6430531B16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.28	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.06	1.16
Abcd4	0.23	0.05	0.11	1.39	0.87	19.47	0.66	0.47	14.21	11.21	0.14	0.4	0.03	0.26	0.71	0.93	0.3	0.38	1.42	0.85	1.85	2.15	0.2	0.0	0.84	1.09	0.59	0.55	1.25	1.12	1.38	7.78	1.85	0.31	6.31	4.97	0.63	1.77	0.79	3.53	0.67	0.39	0.23	0.72	0.17	0.52	1.08	0.38	0.28	0.41	10.68	13.07	12.71
Akap2	13.31	0.0	0.27	17.65	30.56	16.99	0.68	10.12	32.34	0.0	0.0	23.08	0.0	0.55	22.32	11.69	0.35	34.33	3.58	1.85	10.34	24.13	0.0	9.18	11.42	1.12	51.54	0.0	23.0	6.35	0.06	11.32	3.89	8.28	12.47	6.73	5.61	7.46	6.09	9.67	16.98	2.33	0.0	0.0	5.1	4.35	32.57	4.29	0.0	0.41	33.13	32.94	31.02
Akr1c13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.38	0.0
Angpt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	3.97	4.05
