	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_64	Ndnf_tdTpositive_cell_19	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_6	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_31	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_1	PvalbD.Slc32a1_tdTpositive_cell_4	PvalbD.Slc32a1_tdTpositive_cell_6	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_42	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbD.Slc32a1_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_85	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_17
Adcy1	55.12	0.0	129.35	43.87	0.0	30.38	0.05	118.51	46.61	24.07	64.45	32.55	54.62	0.0	0.0	5.03	36.97	25.65	1.48	12.96	11.73	68.2	74.89	0.0	0.0	0.0	0.0	0.05	39.96	17.07	4.72	3.06	5.86	10.56	1.56	26.29	35.17	39.58	24.72	18.94	53.32	29.92	0.07	0.04	0.04	0.0
Col19a1	47.58	0.0	90.27	9.46	0.0	0.0	31.68	12.23	129.74	0.0	0.64	88.33	0.0	0.0	0.0	11.4	16.13	23.46	69.02	4.22	76.56	35.72	0.89	0.0	0.0	0.0	0.0	0.0	20.05	159.21	53.11	0.02	29.67	0.66	0.0	34.78	10.02	26.93	18.16	0.04	118.97	14.57	0.12	0.03	0.0	0.0
Dnm1	104.97	0.0	7.09	140.37	0.0	106.96	35.17	158.96	26.37	71.26	69.06	51.14	54.12	0.0	0.0	4.52	49.42	0.18	0.85	12.2	32.94	0.63	18.63	0.0	0.0	0.0	0.0	0.0	30.47	64.48	12.61	39.44	27.04	148.01	16.5	1.77	80.05	50.28	49.18	12.78	110.81	134.92	0.11	0.14	0.0	0.0
Gm14430	21.47	0.0	0.05	17.47	0.0	1.79	7.41	46.02	19.54	17.47	20.03	14.06	0.0	0.0	0.0	0.88	22.0	0.0	0.05	0.09	0.19	11.48	0.0	0.0	0.0	0.0	0.0	0.0	29.72	36.78	15.19	1.07	13.29	0.24	0.0	0.0	15.92	7.93	20.74	9.07	11.23	25.21	0.24	0.0	0.0	0.0
Gm14434	21.47	0.0	0.05	17.47	0.0	1.79	7.41	46.02	19.54	17.47	20.03	14.06	0.0	0.0	0.0	0.88	22.0	0.0	0.05	0.09	0.19	11.48	0.0	0.0	0.0	0.0	0.0	0.0	29.72	36.78	15.19	1.07	13.29	0.24	0.0	0.0	15.92	7.93	20.74	9.07	11.23	25.21	0.24	0.0	0.0	0.0
Gm4724	21.47	0.0	0.05	17.47	0.0	1.79	7.41	46.02	19.54	17.47	20.03	14.06	0.0	0.0	0.0	0.88	22.0	0.0	0.05	0.09	0.19	11.48	0.0	0.0	0.0	0.0	0.0	0.0	29.72	36.78	15.19	1.07	13.29	0.24	0.0	0.0	15.92	7.93	20.74	9.07	11.23	25.21	0.24	0.0	0.0	0.0
Hcn1	68.36	0.0	68.41	20.71	0.0	32.93	23.33	112.2	25.39	68.65	7.17	62.9	20.24	0.0	0.0	16.2	30.53	16.87	17.97	15.97	17.29	43.91	22.44	0.0	0.0	0.0	0.0	0.0	31.9	35.62	47.23	0.37	23.36	7.0	24.8	17.65	49.57	25.95	23.96	16.72	23.58	15.99	0.0	0.02	0.0	0.0
Itpr1	14.82	0.0	47.61	61.99	0.0	98.57	13.8	84.38	26.61	62.64	67.85	60.31	2.25	0.0	0.0	15.08	119.64	0.05	0.03	0.0	0.0	8.58	10.84	0.0	0.0	0.0	0.09	0.18	20.92	12.61	58.38	45.12	22.89	23.19	15.39	0.1	14.7	41.34	29.58	26.9	80.93	30.39	0.04	0.02	0.05	0.0
Kcna1	226.45	0.04	68.78	39.92	0.0	51.52	0.07	3.18	76.07	152.0	31.64	8.66	32.86	0.0	0.0	76.66	27.3	50.63	41.95	29.02	34.7	12.09	125.82	0.0	0.0	0.0	0.0	0.07	96.38	86.2	139.47	20.57	9.37	155.72	6.72	34.82	21.32	53.03	39.09	0.0	141.2	119.78	0.0	0.02	0.0	0.0
Kcnc1	81.1	0.0	26.23	58.08	0.12	61.53	2.99	129.83	83.07	29.47	46.09	31.62	22.61	0.0	0.37	54.53	0.03	17.36	16.99	10.16	6.53	26.71	12.48	0.0	0.0	0.41	0.06	0.0	50.34	39.93	56.55	41.82	26.96	19.22	10.45	35.46	37.66	60.76	53.57	13.45	55.95	86.24	0.01	0.08	0.14	0.33
