	Rbp4_tdTpositive_cell_169	Rorb_tdTpositive_cell_40	Scnn1a.Tg2_tdTpositive_cell_2	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110020G09Rik	54.62	8.32	7.46	0.0	0.0	29.23	28.46	28.59
1700001J11Rik	28.75	0.0	0.0	0.0	0.0	0.13	0.08	0.32
1700065D16Rik	0.34	0.0	0.06	0.0	0.0	0.33	0.62	0.66
1700067G17Rik	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2200002D01Rik	0.85	0.0	0.0	0.0	0.0	0.17	0.45	0.86
4930503B20Rik	9.09	0.0	0.0	0.0	0.0	0.0	0.09	0.21
4930545H06Rik	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930567H17Rik	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933405L10Rik	24.03	0.0	0.0	0.0	0.0	0.72	0.08	0.37
4933416M06Rik	0.75	0.0	0.0	0.0	0.0	0.0	0.15	0.15
4933430H15Rik	30.89	0.0	0.0	0.0	0.0	0.38	0.27	0.36
4933432I09Rik	1.75	0.0	0.0	0.0	0.0	2.31	2.49	2.42
5430407P10Rik	4.02	0.0	0.0	0.0	0.0	2.29	1.89	2.06
9430032N09Rik	13.0	0.0	0.12	0.0	0.0	1.27	0.86	1.77
A330050F15Rik	64.87	0.0	1.88	0.0	0.0	7.02	7.87	5.92
A630077J23Rik	0.3	0.0	0.0	0.0	0.0	0.32	0.2	0.33
Acap2	76.92	27.98	0.24	0.99	1.11	56.56	51.78	55.9
Adcyap1	108.75	0.0	0.0	0.0	0.0	18.8	18.12	17.41
Adra2b	1.3	0.47	0.55	0.12	0.0	0.7	0.74	0.78
Akap12	18.44	0.0	0.0	0.0	0.0	12.09	12.77	12.36
Amdhd1	19.38	0.0	0.0	0.0	0.0	0.53	0.23	0.63
Ammecr1	49.55	0.0	0.04	0.0	0.0	2.4	2.07	1.86
Arhgap29	18.3	0.0	0.0	0.0	0.0	15.25	12.61	13.94
Asb13	215.1	1.12	31.72	1.11	38.66	55.71	53.1	57.79
Atp2a2	120.45	20.3	154.78	63.39	230.5	513.24	490.71	517.28
Bmf	0.2	0.0	0.0	0.0	0.0	2.16	2.73	2.54
Bri3	0.0	41.53	19.99	0.0	5.66	41.39	53.52	47.46
Brsk1	48.57	0.64	0.09	0.0	0.0	278.89	294.42	291.95
Btbd3	56.93	0.14	0.1	0.05	0.06	96.41	96.0	102.53
C130030K03Rik	46.56	0.0	2.3	0.0	0.0	7.65	7.5	9.56
C330006K01Rik	34.47	1.12	0.28	0.13	0.0	15.66	17.41	15.65
Casp3	115.49	0.0	0.0	0.0	0.0	13.91	12.27	12.6
Ccdc108	33.52	0.0	0.23	0.0	0.0	2.86	2.99	3.33
Ccdc15	49.29	0.0	1.68	0.0	0.0	1.59	2.05	1.79
Cdon	6.98	0.0	0.0	0.0	0.0	6.17	5.86	5.96
Clec2i	0.5	0.0	0.0	0.0	0.0	0.1	0.0	0.11
Ctnna3	48.9	0.0	0.0	0.0	0.0	1.32	0.95	1.54
Ctxn3	253.79	0.0	0.0	143.55	0.0	3.93	4.79	3.01
Cul9	14.41	0.0	2.06	0.0	0.0	32.03	32.62	31.68
Cyp1a1	0.29	0.0	0.0	0.0	0.0	0.06	0.07	0.19
Cyp4f13	4.71	0.0	0.0	0.0	0.0	8.9	9.75	12.47
Cyp4x1	51.22	0.0	14.17	0.0	0.0	13.94	15.23	14.73
D4Ertd617e	35.15	0.0	3.23	0.0	0.0	1.38	0.55	1.82
