	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_79	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
5430417L22Rik	207.25	0.04	375.45	10.95	246.12	0.0	0.09	223.11	200.38	193.77	125.37	330.71	202.9	250.4	220.23	175.58	211.81	212.03	318.14	194.93	363.4	165.64	293.97	237.74	120.05	154.81	324.77	157.33	138.6	248.46	150.78	147.88	213.12	143.87	265.4	344.7	0.35	0.27	1.21	0.45
Adam22	0.0	1.62	0.0	0.0	84.53	0.0	0.03	63.12	52.49	29.32	59.59	123.99	56.04	83.15	21.36	58.0	31.45	65.66	18.35	54.96	100.79	111.21	161.73	76.49	40.78	28.18	63.76	35.06	52.57	13.65	64.85	17.99	74.56	15.02	31.56	58.32	0.38	0.27	0.64	0.0
Adar	0.0	5.58	0.0	0.0	4.34	0.0	0.05	27.23	25.73	19.08	12.23	53.26	28.66	41.75	4.88	0.66	13.93	28.67	5.75	38.89	21.17	40.17	59.82	20.97	23.64	6.09	35.52	7.97	39.35	20.58	0.0	8.23	37.54	6.43	17.88	5.05	0.12	0.99	0.56	0.0
Adss	0.0	0.0	0.0	0.0	11.44	32.15	0.0	20.24	41.39	0.0	22.31	88.39	76.25	5.32	43.7	42.05	14.77	34.39	6.96	12.23	32.35	5.18	105.57	68.5	31.93	43.49	44.82	36.56	9.79	0.65	3.58	12.48	41.72	83.66	136.22	33.88	0.0	0.33	0.0	8.83
Azi2	4.93	0.05	0.37	0.29	111.51	0.23	0.0	1.93	48.87	27.6	60.62	33.93	68.54	46.3	82.39	57.92	26.05	35.83	46.78	18.19	1.88	48.44	58.76	1.41	10.06	32.17	2.8	1.13	26.31	17.4	4.72	3.88	28.91	0.52	75.08	24.23	0.1	0.47	0.53	0.0
Cadps	0.0	48.12	0.0	0.0	100.73	0.0	0.0	140.38	100.45	67.77	70.19	116.58	80.32	141.54	60.1	165.19	117.36	180.24	23.13	65.4	77.18	144.15	201.44	195.13	318.16	84.3	180.37	82.36	250.36	235.87	51.41	100.87	133.94	88.82	117.29	129.52	0.13	0.0	0.33	0.0
Capns1	0.0	257.13	0.0	0.7	119.82	0.0	0.0	11.97	135.8	86.84	259.05	86.58	119.52	80.53	142.49	109.15	125.74	111.59	229.86	88.31	190.37	230.26	284.17	170.37	120.29	78.94	113.8	67.71	131.31	19.23	36.44	173.84	153.26	97.33	189.88	93.01	0.0	0.3	0.79	0.0
Ddx47	0.0	0.0	0.0	0.0	257.13	0.0	0.0	112.6	83.95	195.53	178.19	57.23	120.14	131.06	88.89	101.74	77.13	87.89	140.74	112.33	0.0	198.45	376.63	166.55	13.73	202.25	108.93	182.6	83.41	130.12	0.0	90.04	0.0	51.84	91.2	0.0	0.0	0.24	0.42	0.0
Eif2ak4	0.0	0.27	0.0	0.0	0.0	0.0	0.0	4.57	1.52	0.0	20.64	21.31	30.76	0.0	1.68	1.34	5.67	42.19	15.41	1.85	0.0	0.43	30.74	16.46	0.34	26.38	16.1	0.09	0.5	13.55	2.83	9.25	0.0	5.2	3.56	0.66	0.0	0.0	0.0	0.0
Elavl2	0.0	47.44	0.0	0.13	37.58	0.0	0.0	53.52	123.99	117.01	78.41	60.42	122.41	96.69	164.89	62.94	74.32	72.6	66.15	68.27	72.29	126.85	285.74	227.52	139.49	136.31	160.18	97.06	133.71	90.93	73.62	55.08	145.85	124.76	68.8	148.59	0.0	0.22	0.3	0.0
Gm14430	0.0	0.0	0.0	0.0	17.66	0.06	0.0	3.32	31.03	0.0	14.72	10.3	6.05	13.5	30.51	5.35	16.5	13.46	3.22	12.83	3.07	11.03	3.98	18.55	13.57	4.08	11.25	0.32	18.48	9.13	14.36	0.54	14.82	8.34	13.81	2.38	0.07	0.24	0.0	0.0
Gm14434	0.0	0.0	0.0	0.0	17.66	0.06	0.0	3.32	31.03	0.0	14.72	10.3	6.05	13.5	30.51	5.35	16.5	13.46	3.22	12.83	3.07	11.03	3.98	18.55	13.57	4.08	11.25	0.32	18.48	9.13	14.36	0.54	14.82	8.34	13.81	2.38	0.07	0.24	0.0	0.0
Gm4724	0.0	0.0	0.0	0.0	17.66	0.06	0.0	3.32	31.03	0.0	14.72	10.3	6.05	13.5	30.51	5.35	16.5	13.46	3.22	12.83	3.07	11.03	3.98	18.55	13.57	4.08	11.25	0.32	18.48	9.13	14.36	0.54	14.82	8.34	13.81	2.38	0.07	0.24	0.0	0.0
Gm6710	0.0	0.0	0.25	0.04	54.98	0.0	0.0	3.78	20.65	1.51	5.8	59.57	23.83	9.23	10.42	7.42	12.44	20.3	1.55	5.35	6.42	11.52	6.23	8.07	6.26	10.19	12.93	2.3	14.94	7.75	3.14	20.6	14.18	13.35	23.51	0.13	0.0	0.0	1.42	0.0
Kcnab2	0.0	0.82	0.0	0.0	56.32	0.0	0.0	39.01	61.03	47.5	45.26	58.06	116.01	58.4	5.19	41.04	56.58	89.61	36.84	4.56	34.78	88.78	62.11	53.29	113.61	33.32	77.34	49.89	59.43	26.18	17.21	64.08	43.88	35.72	57.48	98.54	0.1	0.0	0.41	0.0
Kif3a	142.68	142.23	0.79	29.37	39.78	3.11	117.76	132.4	62.78	116.3	94.94	83.04	136.7	162.34	145.54	107.9	145.55	101.74	77.81	117.13	168.1	134.06	186.76	67.62	81.55	99.35	142.78	68.18	130.67	66.72	61.44	118.63	199.91	67.46	92.16	165.94	8.91	0.63	11.28	0.2
Ldhb	7486.96	6607.22	5274.92	4046.54	9309.63	4364.95	5876.73	8752.31	8798.32	10118.08	10894.4	8583.06	9220.91	9343.6	8620.64	8223.21	8574.79	10165.1	9166.61	9602.81	11261.44	10004.69	6263.78	9074.03	13571.31	12546.17	9106.97	9755.78	8013.75	8904.1	7659.83	11010.48	7724.63	10182.84	9082.37	11746.38	4392.08	5217.81	5873.38	5577.5
Mfn2	0.0	4.39	0.0	0.11	43.84	0.0	0.0	35.36	12.9	27.87	22.74	20.92	59.36	109.54	24.96	14.03	56.07	88.5	135.52	63.72	6.76	85.55	127.86	51.04	40.36	2.04	42.44	0.59	27.86	35.05	69.39	15.37	103.47	44.95	27.03	101.05	0.24	0.19	111.03	0.0
Mia3	9.04	0.79	1.16	83.49	3.67	1.52	1.88	2.22	19.88	13.45	5.17	29.01	55.08	25.98	2.23	16.28	21.47	36.9	4.29	45.86	3.3	27.05	59.95	7.01	22.59	14.27	58.84	0.66	36.88	7.68	7.74	66.34	31.75	4.39	25.49	23.87	9.84	3.5	2.73	2.57
Mtap1a	0.12	19.69	0.24	0.0	39.5	0.0	0.07	18.47	35.91	27.87	80.19	25.01	47.91	51.61	69.83	21.79	38.02	39.82	3.77	25.02	48.68	62.03	40.11	62.74	58.63	26.33	29.3	41.34	59.89	32.65	21.3	42.28	51.77	53.55	34.51	59.79	0.03	0.0	1.73	0.0
Opcml	0.0	16.16	0.0	0.08	48.71	0.07	0.0	100.94	158.91	114.48	57.88	124.52	99.08	110.69	25.47	12.94	25.73	143.62	87.04	19.6	74.18	0.0	162.49	27.6	43.62	53.53	82.36	129.46	103.81	29.85	33.67	36.21	95.1	57.91	136.03	43.62	0.27	0.27	0.56	0.0
Peg13	0.0	15.25	0.0	0.0	104.76	0.0	0.0	90.86	72.23	89.84	72.79	137.56	90.29	98.75	47.27	70.47	80.22	115.76	83.0	52.42	130.57	40.04	167.08	95.82	51.63	52.35	139.81	75.92	134.55	36.0	63.16	37.79	115.09	54.67	106.31	89.18	0.22	0.09	0.15	0.0
Prmt5	394.59	29.84	0.67	0.0	69.68	0.0	1.1	39.89	37.96	52.36	50.52	127.91	0.0	30.84	92.2	29.73	12.3	120.06	117.51	0.7	71.87	70.71	135.65	127.05	30.68	71.82	47.74	30.95	121.07	63.32	30.43	25.16	105.58	34.07	141.51	90.79	0.0	0.47	0.42	1.01
Prss23	0.0	0.0	0.0	0.0	67.78	0.0	0.0	37.45	51.64	63.23	0.0	35.14	74.45	75.94	189.52	83.14	141.8	81.45	198.06	79.92	98.93	165.94	162.1	75.55	180.9	162.68	232.25	0.0	49.76	65.26	0.0	300.56	211.15	0.0	192.79	148.01	0.0	0.0	0.14	0.0
Psap	40.63	28.11	21.9	12.39	194.27	26.58	68.2	50.52	145.91	123.61	48.1	112.72	198.54	149.27	91.22	189.78	112.44	62.23	223.98	68.42	103.35	134.9	380.3	237.96	133.08	122.51	135.2	379.04	87.58	122.06	149.61	265.95	179.04	216.16	176.87	405.73	160.03	1.13	48.39	97.58
Reep5	98.26	18.18	18.39	0.17	84.39	0.0	128.33	240.75	124.85	50.55	175.8	131.57	235.36	155.25	81.24	230.7	154.52	211.98	193.35	218.38	109.97	222.41	369.32	146.11	136.54	149.53	412.55	68.91	138.12	182.77	176.33	65.83	176.13	101.09	63.61	141.81	0.12	149.26	0.76	0.24
Rims1	0.0	5.14	0.0	0.0	25.88	0.0	0.0	15.88	40.04	9.93	28.13	47.93	30.15	30.03	34.29	9.22	4.82	54.16	0.37	58.62	7.62	1.06	40.8	23.5	84.84	43.49	33.7	14.03	86.08	1.23	4.66	51.4	30.08	33.93	70.57	63.72	0.0	0.0	0.0	0.0
Scn1a	0.0	12.38	0.0	0.0	164.69	0.0	0.03	211.06	224.39	239.85	238.43	254.04	293.52	196.38	196.97	194.2	254.6	307.26	200.69	168.6	309.48	181.34	289.67	195.71	228.51	151.99	130.34	144.03	250.33	224.26	160.73	154.67	201.02	135.64	261.02	221.77	0.21	0.45	0.22	0.0
Scn8a	3.32	18.91	0.0	0.04	85.11	0.0	0.02	27.19	60.36	37.8	24.16	79.76	99.5	115.41	60.36	73.98	66.85	103.08	13.92	28.69	68.89	48.67	62.65	69.2	65.33	74.65	88.97	40.27	73.88	34.15	70.51	11.47	81.6	57.61	88.43	81.71	0.19	0.15	1.33	0.0
