	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Htr3a_tdTpositive_cell_44	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310008H04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	0.46	0.0	0.0	1.68	1.84	2.04
2900026A02Rik	0.0	0.0	0.0	1.04	0.57	0.05	0.25	0.34	7.01	0.16	0.36	0.2	0.29	8.44	0.16	0.05	2.02	0.06	0.05	0.09	0.06	0.04	0.18	0.07	0.09	20.77	0.21	0.0	0.31	0.05	0.03	0.1	0.04	1.98	0.12	0.47	4.61	0.08	20.28	1.54	53.4	6.25	10.29	8.86	31.56	36.11	29.76
4930471C04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.05	0.0	0.0	0.0	0.71	1.0	0.24
4930486F22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46	0.0	0.0	0.0	0.0	0.0	0.0
4930590J08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.04	0.17	0.0	0.0	0.41	0.22	0.45
4931429I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.35	0.33	0.27
4933432I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.59	0.0	0.0	0.0	0.95	0.27	0.88
9330182O14Rik	0.0	0.0	0.18	0.13	0.0	0.0	0.0	0.0	0.08	0.0	0.06	0.15	0.0	0.0	0.19	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.14	0.14	0.13	0.08	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.09	0.0	1.05	0.0	0.0	0.0	0.11	0.09	0.07
Abca12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.14	0.07	0.21
Acap2	0.94	0.0	0.0	0.0	1.94	0.0	3.8	0.0	0.13	11.78	0.08	0.0	2.92	0.0	0.65	6.84	0.53	0.0	1.2	0.0	0.0	20.51	0.0	3.05	0.0	1.31	4.44	0.0	0.13	0.67	0.02	0.0	0.0	29.51	0.0	0.66	0.13	0.0	0.0	2.92	79.78	9.57	10.0	8.29	56.56	51.78	55.9
Accn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.14	0.0	0.0	0.0	20.37	23.69	22.46
Adat2	0.0	0.0	0.0	0.0	0.2	0.0	21.07	20.59	0.0	0.0	0.0	0.35	0.0	28.8	0.28	0.0	35.11	48.79	0.0	0.0	0.0	16.53	0.0	0.0	0.0	58.47	24.15	0.0	0.0	0.0	0.0	0.0	0.0	9.08	0.0	0.0	0.0	0.0	0.0	21.1	86.19	5.44	4.51	3.38	9.09	9.16	9.72
Ahr	0.06	0.0	38.69	0.0	0.04	0.06	0.02	0.07	0.05	0.02	0.1	0.0	0.0	0.09	1.61	0.0	0.04	0.03	12.0	0.04	0.0	0.08	0.09	0.01	0.3	0.0	0.03	0.45	0.15	0.25	0.02	0.0	0.03	9.33	0.0	18.47	0.0	0.07	0.0	0.63	89.34	0.0	0.43	0.82	7.35	6.28	6.43
Ahrr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.43	2.06	0.0	0.87	0.5	0.57	0.75
Angptl6	0.66	0.0	0.0	0.0	144.24	0.51	25.6	29.68	0.15	0.09	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.06	0.0	109.05	1.26	0.0	11.14	0.0	0.0	0.0	0.0	3.67	0.18	0.1	34.93	31.26	46.17	0.0	0.0	0.0	63.88	0.0	1.87	231.35	11.39	12.13	11.21	8.46	9.19	8.25
Apol10a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0
Arhgap11a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.48	0.18	0.34	0.21	2.09	2.23	2.25
Arpp21	0.0	0.0	0.06	0.0	138.93	0.16	0.06	0.21	0.26	0.2	0.31	0.0	0.09	7.77	0.44	0.12	0.12	0.0	0.09	0.1	20.95	0.0	0.06	0.0	0.0	0.76	0.0	0.0	0.09	44.68	1.17	0.43	0.07	398.06	0.09	0.0	0.0	0.0	0.13	0.58	288.38	312.33	258.5	261.8	403.79	386.08	377.39
