	Cux2_tdTnegative_cell_5	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2410022L05Rik	0.0	66.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.1	74.8	0.78	15.39	47.46	49.34	46.76
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4933401P06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.32	1.17
4933412E12Rik	0.0	4.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.31	7.15	16.91	15.76	6.01	6.43	6.1
9830166K06Rik	0.0	0.1	0.77	0.92	0.0	2.61	0.22	0.0	0.0	0.0	0.19	0.04	0.0	0.0	0.29	0.0	0.0	0.0	0.89	0.75	1.21	2.76	2.34	1.86	2.18
AI597479	0.0	17.37	0.0	0.0	0.0	0.0	0.0	0.2	20.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.97	54.02	21.28	42.71	30.34	29.62	26.13
Actr3b	0.27	33.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	36.61	40.1	22.82	31.38	131.44	138.4	129.11
Adam22	0.0	58.17	0.07	0.11	0.04	0.13	0.28	0.13	0.07	0.02	0.15	0.17	0.0	0.0	0.0	0.0	0.0	0.0	26.37	60.79	22.03	52.2	89.53	82.55	89.57
Ank3	0.0	72.62	0.1	0.28	0.0	0.0	0.2	0.26	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	81.46	79.8	71.67	62.61	82.78	75.07	87.24
Aplp2	0.0	159.72	0.19	0.28	0.0	0.0	0.0	0.2	0.0	33.87	0.0	0.73	0.0	0.0	208.03	0.0	0.0	0.0	99.72	105.1	56.98	107.63	463.03	454.92	441.05
Atp5b	1230.26	639.19	1.1	0.86	0.61	0.0	1.04	1.13	0.0	47.97	3.24	78.06	833.36	520.05	326.33	720.51	0.66	0.0	464.18	895.44	136.04	630.45	1335.8	1460.35	1361.61
Atp5d	0.0	247.59	0.76	11.87	0.0	0.0	0.72	0.0	0.0	0.0	3.11	0.6	0.0	222.2	0.0	0.0	0.0	0.0	40.65	261.16	50.78	100.67	268.79	314.1	289.14
Brp44	0.0	215.6	220.83	0.0	0.0	0.0	0.0	0.0	0.0	38.42	0.0	8.95	12.77	0.0	0.0	0.0	0.0	0.0	14.51	43.43	18.73	22.42	125.55	139.95	126.55
C030039L03Rik	0.6	5.77	3.3	1.36	0.03	0.34	0.64	0.46	2.65	0.58	2.91	1.8	0.37	2.64	4.36	1.42	2.0	0.72	10.77	12.28	2.49	4.43	9.48	9.42	9.42
C77370	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	9.38	4.02	1.59	12.25	10.61	13.12
Camsap2	0.0	11.0	0.09	0.12	0.0	0.0	1.3	0.13	91.79	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	10.0	13.16	11.63	11.5	69.2	62.43	66.22
Ccl27b	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	177.66	103.08	75.81	76.52	30.63	28.29	22.96
Cox5b	0.0	1127.58	0.0	2.45	0.0	0.0	0.0	1.34	0.0	272.57	0.88	2.04	0.0	0.0	0.0	0.0	0.0	143.59	327.23	676.56	183.88	374.66	433.07	473.45	475.76
Cst3	66199.78	471.62	59768.12	79037.77	54056.74	72522.19	67515.86	70378.51	61656.06	72390.07	61052.51	35150.87	80478.24	68326.69	95318.24	75159.39	84616.84	72517.08	435.78	390.02	638.95	361.27	1961.51	2186.93	2204.12
Dnajb6	610.1	331.47	1.26	0.0	0.0	0.44	0.46	0.0	0.0	0.13	0.86	58.42	313.13	0.0	0.0	0.0	0.23	258.83	191.02	322.81	156.54	264.57	221.99	220.84	215.36
Epb4.1l4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.07	0.0	8.5	7.42	8.82
Fam115a	0.0	22.52	0.18	0.09	0.0	0.0	0.34	0.09	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	78.0	110.7	62.6	81.38	134.84	128.82	138.27
Fam183b	0.0	7.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.34	4.89	3.25
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gm13306	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	177.66	103.08	75.81	76.52	30.63	28.29	22.96
Gm14430	0.07	6.69	0.0	0.04	61.94	0.0	0.28	0.12	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.41	84.73	0.0	1.76	5.17	3.28	5.97	7.67	5.07	7.49
Gm14434	0.07	6.69	0.0	0.04	61.94	0.0	0.28	0.12	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.41	84.73	0.0	1.76	5.17	3.28	5.97	7.67	5.07	7.49
Gm2002	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.82	3.62	0.96	4.28	1.73	1.86	1.4
Gm2506	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	177.66	103.08	75.81	76.52	30.63	28.29	22.96
Gm4724	0.07	6.69	0.0	0.04	61.94	0.0	0.28	0.12	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.41	84.73	0.0	1.76	5.17	3.28	5.97	7.67	5.07	7.49
Gpr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.58	9.37	3.48	1.61	1.58	0.96
Guk1	0.0	174.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	55.56	92.93	60.26	54.9	146.44	161.54	150.98
Hist3h2ba	0.0	4.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	0.0	4.14	2.4	35.9	50.57	50.61
Hivep2	0.0	28.41	0.0	0.03	0.0	0.0	0.07	0.0	0.0	0.02	0.0	0.04	0.0	9.67	0.0	0.0	0.0	0.0	39.46	26.69	25.38	23.38	91.36	84.2	96.55
Hnrpll	0.0	29.17	0.0	0.0	0.0	0.0	45.09	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.64	5.51	8.67	11.57	53.39	53.03	51.14
Htr1b	0.0	8.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	3.68	1.14	10.36	8.65	9.29
Il11ra2	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.82	3.62	0.96	4.28	1.73	1.86	1.4
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Kcna2	0.0	18.86	0.1	0.9	0.06	0.1	0.41	0.18	0.22	0.13	0.24	0.28	0.04	0.0	0.0	0.0	0.08	0.0	8.21	17.65	9.77	6.28	82.83	70.58	84.29
