	Cux2_tdTpositive_cell_83	Htr3a_tdTpositive_cell_108	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_50	Ntsr1_tdTnegative_cell_52	Rbp4_tdTpositive_cell_146	Rbp4_tdTpositive_cell_150	Scnn1a.Tg2_tdTpositive_cell_19	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_59	Scnn1a.Tg3_tdTpositive_cell_84	Slc17a6_tdTpositive_cell_13
2310035C23Rik	0.0	32.85	9.83	3.03	23.39	10.02	35.95	4.25	70.13	55.43	0.0	70.71	0.0
Abl2	0.87	6.5	1.09	0.9	1.72	8.35	1.38	0.32	10.23	19.57	2.91	31.57	0.4
Acer1	2.15	2.15	0.0	1.69	0.55	2.99	2.71	1.33	3.67	3.02	0.29	3.73	0.2
Bahd1	0.0	4.53	0.0	0.0	0.0	0.0	0.0	0.0	28.96	0.0	0.0	29.93	0.0
Cmas	40.29	51.28	0.0	0.94	0.0	71.54	81.39	2.29	85.25	0.0	0.0	202.65	0.0
D17H6S56E-3	0.54	1.17	0.0	0.13	0.14	0.59	2.22	0.11	1.96	0.66	0.37	2.14	0.0
Dnajc27	6.82	18.21	0.0	0.0	0.0	21.82	36.57	8.21	58.47	75.21	0.0	47.49	0.0
Dus2l	0.0	14.94	0.0	0.0	0.0	0.0	0.0	0.0	115.8	0.92	0.0	165.41	0.0
E330033B04Rik	0.23	22.93	0.15	2.04	0.51	22.45	0.76	0.52	29.96	56.78	1.07	78.9	0.0
Fert2	52.2	55.36	0.0	0.72	0.0	145.43	33.45	0.0	103.15	25.69	0.14	185.82	3.61
Hyal1	0.87	0.62	0.33	0.23	0.56	1.59	1.01	0.2	1.54	1.45	0.58	1.69	0.33
Pak1	1860.58	1478.41	1418.64	2599.96	2557.48	1885.43	2153.51	1646.89	1477.78	1899.81	2101.54	1653.17	1143.05
Ralgds	0.0	1.52	0.09	0.3	1.15	0.0	0.0	0.0	48.88	28.38	0.0	49.38	0.0
Rnft2	0.17	2.16	0.15	0.87	0.0	0.92	20.4	0.0	51.25	1.09	0.0	27.67	0.0
Tex11	0.0	0.14	0.0	0.0	0.0	0.11	0.0	0.0	0.17	0.0	0.0	0.32	0.0
Tmem62	1.54	0.0	0.0	0.0	2.9	0.13	0.0	0.0	49.79	5.73	0.0	118.44	0.0
Vps13a	0.78	1.34	0.0	14.56	9.8	6.45	15.78	1.32	20.26	10.29	0.73	62.36	0.04
Xpo7	2.4	6.6	1.21	5.42	4.31	7.6	14.78	4.39	22.74	7.35	5.77	14.86	1.85
