	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_5
Cdadc1	524.49	0.0	0.0	0.0	30.38	62.99	75.68	82.35	35.5	0.39	1.23	0.0	0.64	162.24	91.21
Csnk1a1	490.56	0.0	46.83	0.0	65.01	77.2	79.87	119.76	76.73	16.42	0.0	0.0	183.39	139.47	308.45
Cyhr1	585.38	0.0	0.0	0.0	2.87	59.39	33.9	154.49	0.89	1.29	0.29	0.0	0.53	83.1	710.3
Ddx3x	352.59	0.0	0.0	0.0	78.56	25.57	6.79	49.26	0.0	0.48	0.17	0.0	0.0	22.37	310.62
Ell	195.31	0.13	0.0	0.0	0.0	44.73	2.74	56.13	0.45	0.0	0.25	0.0	0.0	20.89	219.57
Fam120b	292.65	0.27	0.06	0.0	65.6	8.22	11.52	0.37	8.68	0.13	1.69	0.39	0.55	6.74	763.43
Gak	166.39	0.0	0.0	0.0	25.06	0.54	33.63	2.26	5.14	0.0	53.91	0.0	0.0	0.0	392.11
Ggnbp2	130.48	75.42	0.0	0.0	47.94	51.68	85.23	92.79	59.9	0.49	0.26	0.0	0.0	136.97	174.47
Ggps1	544.88	0.0	0.72	0.0	81.15	86.42	66.15	6.58	4.98	1.61	6.53	0.0	0.39	237.71	400.12
Gmfb	304.1	0.0	0.08	0.07	90.51	111.7	77.76	46.72	1.76	0.17	0.25	0.0	0.0	178.61	537.14
Grcc10	2028.74	0.0	0.0	653.13	479.8	1536.81	607.2	664.07	348.65	906.5	2.96	0.0	954.64	781.19	2062.41
Mir690	13942.93	26828.41	18365.55	19376.41	39867.27	42000.18	28695.45	37370.15	37614.4	44948.68	42282.55	27759.51	35532.88	48007.3	15861.36
Mrps17	603.18	0.0	0.3	0.0	267.78	178.81	195.39	318.86	334.68	0.0	687.09	0.0	0.0	61.31	491.06
Mrps18a	1420.21	0.0	0.0	0.0	540.72	221.24	253.19	489.73	67.58	0.0	0.94	0.0	0.0	358.55	529.72
Mrps2	415.86	0.0	0.0	0.0	125.55	0.0	0.42	12.53	0.0	0.36	0.0	0.0	0.0	42.93	324.92
Nop56	128.75	0.0	0.0	0.0	199.27	335.34	191.41	88.56	316.91	43.17	0.41	0.0	0.0	46.78	572.57
Pisd-ps2	107.62	0.0	0.0	0.0	4.84	3.67	35.33	77.26	25.76	47.54	26.93	0.0	0.0	70.99	675.4
Pycrl	259.82	0.0	0.0	0.0	48.69	0.0	44.45	0.61	0.53	0.0	0.0	0.0	0.0	0.0	727.6
Rab11fip3	281.23	0.0	0.0	0.0	23.8	0.0	0.0	60.54	0.0	20.25	0.0	0.0	0.0	8.04	347.22
Tbcb	417.25	0.0	0.0	48.98	168.36	289.25	288.92	154.35	264.59	65.07	0.0	0.0	0.0	115.54	452.19
Tpp1	306.48	0.0	0.0	0.09	38.22	23.48	0.48	70.05	54.99	0.62	119.61	0.0	0.17	59.77	537.57
Trove2	5.6	0.38	0.5	0.0	15.42	2.54	39.34	2.65	2.36	1.59	1.51	0.0	1.46	11.05	79.11
Trp53bp1	152.22	0.0	0.04	0.0	27.82	8.83	32.25	0.93	9.72	0.0	4.55	0.0	0.0	20.12	318.15
Trp53inp2	191.22	0.0	0.0	0.0	49.08	28.1	6.96	0.0	16.19	0.0	0.0	1.08	0.0	77.93	402.16
Tsta3	196.74	0.0	0.0	0.0	96.88	60.31	96.09	147.97	0.54	0.57	48.8	0.0	0.47	85.55	714.8
Wdr77	102.01	0.0	0.0	0.0	40.75	62.4	6.28	6.59	0.39	0.0	1.52	0.8	0.0	12.98	419.18
Zfp937	249.53	0.1	6.19	0.96	6.71	9.04	15.2	15.07	18.37	20.71	21.51	13.07	3.09	7.96	126.42
