	Rbp4_tdTpositive_cell_7	Rbp4_tdTpositive_cell_49	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110002L01Rik	122.05	37.68	11.42	0.0	0.0	0.0	0.37	0.11	0.17	69.53	0.14	0.31	0.0	0.35	3.86	3.46	4.92
1200011I18Rik	56.23	31.28	1.79	6.0	0.3	0.77	4.95	0.56	1.3	0.93	1.2	1.66	2.53	3.6	24.99	23.85	23.5
1300001I01Rik	32.35	57.77	3.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.37	50.41	50.0
1500009L16Rik	146.09	150.24	9.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.69	20.37	18.76
2010012O05Rik	6.56	142.72	49.86	0.0	0.96	0.0	0.65	0.65	2.6	0.0	0.46	0.48	0.0	1.15	21.83	22.03	20.8
2900052N01Rik	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.25	0.0	25.63	24.14	25.33
4930505A04Rik	0.32	1.59	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.62	0.79
Acbd5	0.0	95.07	48.59	0.69	0.0	2.67	0.36	0.0	28.93	0.13	0.0	0.0	0.0	188.8	53.68	46.51	52.49
Ahcyl1	161.92	255.91	98.56	0.17	0.0	0.0	0.17	0.18	0.0	0.0	184.24	0.0	0.0	0.0	271.11	260.93	276.26
Alox5ap	45.85	52.79	6.36	0.79	1833.51	0.0	0.0	1053.31	1054.76	0.0	164.37	2185.11	1610.56	1338.71	6.43	5.05	6.03
Ankrd29	72.37	69.65	3.55	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	15.69	14.87	15.39
Ankrd34c	84.48	61.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.15	6.24	7.99
Arfgap3	100.28	72.29	7.23	0.0	0.0	60.52	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	19.69	19.64	18.84
BC031181	886.7	1354.64	731.92	1206.86	751.21	0.0	65.55	845.95	468.08	0.92	0.0	0.0	0.6	643.12	192.84	209.06	192.9
Bzw1	721.44	726.51	150.13	0.34	67.58	0.0	0.45	0.62	388.74	0.16	0.0	226.02	71.49	214.85	183.23	166.8	169.0
