	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_35	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310036O22Rik	0.0	0.4	61.2	0.0	1.52	11.46	6.62	0.0	40.6	24.82	16.39	0.0	44.09	55.31	17.29	24.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	92.1	105.42	106.0
Abtb1	0.0	0.0	424.04	0.0	240.75	0.18	36.92	53.97	0.0	0.0	22.94	0.0	0.0	3.28	6.7	0.36	0.17	0.78	0.0	0.0	0.35	0.0	0.0	0.0	0.22	0.0	37.55	43.38	39.63
Adcy8	0.0	0.0	98.94	0.0	0.76	1.0	4.07	9.06	0.0	1.33	6.07	8.61	0.55	12.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.49	0.0	0.0	17.69	19.45	16.65
Ahcyl1	0.0	0.0	256.66	0.0	209.3	96.26	106.53	20.23	8.58	134.01	98.56	116.6	0.0	7.88	252.41	79.72	0.17	288.84	0.2	0.0	0.17	0.0	0.0	109.15	7.51	0.0	271.11	260.93	276.26
Aloxe3	0.0	0.0	181.83	0.0	0.0	0.27	0.0	0.14	0.0	0.0	5.42	0.0	0.0	0.0	0.0	20.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	5.87	5.73
Ankrd13a	0.0	0.0	125.26	0.0	0.0	0.0	0.0	8.92	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	31.18	31.76	31.28
Arid3a	0.0	0.0	5.53	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.37	0.0	0.0	0.0	3.69	4.25	3.5
BB123696	0.0	0.0	3.37	0.0	0.48	0.0	0.0	1.06	1.56	0.0	0.4	0.0	0.3	1.93	0.43	0.15	0.0	0.0	0.0	0.0	0.0	0.26	0.0	1.22	0.0	0.0	0.36	0.12	0.18
BC029722	0.0	0.0	102.73	0.0	2.62	20.9	2.26	9.93	7.81	3.97	6.59	10.12	4.09	0.0	10.0	2.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.94	0.0	0.0	81.51	86.83	77.47
Bsn	0.0	0.06	85.94	0.06	29.13	16.2	24.55	16.19	5.35	8.63	18.84	8.95	3.26	16.36	8.43	1.27	0.13	0.22	3.29	0.5	0.08	0.04	0.21	39.64	0.26	0.07	89.93	87.69	106.31
