	Cux2_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_31	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27
2610029I01Rik	378.36	161.87	0.0	3.93	229.8	246.34	189.22	0.8	68.85	1.64
4921508A21Rik	38.73	34.41	1.66	35.07	31.04	83.91	37.63	33.98	35.5	8.02
4933408B17Rik	16.66	0.0	0.0	0.3	0.0	11.11	0.0	0.0	0.0	0.0
5430440P10Rik	1.42	0.0	0.0	2.33	1.61	2.13	0.24	0.0	0.61	0.0
9430018G01Rik	2.2	0.26	0.09	0.12	0.09	1.66	0.14	0.13	0.0	0.0
AF067061	0.56	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0
BC030870	0.46	0.0	0.48	4.95	0.75	3.05	1.26	0.0	0.31	0.21
Bnip2	294.93	0.0	0.0	0.0	0.0	185.28	0.0	0.0	0.0	0.0
Car5a	6.99	10.84	1.07	7.48	15.67	25.54	13.45	0.51	5.3	2.03
Celsr2	38.53	1.43	0.0	64.29	0.0	84.92	24.78	6.28	12.38	1.47
Crls1	68.61	84.67	0.0	0.0	0.0	67.15	55.64	0.18	0.0	0.19
Cul3	173.26	112.54	0.0	16.26	0.0	248.05	151.1	0.0	0.09	0.22
Cyth3	62.29	0.0	0.0	0.0	0.0	46.48	0.0	0.0	0.0	0.0
Dbp	60.37	0.0	0.0	39.84	0.0	53.8	0.0	0.0	5.0	10.35
Dennd4b	22.11	2.41	0.0	0.0	0.0	54.43	38.19	0.0	10.83	0.06
Dhps	182.88	146.8	0.0	0.0	0.0	147.09	0.0	8.96	133.03	51.75
Dhrs7b	168.49	0.23	0.0	174.9	0.26	212.15	0.09	149.9	227.24	0.0
Dlx6as1	0.44	0.0	0.1	0.09	0.0	0.42	0.04	0.0	0.0	0.0
Dock4	55.68	0.13	0.0	0.0	0.0	35.36	2.33	0.0	0.0	0.0
Eml4	93.29	1.16	0.0	1.01	0.22	2.06	1.45	0.06	0.23	0.0
Fam114a1	0.16	0.12	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0
Fam198b	0.92	4.88	1.59	0.83	0.47	2.56	0.57	0.22	5.22	0.36
Fam84a	63.84	0.0	0.0	0.0	0.0	71.46	0.0	0.0	0.0	0.0
Fbxw17	166.11	0.0	0.0	0.0	0.0	318.03	0.08	0.0	0.0	0.0
Fmr1	63.72	54.76	0.0	45.52	7.92	100.9	0.89	0.39	23.51	0.0
Gm10789	1.91	2.59	0.0	6.35	0.55	5.94	1.06	0.76	1.28	0.43
Gm15987	1.83	2.68	0.0	3.47	0.19	2.14	0.13	0.0	0.0	0.0
Gm20125	0.56	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0
Gm3230	4.14	0.0	0.0	0.0	0.0	5.44	0.0	0.0	8.8	0.0
Gm4791	57.59	29.85	20.04	51.25	20.48	62.42	51.51	15.2	31.44	14.95
Gm7334	52.18	0.0	0.0	0.0	0.0	145.23	66.35	0.0	0.0	0.0
Gm805	0.34	0.11	0.0	0.0	0.0	1.47	0.52	0.18	0.38	0.0
