	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600002K03Rik	207.26	0.0	0.0	0.0	63.25	32.53	0.0	0.0	52.26	0.0	0.0	0.0	7.29	9.71	9.82
1700012A16Rik	4.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52	2.37	1.8
1700036G14Rik	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.21	0.0
2210408F21Rik	162.61	0.0	0.14	0.0	0.0	0.0	0.0	0.0	37.3	0.0	0.25	22.01	22.08	20.68	26.42
2310040G24Rik	181.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	1.62	1.63
2410016O06Rik	70.48	19.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.93	17.08	16.01
4930483O08Rik	5.57	0.69	0.83	0.28	0.0	0.0	0.0	0.0	0.0	0.63	0.5	0.0	0.97	0.74	0.5
4932412D23Rik	0.32	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.07	0.1
5930412G12Rik	0.21	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	2.62	2.25
AF529169	102.36	0.0	0.59	0.0	0.35	0.0	0.05	0.0	0.0	4.92	0.0	0.0	1.99	2.01	2.41
Aass	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	2.83	2.28
Abcd2	38.14	19.01	0.09	0.32	0.0	0.0	0.16	0.0	0.0	1.72	0.09	0.16	25.68	22.57	27.0
