	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_36	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008J03Rik	0.0	0.2	145.68	0.0	0.0	2.51	56.48	1.83	71.27	35.63	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.27	0.0	20.61	22.3	19.98
1110049F12Rik	0.0	125.56	129.25	0.0	0.0	0.0	1.56	76.51	0.0	0.0	0.0	14.47	0.0	139.47	8.05	0.0	0.0	0.0	0.0	0.0	0.0	70.87	0.27	315.81	0.0	104.01	120.71	111.86
1700020I14Rik	0.0	153.88	337.08	0.0	657.37	238.05	108.98	196.24	112.72	44.94	8.97	85.14	73.6	43.14	0.0	0.0	0.48	0.0	0.0	0.0	0.0	69.48	0.0	279.44	566.54	144.99	123.82	164.2
6330409N04Rik	0.0	10.5	133.06	0.0	0.0	0.0	0.41	37.52	3.76	286.72	63.99	122.52	0.0	1.47	133.28	0.2	0.0	0.0	0.0	0.4	0.0	49.66	0.0	163.46	0.0	62.63	66.4	60.54
A330049N07Rik	0.0	0.0	34.97	0.0	0.0	0.0	0.51	0.72	0.0	0.0	1.93	38.6	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.38	0.0	2.67	2.33	3.13
Abl2	0.16	31.86	73.14	0.09	2.09	0.87	11.36	5.93	3.55	2.43	11.85	3.0	1.78	3.46	10.47	3.46	2.38	2.36	1.7	8.82	51.4	2.94	5.72	47.9	2.54	24.45	24.4	24.39
Abr	0.0	147.27	180.08	0.0	0.0	155.12	73.81	54.52	35.07	5.11	3.6	20.43	36.06	7.33	3.77	0.06	0.0	0.0	0.0	0.0	0.0	5.5	5.06	141.21	0.0	272.97	271.82	286.04
Adra1d	0.0	42.11	38.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.89	0.0	21.64	12.76	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	102.47	0.0	33.16	35.83	37.26
Atad2b	0.0	1.29	50.36	0.0	2.84	0.0	0.37	0.0	0.0	0.04	0.0	6.14	1.02	0.07	18.37	0.0	0.0	0.0	0.0	0.0	6.83	0.0	0.0	41.7	0.0	8.16	6.96	8.2
Atf4	0.0	81.65	542.05	0.0	0.0	0.76	0.79	3.87	125.68	22.18	46.71	16.16	106.01	61.6	2.58	0.0	0.0	0.0	715.82	380.52	0.0	313.59	597.82	369.09	0.0	161.87	157.26	146.61
