	Ndnf_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_63	Scnn1a.Tg3_tdTnegative_cell_15	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001J03Rik	0.0	0.0	0.0	0.84	0.53	0.37	0.68
1700013F07Rik	0.0	0.0	0.0	46.57	2.1	2.31	1.45
1700022P22Rik	0.0	0.0	0.0	73.74	0.75	0.94	1.03
1700024B18Rik	0.0	0.0	0.0	9.97	0.25	0.0	0.0
2010204K13Rik	0.0	0.0	0.0	72.46	36.18	39.81	36.62
4930434J06Rik	0.0	0.0	0.0	0.41	0.0	0.0	0.0
4930474H20Rik	0.0	0.0	0.0	0.85	0.0	0.0	0.0
4930523C07Rik	0.0	0.0	0.0	0.16	1.0	1.09	0.66
4930545H06Rik	0.0	0.0	0.0	0.85	0.0	0.0	0.0
4930578M01Rik	0.0	0.0	0.0	3.57	1.56	2.21	2.19
4933433G15Rik	0.0	0.0	0.0	0.49	0.44	0.0	0.54
5730522E02Rik	0.0	0.0	0.0	12.45	4.0	3.34	5.49
9530051G07Rik	0.0	0.0	0.0	0.98	0.47	0.29	0.46
A230028O05Rik	0.0	0.0	0.0	0.22	0.18	0.07	0.15
AA467197	0.0	0.0	0.0	2.08	0.48	0.91	0.5
Abca8b	0.0	0.28	0.0	44.83	15.09	12.8	14.73
Acot3	0.0	0.0	0.0	0.21	2.43	2.19	1.87
Acy1	0.0	0.0	0.0	0.44	13.2	11.77	12.77
Afmid	0.0	0.0	0.0	56.58	2.8	2.44	2.41
Aloxe3	0.0	0.0	0.0	53.1	5.1	5.87	5.73
Amdhd1	0.0	0.0	0.0	31.07	0.53	0.23	0.63
Angptl3	0.0	0.0	0.0	3.14	0.25	0.12	0.32
BC030500	0.0	3.32	0.0	116.11	13.43	12.34	13.78
Bsn	0.02	21.58	0.0	33.7	89.93	87.69	106.31
C630004H02Rik	0.0	3.62	0.0	125.81	83.05	88.74	84.8
Calca	0.0	0.0	0.0	301.68	1.85	1.63	1.15
Calr3	0.0	0.0	0.0	91.85	1.34	1.44	0.98
Ccdc14	0.0	0.0	0.0	27.73	2.08	1.91	2.84
Ccl27b	0.0	2.37	0.0	2.72	30.63	28.29	22.96
Cep76	0.0	0.0	0.0	4.57	5.28	5.2	4.94
Cgn	0.0	0.0	0.0	63.38	3.49	3.83	3.5
Clic1	0.0	0.0	0.0	77.75	16.83	17.0	17.82
Cpped1	0.0	24.61	0.0	73.15	41.18	41.83	38.03
Cry1	0.0	0.0	0.0	47.81	14.93	13.97	12.68
D3Bwg0562e	1.32	6.25	0.42	154.62	121.62	116.8	128.52
Dcc	0.11	0.17	0.0	14.41	10.36	8.6	9.7
Dennd2a	0.0	0.0	0.0	2.91	13.72	13.99	14.37
Dym	0.0	3.35	0.0	151.91	46.47	47.15	44.01
Fam3c	5.82	17.34	1.53	115.45	56.43	56.61	53.1
Fbxl17	0.37	10.3	4.79	28.97	19.78	19.13	19.47
Gm10556	0.0	0.0	0.0	0.16	0.15	0.02	0.0
Gm10640	0.0	0.2	0.0	64.28	0.63	0.34	0.35
Gm10789	0.15	1.67	0.43	2.61	2.22	1.93	2.01
Gm13306	0.0	2.37	0.0	2.72	30.63	28.29	22.96
Gm15910	0.0	0.0	0.29	38.86	0.6	0.54	0.41
Gm19705	0.0	0.0	0.0	105.58	0.52	0.49	0.81
Gm2011	0.0	14.85	0.0	129.02	7.3	4.85	7.68
Gm2506	0.0	2.37	0.0	2.72	30.63	28.29	22.96
Gm5424	0.0	2.29	0.0	263.81	30.0	31.62	29.15
Gnb2	0.0	48.96	0.0	37.15	343.57	367.63	357.07
Greb1l	0.0	0.0	0.0	0.22	4.63	4.25	4.78
Hist1h2ae	0.0	0.0	0.0	1.88	0.25	0.45	0.5
Hnrnpab	1.43	0.63	0.0	83.98	108.31	120.31	108.59
L3mbtl1	0.0	0.0	0.0	6.13	14.17	12.31	13.53
Lingo3	0.0	0.0	0.0	0.18	33.56	40.24	33.17
Lmtk3	0.0	0.1	0.0	0.64	112.57	125.74	129.11
Mpp3	0.0	0.0	0.0	88.06	42.99	45.77	47.83
Nck1	0.0	0.0	0.0	190.22	24.39	22.42	22.32
Nedd4	0.0	56.45	235.07	352.21	251.38	238.03	242.95
Nipa1	0.0	0.0	0.0	103.27	68.07	67.19	71.67
Nipal3	0.0	0.59	0.0	80.65	59.34	62.81	55.55
Nlrp4f	0.0	0.0	0.0	0.35	0.31	0.45	0.43
Nolc1	0.0	9.31	0.0	95.04	47.1	50.02	44.73
Npat	0.0	2.65	0.0	83.94	11.52	10.73	12.19
Ogg1	0.0	0.0	0.0	42.9	5.97	7.62	7.21
Pate4	0.0	0.0	0.0	12.03	0.1	0.28	0.1
Pcdha9	0.0	0.0	0.0	119.78	7.06	6.55	7.66
Plcb4	0.0	0.27	0.0	60.79	30.97	23.96	33.02
Polr3b	0.0	1.54	0.0	40.06	9.22	10.33	8.91
Psg21	0.0	0.0	0.0	0.26	0.0	0.0	0.0
Pten	0.0	17.98	0.0	116.74	64.81	63.48	64.75
Rab11fip3	0.0	37.85	0.0	47.44	71.82	76.68	77.65
