	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_37	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_10	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_44	Scnn1a.Tg2_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_23	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
2700078E11Rik	4.58	1.28	1.62	0.84	0.0	146.69	0.0	0.0	8.59	0.06	0.0	1.85	34.56	0.0	2.79	0.0	29.51	25.39	129.86	1.03	18.41	6.57	12.28	32.46	1.5	45.42	0.13
AI987944	0.0	4.92	1.34	0.47	3.07	5.35	0.0	1.35	0.0	0.26	0.0	0.44	1.87	0.29	0.49	0.25	1.72	47.68	137.7	3.27	12.77	13.13	26.13	2.05	0.0	0.0	39.16
Asb6	0.0	0.55	8.43	0.0	0.0	0.0	0.0	77.11	7.72	0.0	0.0	0.17	109.14	0.0	0.0	0.59	38.3	99.0	136.82	16.11	30.77	33.26	26.63	0.0	0.0	0.29	21.16
B3galnt1	0.0	273.37	2.03	250.79	8.9	50.47	0.0	128.04	0.16	0.19	0.2	202.49	328.64	479.96	340.19	534.69	207.94	519.92	991.62	0.0	290.18	213.98	226.46	106.78	152.92	149.7	0.0
Cdc25b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	21.46	0.0	0.25	0.27	9.15	80.85	11.92	0.0	3.16	6.94	13.85	0.0	0.16	32.32	0.0
Dhx29	0.15	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	16.87	0.0	0.0	0.0	0.0	0.0	17.34	45.83	0.0	0.09	1.08	2.78	0.0	0.0	0.0	0.0
Egr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1.15	0.0	0.0	0.0	0.41	3.51	1.75	0.0	0.26	1.25	2.5	0.0	0.0	0.0	0.0
Fam189a1	0.0	0.96	4.59	0.0	0.0	113.03	0.0	0.37	0.0	5.55	0.0	2.76	30.56	0.0	0.32	3.7	7.56	96.45	46.26	31.66	13.76	7.72	5.57	1.48	2.7	3.23	0.05
Fbf1	0.0	0.0	0.0	0.0	0.0	17.02	0.0	0.0	0.0	0.0	0.0	0.07	1.34	0.0	0.0	0.52	0.16	0.29	11.48	0.0	2.35	1.05	1.28	0.0	0.0	0.06	0.0
Gtf3c3	77.18	0.0	1.43	20.42	0.0	0.0	0.0	4.6	127.93	0.12	0.0	67.96	108.08	0.0	6.72	0.05	0.56	55.52	97.65	2.25	4.95	33.61	38.52	0.0	14.78	58.77	0.0
Homer2	2.72	0.0	0.38	0.0	0.0	0.06	0.0	3.87	0.07	0.0	0.0	0.06	5.65	0.05	0.05	0.18	15.74	13.09	23.39	0.0	1.85	1.09	1.6	0.0	0.0	0.1	0.0
Kbtbd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.42	1.15	0.0	0.0	0.32	5.38	0.0	0.0	0.0	32.3	6.03	17.06	0.17	3.61	0.0	1.03	0.0	0.0	0.0	0.0
Lamc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84	0.0	0.0	0.45	49.32	48.53	47.46	0.0	0.0	0.0	0.2	0.0	0.09	0.0	0.0
Map2k7	0.0	34.12	0.0	0.22	0.0	1.32	0.0	0.0	0.9	0.0	0.0	1.91	10.52	0.0	0.0	36.73	0.0	30.69	28.12	1.33	4.75	7.51	11.56	0.0	0.0	0.0	0.07
Mir344g	25.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.96	30.52	13.84	0.0	14.36	0.0	13.83	0.0	0.0	0.0	11.94
Mpped1	0.0	0.0	0.15	0.0	0.0	0.63	0.0	33.91	2.25	0.11	0.12	95.73	55.05	0.0	0.82	73.25	76.46	83.55	4.75	0.0	76.17	36.57	51.99	7.23	0.74	12.47	1.11
Mrps18b	0.0	322.63	182.84	0.0	0.0	0.0	0.0	52.42	42.37	0.0	0.0	228.08	185.84	0.0	0.62	39.24	286.22	421.51	214.84	0.0	141.18	133.62	123.98	0.0	446.69	327.02	0.0
Napepld	0.0	0.0	0.42	0.21	0.12	0.14	0.0	0.1	9.76	0.48	0.0	0.13	57.4	0.21	0.1	7.84	42.56	1.01	78.92	0.47	3.46	7.64	13.11	3.22	0.0	0.0	5.59
Nf2	0.0	0.12	0.0	0.08	0.0	0.11	0.0	1.94	0.19	0.0	0.0	6.18	9.79	0.0	0.52	0.09	18.08	20.96	7.36	0.0	7.01	3.86	5.37	0.0	53.23	3.44	0.0
Pcdha4-g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.28	0.58	0.0	0.0	0.2	0.24	0.0	0.0	0.0	0.0
Pik3r4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	29.27	15.9	23.56	0.31	0.0	1.55	58.9	85.0	0.0	3.09	5.31	8.8	0.0	0.0	0.0	2.19
Rab8b	0.0	5.1	1.17	0.97	0.3	8.28	1.17	3.41	15.97	0.58	0.0	12.54	18.6	2.5	0.08	2.43	15.28	13.22	94.69	0.16	14.77	13.36	14.18	11.17	0.25	9.64	0.56
