	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_65	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110003E01Rik	51.91	89.34	23.3	37.3	23.1	23.3	63.9	54.25	25.54	69.09	190.19	104.04	106.35	104.6
1700023E05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	0.46	0.49	0.24
1700029I15Rik	0.0	0.0	3.19	0.0	0.0	6.01	0.0	0.0	0.0	0.0	57.9	1.49	1.68	2.15
1700051A21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	25.97	0.37	0.42	0.38
1700061G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.19	0.56	0.15	0.54
1810030O07Rik	2.66	1.49	2.64	2.35	1.71	1.32	2.46	1.82	0.85	16.9	88.04	32.0	29.18	30.38
2310030G06Rik	53.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.3	3.91	3.21	2.93
4930404N11Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	51.5	20.52	23.31	20.29
4930526D03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.14	0.14	0.15
4931406C07Rik	0.0	0.0	1.43	0.0	0.0	0.0	0.21	0.0	0.0	9.63	39.64	18.78	20.25	19.23
4931428F04Rik	0.0	1.41	38.86	4.13	0.0	14.93	0.11	0.0	0.11	0.08	154.02	20.35	19.11	17.19
4932414J04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61	0.03	0.0	0.07
4932415M13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.03	0.0	0.0	0.05
4933432B09Rik	2.09	0.0	0.04	0.48	0.16	0.09	0.19	1.37	0.29	0.69	14.61	5.87	4.74	5.87
5330413P13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.15	1.08	1.35	1.03
5330437I02Rik	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.52	1.57	1.44
9030625A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.32	5.4	4.63	5.96
A330040F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.07	4.64	3.86	6.29
Acaa1a	0.0	2.13	34.49	0.0	0.0	0.0	0.0	4.83	0.0	3.95	74.49	63.92	64.41	69.33
Adamts8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.16	3.71	3.24	3.66
Aicda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0
Amz1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.85	37.79	0.0	64.49	13.41	14.58	12.37
Ankrd13d	0.0	5.79	92.16	0.0	6.02	0.0	0.13	0.0	0.0	4.41	130.18	58.38	59.24	61.04
Arl6ip4	36.92	43.5	25.33	78.72	0.0	0.0	0.0	34.39	27.19	42.64	195.24	48.06	56.45	48.35
Art4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.08	0.08	0.13
Bcl10	0.0	0.14	0.0	0.0	5.16	0.0	0.0	34.63	0.0	0.0	120.42	14.74	16.44	13.35
Bnipl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.45	0.24	0.33
Bsg	228.3	367.91	218.6	140.42	16.46	116.75	319.65	99.25	346.06	295.97	558.72	500.23	544.21	526.09
Btk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.7	1.03	0.8
Cbx7	0.0	0.0	0.0	5.12	1.9	0.81	0.0	13.97	0.0	0.0	63.95	41.34	45.24	42.5
Ccl21b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.64	12.41	17.98	0.96
Ccl27b	0.0	0.0	0.0	0.77	0.0	0.29	1.65	4.31	0.0	4.89	33.56	30.63	28.29	22.96
Cdh26	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.51	0.17	0.29	0.21
Ceacam19	0.2	0.48	0.21	0.27	1.43	0.8	0.66	0.91	1.09	0.6	2.2	1.16	1.45	1.68
Col12a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	4.46	4.12	4.34
Ctbs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.37	6.85	7.2	8.9
Cttn	99.13	64.9	9.08	6.51	30.72	0.0	12.81	149.34	37.55	73.38	114.86	92.84	96.78	94.81
Cxcl9	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.05	0.03
Cyr61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	33.88	21.09	9.49
Dab2	0.0	0.0	0.0	0.0	0.0	0.0	28.22	0.0	0.0	0.0	48.04	6.62	5.81	6.74
Daxx	10.62	0.0	2.62	2.13	0.0	0.0	7.22	0.29	0.0	10.39	44.34	20.9	20.74	18.24
Dbil5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	2.76	2.22	0.75
E130304F04Rik	0.0	0.0	2.65	5.0	0.0	0.63	0.0	17.61	0.0	3.49	46.18	14.75	15.69	14.41
Eefsec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.56	77.35	12.6	13.4	12.82
Eml2	3.35	0.48	0.78	0.0	0.48	3.35	1.86	0.11	0.13	2.65	74.61	123.08	143.31	130.45
Eno4	27.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.89	3.31	3.08	3.02
Enox	1.04	0.55	2.26	1.37	0.87	1.2	1.49	0.96	0.59	1.02	35.66	5.72	4.12	4.5
Ercc2	0.0	0.0	0.0	2.08	0.0	0.0	0.0	0.0	0.0	0.0	4.06	23.82	24.54	25.38
Faim	2.09	47.66	3.35	49.1	0.0	0.0	32.65	24.02	45.82	86.18	175.54	35.99	33.7	35.04
Fam98c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.31	39.96	47.33	38.61
Fbxo43	0.81	0.27	0.31	0.08	0.14	0.52	0.3	0.18	0.47	0.18	43.53	0.42	0.27	0.4
Gcnt7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.9	0.71	0.29	0.61
Gigyf2	8.56	0.19	1.11	1.28	0.0	0.0	4.88	8.57	22.1	6.95	54.4	32.74	29.92	31.35
Glra3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.96	6.1	3.32	6.08
Gm10280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.05	0.0	0.0
Gm11545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.04	0.07	0.11
Gm13306	0.0	0.0	0.0	0.77	0.0	0.29	1.65	4.31	0.0	4.89	33.56	30.63	28.29	22.96
Gm13498	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.05	0.05	0.0
Gm14057	0.0	0.0	0.0	0.0	15.59	0.0	0.0	0.0	0.0	0.0	74.04	2.2	1.93	1.12
Gm16497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.03	0.12	0.07
Gm16516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.35	1.42	0.67	1.23
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.73	1.86	1.4
Gm2506	0.0	0.0	0.0	0.77	0.0	0.29	1.65	4.31	0.0	4.89	33.56	30.63	28.29	22.96
Gm4956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.35	0.0	0.0	0.13
Gpr98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.33	0.27	0.38
Grid1	0.0	0.21	0.36	0.0	0.0	0.0	0.0	0.0	0.0	5.38	101.72	37.83	37.1	39.08
Gtsf1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44	0.0	0.33	0.0
Gucy2f	0.0	0.0	0.02	0.0	0.04	0.0	0.11	0.03	0.0	0.0	1.79	0.43	0.48	0.49
Havcr2	0.29	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	1.81	2.55	2.26
Hdgf	55.74	8.97	0.0	25.85	86.07	54.93	61.81	8.73	10.77	16.38	106.47	137.59	142.1	139.08
Heatr5a	0.0	0.09	0.13	0.26	0.14	0.07	0.07	0.12	0.07	0.2	17.97	5.65	5.04	5.79
Hey1	17.16	0.0	23.34	3.82	0.0	0.0	0.0	0.0	0.0	0.0	50.4	63.38	62.86	55.62
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.04	0.04	0.09
Homez	0.12	0.12	0.15	1.0	0.15	0.04	0.2	0.33	0.71	0.17	28.92	7.39	7.26	6.69
