	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110012J17Rik	0.03	0.0	0.3	0.0	0.0	0.69	6.19	19.19	0.0	0.0	0.05	7.27	6.94	1.86	0.0	0.96	1.19	0.07	1.11	0.0	4.97	0.0	12.75	0.0	14.06	4.29	0.05	0.08	0.64	6.01	0.4	0.6	0.22	0.1	10.44	6.25	6.64	0.75	7.74	9.52	13.61	5.42	2.16	7.47	35.39	37.38	34.49
1700011A15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.11	0.23
1700024B18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	2.42	0.0	0.25	0.0	0.0
1700071M16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.7	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04	1.43	1.65
1700121L16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.74	0.38
1810021B22Rik	167.41	0.0	0.0	0.0	0.0	23.41	0.0	12.66	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.64	94.66	0.0	68.51	0.0	0.0	0.0	0.0	0.0	56.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.37	0.0	0.0	3.63	3.86	2.93
1810049H13Rik	0.0	0.0	0.0	3.72	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.65	0.0	0.0	0.0	10.54	0.0	0.0	13.24	8.5	0.0	0.0	0.0	0.0	4.15	0.0	0.0	0.0	9.22	0.0	0.0	9.44	11.86	10.66
2310005A03Rik	0.0	0.0	0.0	0.0	0.0	0.59	0.9	0.0	0.18	0.0	0.5	2.25	0.0	0.0	0.0	0.0	2.33	0.0	1.08	0.44	0.0	0.0	0.34	0.7	7.29	0.96	0.0	1.08	0.0	0.52	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.33	0.87	0.72	0.37	0.0	0.0	1.79	0.81	0.41	1.28
2810408I11Rik	0.0	0.0	0.0	0.0	0.0	3.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.09	0.0	0.0	0.0	0.0	0.0	1.01	1.22	0.15
3010001F23Rik	0.0	0.0	0.0	16.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.56	0.0	5.52	0.0	0.0	0.0	80.75	0.0	0.16	5.16	3.44	3.25
4632415L05Rik	0.49	0.5	2.15	6.07	0.0	13.35	16.27	6.76	0.19	0.69	0.69	1.35	21.07	14.9	1.48	7.88	12.8	11.7	0.32	0.5	2.25	1.28	3.38	1.29	22.64	3.02	2.27	1.12	2.62	2.26	1.5	12.93	5.17	6.73	1.54	3.06	5.37	3.99	13.99	1.33	9.06	2.59	2.1	5.37	18.82	18.88	18.43
4922502H24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933408B17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	21.24	0.0	0.0	0.0	8.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	1.0	0.64	0.95
