	Cux2_tdTpositive_cell_75	Cux2_tdTpositive_cell_83	Htr3a_tdTpositive_cell_107	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_50	Ntsr1_tdTnegative_cell_52	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_146	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_45	Scnn1a.Tg2_tdTpositive_cell_10	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_57	Scnn1a.Tg3_tdTpositive_cell_59	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTpositive_cell_96	Slc17a6_tdTpositive_cell_13
Adcy1	37.1	43.31	29.55	10.35	75.86	22.94	39.45	38.28	0.06	46.57	27.74	57.25	0.0	50.49	56.57	6.06	6.49
Agtpbp1	2.84	134.48	3.28	87.32	157.28	30.85	3.01	74.8	0.0	200.37	61.35	36.32	7.14	42.5	133.87	5.01	16.79
D030016E14Rik	1.06	100.37	1.43	0.0	67.03	14.27	9.82	2.44	0.16	51.82	44.99	20.11	0.0	2.01	30.63	0.45	0.11
Ddx42	74.57	109.7	0.92	0.0	76.41	15.3	129.81	56.81	0.09	215.42	14.68	29.57	69.47	5.16	110.51	1.38	0.12
Dhx8	0.15	95.81	0.0	5.96	76.6	1.27	104.54	40.52	0.0	6.23	9.14	4.18	0.13	73.13	1.44	3.02	0.0
Disp2	36.22	150.37	36.87	84.43	140.86	56.78	143.17	95.94	0.0	64.43	24.31	45.05	6.5	51.39	83.2	51.87	0.14
Eml5	140.86	78.85	1.05	5.12	39.55	21.3	37.06	0.66	0.07	72.48	24.14	66.48	1.43	24.16	53.44	28.01	0.0
Etv1	137.77	155.83	0.0	599.45	313.46	0.1	292.95	241.76	0.09	409.36	2.35	98.78	0.0	194.99	128.29	14.36	0.0
Fbxl3	22.08	61.15	19.15	3.01	80.93	3.77	62.31	25.11	2.65	62.67	28.24	6.6	36.57	1.26	37.7	72.0	0.03
Ggct	0.0	13.28	0.0	0.0	63.85	40.61	1.58	0.73	0.0	85.71	0.29	39.1	0.0	105.07	54.63	0.54	0.0
Gm4262	15.27	24.03	13.15	28.25	21.0	21.86	24.63	11.5	0.31	39.34	36.91	25.32	23.08	23.24	32.96	3.98	1.51
Gm8221	0.07	0.09	0.05	0.04	0.1	0.0	0.08	0.06	0.0	0.21	0.12	0.09	0.0	0.0	0.2	0.04	0.0
Gphn	72.78	78.88	67.06	0.99	250.24	61.9	238.94	211.93	0.0	146.14	29.06	44.74	0.0	75.56	105.82	5.5	0.14
Kctd3	0.0	64.95	0.45	0.15	0.0	31.32	0.0	12.97	0.0	157.91	2.15	0.22	0.43	6.15	5.32	0.92	0.0
Mettl2	2.07	92.9	1.05	4.95	3.61	3.61	2.22	7.75	3.16	95.09	3.7	24.37	2.24	6.28	3.48	5.38	1.0
Mrpl51	13.5	154.87	75.94	43.46	122.99	18.42	39.32	98.46	4.57	163.39	144.68	189.03	16.04	116.62	90.83	95.54	61.02
Odf2	15.65	81.34	38.57	221.97	0.0	38.32	166.15	39.56	0.18	152.08	53.22	57.1	0.0	39.25	45.65	121.4	0.0
Pak1	1603.53	1860.58	1840.24	2599.96	2557.48	1885.43	1903.4	2153.51	1218.95	1230.8	1946.1	1706.02	1508.67	2101.54	1773.29	1941.57	1143.05
Plaa	0.0	30.02	0.06	0.63	35.84	17.48	11.27	3.5	0.0	12.1	0.2	0.29	0.34	0.97	30.53	1.45	0.0
Ppa2	86.92	92.01	90.86	0.0	114.47	79.06	0.0	284.3	0.3	146.84	83.05	85.69	4.38	78.16	113.17	6.42	0.0
Rab11b	135.81	268.47	153.38	197.01	245.59	114.9	106.66	186.3	1.09	260.76	137.95	159.43	41.62	217.91	229.57	157.81	115.92
Rian	2.39	101.06	64.94	59.1	210.11	0.31	8.57	26.79	0.4	145.73	37.13	76.11	52.52	66.05	85.09	7.25	0.0
Serbp1	41.88	46.83	25.18	49.78	217.05	76.73	110.49	56.42	0.26	157.91	96.47	130.37	14.73	96.52	76.82	56.92	15.21
Snrpa1	2.71	140.46	94.35	19.67	192.95	1.81	59.29	55.53	0.0	184.0	50.73	0.0	89.06	66.37	115.09	129.45	0.0
Stk38l	79.71	70.61	51.63	0.35	85.29	64.07	14.15	67.12	0.08	79.3	16.46	94.06	30.82	50.9	49.12	0.08	0.0
Urm1	0.0	21.81	0.0	48.56	22.9	0.0	60.22	0.0	0.16	52.96	0.0	17.25	0.0	32.86	14.21	23.51	0.0
Yipf4	68.56	38.61	5.09	21.83	3.37	6.42	55.23	25.98	0.0	95.47	25.94	6.67	0.0	61.32	9.52	29.91	0.0
