	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_30	Rbp4_tdTpositive_cell_182	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2510039O18Rik	0.0	0.0	0.0	1.68	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.04	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.31	0.0	24.71	26.72	25.18
2810453I06Rik	0.0	0.21	0.0	24.05	4.05	0.0	5.42	4.23	2.84	0.0	53.88	1.35	0.0	16.6	114.13	3.23	0.0	107.99	0.0	0.0	0.0	0.0	15.76	0.31	0.0	0.44	0.0	20.11	40.45	43.28	39.74
2900092E17Rik	0.0	0.0	76.63	0.3	0.0	0.0	1.37	0.14	52.09	55.5	136.23	2.49	0.0	41.77	270.19	0.08	0.08	31.03	0.0	90.41	187.01	0.81	132.19	0.0	0.94	170.66	0.0	117.5	70.08	78.55	74.26
3110099E03Rik	0.0	0.0	0.34	0.0	0.77	0.0	0.36	0.0	0.0	0.46	0.83	0.0	0.0	0.66	3.35	0.98	0.08	1.16	1.32	0.51	0.0	0.14	0.0	0.0	0.0	0.4	0.0	0.15	0.57	0.36	0.27
A730043L09	0.26	0.0	1.07	0.9	0.27	0.44	0.0	0.64	1.75	0.0	0.75	0.42	0.0	1.48	1.81	2.22	1.03	0.14	1.01	0.5	1.96	0.64	0.56	0.0	0.0	0.82	3.95	0.57	2.31	1.44	1.47
Adap1	149.67	180.02	0.0	0.0	9.4	33.06	128.69	0.55	80.95	47.4	125.05	85.37	22.26	24.82	363.37	50.1	73.05	0.22	150.19	18.99	0.48	0.0	23.17	13.85	133.53	9.27	127.65	10.31	195.41	208.11	199.98
Adrbk1	0.18	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	1.27	0.0	0.0	0.11	16.14	101.37	6.67	0.03	53.21	6.45	127.19	0.0	4.82	0.93	0.0	0.41	180.86	40.31	0.0	172.23	171.6	166.77
Arhgap30	0.34	0.25	0.84	0.09	0.44	0.0	0.0	0.34	0.6	0.76	0.39	0.56	0.0	0.28	1.71	0.44	0.38	0.27	0.29	0.51	0.49	0.18	0.05	0.0	0.0	0.46	0.4	0.0	2.4	1.67	2.31
Atp1a1	0.15	36.56	116.42	10.99	3.66	13.88	18.09	105.72	72.15	14.09	94.28	96.08	1.53	70.93	135.07	258.5	122.05	121.17	212.09	85.66	6.72	67.31	61.79	30.07	0.0	19.67	10.14	4.47	824.42	838.73	822.76
B230214G05	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.08	0.14	0.0	0.0	0.0	0.23	0.53	0.07	0.04	1.39	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.24	0.04	0.03	0.0
Ccdc88c	0.0	0.15	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	0.0	10.34	4.66	0.0	0.02	1.95	0.0	3.09	0.0	0.0	13.17	0.0	0.0	0.0	0.0	0.0	18.83	17.62	19.85
