	Gad2_tdTpositive_cell_3	Gad2_tdTpositive_cell_5	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_27	Gad2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_11	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_26	Htr3a_tdTpositive_cell_28	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_118	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_41	Nos1_tdTpositive_cell_48	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_31	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610002M06Rik	0.37	24.3	0.41	0.0	25.1	0.25	96.88	0.0	18.64	31.66	0.0	0.05	0.0	180.28	116.37	94.41	31.66	0.05	0.08	0.0	93.97	34.15	33.46	33.37
2610027L16Rik	0.0	0.1	0.09	0.06	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.07	0.04	0.0	0.38	0.17	0.0	0.21	50.72	8.48	9.03	7.62
4933425H06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.3	0.0	0.0	0.0
4933427I22Rik	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.65	0.21	0.73
9030617O03Rik	0.0	21.75	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.66	5.52	5.38	5.38
9230009I02Rik	0.0	0.27	0.0	0.0	0.4	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.93	0.75	0.16	0.45
A930011O12Rik	1.79	137.17	38.57	114.05	230.46	44.12	75.33	0.0	86.76	13.3	21.09	84.95	50.41	114.36	2.42	0.0	56.12	16.76	72.3	75.41	323.07	130.41	125.17	129.06
Acoxl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.1	0.19	0.18
Actr1a	147.04	169.16	20.55	89.75	200.07	0.0	0.46	0.0	0.17	0.0	71.0	130.11	0.0	121.02	117.43	0.11	0.16	261.07	0.5	0.0	62.68	168.62	172.26	171.05
Alk	0.0	6.43	0.12	0.0	57.94	0.0	3.81	0.08	0.0	0.0	0.0	2.96	0.0	0.0	0.08	0.0	7.56	0.0	0.53	0.0	13.32	4.35	4.09	4.66
Angpt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.94	1.36	1.39	1.24
Arhgap25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	7.67	7.52	7.06
Asb13	4.29	22.92	2.62	141.3	125.86	306.47	3.08	0.0	2.02	237.41	0.09	1.43	143.76	167.47	157.69	1.04	79.33	3.48	1.58	1.66	275.5	55.71	53.1	57.79
Atf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.73	1.91	1.37	0.67
Atp8a1	2.32	92.11	25.24	129.9	6.97	0.0	0.0	6.33	3.47	25.56	88.37	11.51	2.71	3.7	100.88	8.99	13.01	52.99	77.32	18.53	77.34	95.39	93.01	98.58
Atxn1l	0.0	30.48	0.0	0.23	0.0	52.63	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.04	0.0	0.0	47.8	2.31	0.0	0.0	54.52	18.86	19.25	19.94
Atxn2l	1.19	5.58	0.75	9.43	7.62	0.0	1.13	0.0	0.0	2.2	0.64	0.52	0.0	7.84	1.43	3.55	0.0	2.55	0.0	0.0	18.55	111.62	109.65	119.26
Avpr1b	0.0	0.0	0.0	0.05	0.11	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.24	0.16	0.08	0.0
BC017643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.92	0.0	2.88	176.45	0.0	0.07	0.0	0.0	0.0	0.0	0.0	153.09	17.11	19.46	17.49
BC020402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	7.61	0.0	0.0	0.0	80.62	6.15	5.46	5.09
BC024978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	8.36	8.35	8.81
C1ql1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	12.88	15.02	14.37
Camsap2	0.18	0.29	8.24	16.78	30.16	0.0	8.33	0.0	1.44	0.0	0.0	34.27	0.58	0.04	0.02	0.04	0.02	0.0	0.0	0.66	62.86	69.2	62.43	66.22
Ccdc102a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	1.37	1.74	1.6
Ccdc127	69.08	52.06	9.18	94.73	251.29	0.83	1.92	59.55	15.34	32.16	102.91	138.53	9.79	6.3	101.77	0.8	0.49	49.57	160.98	100.4	315.15	47.29	46.73	45.61
Ccdc144b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	4.85	0.0	0.0	0.0
Cdk3-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.68	2.1	2.51	1.52
Cdkn1a	0.0	0.0	20.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.56	0.0	0.08	0.0	0.0	0.08	0.0	0.0	0.0	258.26	21.96	18.99	20.75
Celf3	0.0	0.0	0.38	0.0	0.0	70.95	0.0	1.3	0.0	0.0	0.0	0.0	6.26	3.23	0.0	0.0	0.0	0.12	0.0	0.0	9.81	122.93	132.22	134.16
Colec10	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.45	0.13	0.06	0.04
Cryba1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	0.3	0.0	0.0
Ctcf	0.0	0.0	0.64	0.0	23.97	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.09	0.0	0.0	0.0	0.0	0.0	128.49	50.21	48.44	48.41
Cyp2d22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.11	0.0	0.0	0.0	0.0	0.19	19.18	21.16	19.79
Dapp1	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	1.51	4.44	4.03	3.57
Ddit3	186.2	102.12	251.69	392.87	0.0	0.0	0.0	222.42	48.76	21.53	147.2	1010.32	384.8	142.14	98.68	337.84	96.27	0.0	132.42	481.48	1653.24	46.63	45.98	41.32
Dhdh	0.95	0.43	0.72	54.49	1.78	0.76	0.67	0.0	1.72	0.69	0.0	0.17	0.61	0.25	0.64	0.0	0.18	0.49	0.65	0.0	76.3	8.62	9.3	9.67
Dhx36	0.0	0.0	0.0	1.92	0.0	5.43	0.0	0.06	0.09	0.0	0.04	93.49	22.32	96.14	0.0	0.06	54.6	28.24	0.09	33.46	7.32	50.53	43.49	47.51
Diras2	0.08	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.35	15.09	71.35	212.34	197.14	211.74
E130310I04Rik	0.0	0.26	0.0	0.11	0.22	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.06	0.1	0.09
Ell2	3.04	48.26	25.97	4.62	1.13	1.83	8.29	0.0	0.94	1.47	0.05	1.61	43.97	11.91	1.55	0.49	2.35	0.16	4.98	1.25	148.1	24.06	23.02	22.1
Erich1	1.49	0.28	0.65	0.38	0.29	0.59	2.71	0.0	1.4	1.03	20.94	0.63	0.98	0.16	0.11	0.09	0.0	1.23	0.76	0.27	198.92	8.24	7.19	7.01
Ets2	0.0	0.0	0.0	0.0	7.23	0.12	0.0	0.0	0.0	0.0	4.05	0.0	73.87	0.73	0.0	0.0	0.0	0.0	2.17	0.0	93.89	56.67	59.16	51.74
Extl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	78.23	50.72	51.07	50.15
Fbxo2	0.0	25.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.26	0.0	0.0	0.0	8.17	0.0	0.0	0.0	57.23	107.01	122.26	111.07
