	Calb2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Nr5a1_tdTpositive_cell_49	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2900005J15Rik	0.57	0.01	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	3.12	2.71	3.78
5930412G12Rik	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	3.01	2.62	2.25
6430548M08Rik	395.16	19.58	0.0	9.04	24.36	0.0	4.81	0.09	1.5	50.11	23.63	7.17	124.49	0.0	130.89	30.19	138.81	137.15	144.03
AB124611	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.69	0.47	0.71
Acin1	83.87	1.84	0.0	0.0	21.68	16.59	32.32	33.79	13.69	0.0	30.56	16.94	44.33	0.33	4.55	16.92	81.9	86.64	75.72
Amd2	351.41	0.0	0.0	0.0	0.01	0.27	0.0	0.0	41.27	40.67	0.0	25.29	45.65	11.85	0.0	0.0	116.44	128.88	96.43
Ap1g1	156.87	35.9	0.0	31.4	21.85	0.0	57.31	0.5	0.0	0.0	36.29	14.28	11.91	0.0	0.0	0.0	48.4	47.39	45.92
Arhgap30	0.42	0.16	0.0	0.0	0.17	0.05	0.13	0.0	0.09	0.0	0.0	0.15	0.41	0.05	0.08	0.1	2.4	1.67	2.31
BC005537	85.09	1.54	0.0	0.0	24.43	13.7	88.5	10.12	0.0	54.66	4.45	23.48	208.88	0.0	45.88	0.0	152.76	160.06	152.41
Btbd3	102.03	4.12	0.0	0.0	0.0	1.22	46.05	1.48	2.5	0.0	38.59	26.12	66.28	6.34	3.12	0.27	96.41	96.0	102.53
Ccl27b	0.71	14.76	0.0	0.0	0.0	0.0	2.93	0.0	0.7	0.0	0.0	2.53	344.85	0.0	0.0	0.0	30.63	28.29	22.96
Ccz1	52.14	0.11	0.0	0.0	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.09	0.0	0.0	0.0	41.75	42.4	40.26
Cngb1	0.55	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.92	0.0	0.0	0.0	0.45	0.12	0.17
Cnr1	518.51	14271.7	0.06	14712.45	18446.25	33283.94	19184.04	19801.43	16437.47	19681.78	22064.64	33041.05	0.0	14288.55	25768.68	23267.78	80.79	75.85	84.42
Cpox	48.32	8.39	0.08	10.02	6.46	11.09	5.1	11.46	10.53	22.65	4.29	12.58	55.77	16.13	15.6	10.11	40.77	42.88	42.65
Csnk1e	194.27	59.38	0.0	0.0	0.0	1.69	2.12	0.0	9.1	3.34	1.42	14.99	51.72	0.29	59.65	12.03	87.5	91.6	82.59
Dmxl2	86.85	67.73	0.0	1.73	31.68	2.87	16.31	35.25	66.23	11.77	22.84	20.23	163.05	0.29	2.57	5.79	84.29	75.36	80.67
Dos	95.07	60.74	0.0	0.0	9.42	10.04	30.64	8.22	6.66	59.41	6.0	10.69	147.6	18.88	7.23	39.08	216.16	237.15	220.77
E230029C05Rik	0.23	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.09	0.95	1.61
Fxr2	111.77	2.08	0.0	0.0	1.77	1.73	0.95	0.67	58.28	63.69	21.38	3.26	11.44	0.0	2.62	0.0	98.68	103.47	95.24
Gabrb3	270.9	27.35	0.0	0.0	16.83	15.56	37.37	84.4	17.35	0.08	36.78	1.08	87.51	47.24	21.28	24.76	154.37	138.99	149.04
Gm11696	4.98	0.55	0.11	1.62	0.62	0.7	0.78	0.37	1.05	0.58	0.13	0.36	6.31	1.41	0.88	0.95	1.75	2.51	2.23
Gm13306	0.71	14.76	0.0	0.0	0.0	0.0	2.93	0.0	0.7	0.0	0.0	2.53	344.85	0.0	0.0	0.0	30.63	28.29	22.96
Gm2002	0.11	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.13	0.0	0.58	0.05	0.0	0.0	1.73	1.86	1.4
Gm2506	0.71	14.76	0.0	0.0	0.0	0.0	2.93	0.0	0.7	0.0	0.0	2.53	344.85	0.0	0.0	0.0	30.63	28.29	22.96
Ifrd1	44.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.22	12.22	11.87	3.42	121.03	0.0	2.44	0.0	44.21	48.54	43.72
