	Calb2_tdTpositive_cell_18	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_2	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg3_tdTnegative_cell_2	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A730085A09Rik	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.13	0.0	0.47	0.0	0.11	0.0	0.0	0.09	0.0	0.0	0.78	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.17	0.08	0.34
Adamtsl2	0.0	10.94	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	85.2	0.0	0.0	85.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.59	3.81	5.66	4.25	4.61	4.58
Aff3	0.0	20.01	0.0	48.21	0.0	64.49	0.0	0.0	0.0	49.44	0.0	7.99	0.0	4.24	0.0	228.22	0.0	0.04	65.24	0.06	0.0	0.0	0.0	115.66	0.09	0.0	0.0	0.0	8.82	5.94	3.0	2.98	25.41	23.65	24.79
Arnt	0.0	2.27	0.0	0.42	0.0	0.32	3.46	0.0	0.06	5.37	0.0	0.11	0.08	4.99	0.09	18.68	0.29	0.0	4.22	1.71	0.59	0.0	0.0	67.45	0.0	0.0	0.0	0.18	0.0	4.92	5.29	4.14	28.76	26.12	28.4
Atxn1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	10.31	0.47	0.0	0.91	0.0	0.0	0.0	15.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	1.4	2.82	18.86	19.25	19.94
BC030336	0.0	47.67	40.12	39.22	0.0	74.86	54.48	44.15	6.08	13.14	28.87	48.77	84.57	8.21	78.57	208.91	0.0	74.84	38.85	11.05	30.56	0.13	0.0	121.13	7.72	54.04	25.8	37.12	18.15	32.96	28.31	34.66	35.07	32.42	33.37
Baz1b	0.09	6.23	1.05	18.31	0.0	0.4	5.27	16.37	0.0	1.16	0.16	0.0	7.19	32.95	0.0	43.85	0.0	0.0	1.76	13.26	0.0	0.0	0.0	0.0	31.69	0.0	0.0	52.09	0.0	12.59	6.61	7.09	59.56	56.72	57.34
C230052I12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.23	0.0	0.0	10.47	5.45	6.29	6.38	6.06	6.03
Cacna1b	0.0	3.54	0.0	0.42	0.0	1.93	3.58	0.0	0.3	2.7	0.0	1.19	0.0	0.0	0.0	55.26	0.0	5.89	2.82	1.91	0.05	0.0	0.0	0.0	0.0	0.07	0.0	1.96	8.24	0.8	0.63	0.05	49.92	43.71	54.19
Camk4	4.11	2.23	3.11	11.38	0.84	66.37	8.09	31.55	18.27	36.71	2.52	12.12	46.64	3.18	4.84	39.13	3.08	46.23	36.37	39.6	1.72	4.4	1.33	62.57	1.84	1.65	1.23	21.17	4.93	59.3	47.34	48.68	69.62	59.4	72.95
